Year,UNIT_MEASURE,Administrative area,Sex,Value
2009,Number,federation_of_bih,Both sexes,71610
2010,Number,federation_of_bih,Both sexes,74594
2011,Number,federation_of_bih,Both sexes,74565
2012,Number,federation_of_bih,Both sexes,72460
2013,Number,federation_of_bih,Both sexes,72601
2014,Number,federation_of_bih,Both sexes,71873
2015,Number,federation_of_bih,Both sexes,72112
2016,Number,federation_of_bih,Both sexes,69969
2017,Number,federation_of_bih,Both sexes,66027
2018,Number,federation_of_bih,Both sexes,62285
2009,Number,federation_of_bih,M,31404
2010,Number,federation_of_bih,M,32651
2011,Number,federation_of_bih,M,32767
2012,Number,federation_of_bih,M,31970
2013,Number,federation_of_bih,M,31732
2014,Number,federation_of_bih,M,31305
2015,Number,federation_of_bih,M,31317
2016,Number,federation_of_bih,M,30064
2017,Number,federation_of_bih,M,28095
2018,Number,federation_of_bih,M,25544
2009,Number,federation_of_bih,F,40206
2010,Number,federation_of_bih,F,41943
2011,Number,federation_of_bih,F,41798
2012,Number,federation_of_bih,F,40490
2013,Number,federation_of_bih,F,40869
2014,Number,federation_of_bih,F,40568
2015,Number,federation_of_bih,F,40795
2016,Number,federation_of_bih,F,39905
2017,Number,federation_of_bih,F,37932
2018,Number,federation_of_bih,F,36741
2009,Number,una-sana_canton,Both sexes,5008
2010,Number,una-sana_canton,Both sexes,4732
2011,Number,una-sana_canton,Both sexes,4588
2012,Number,una-sana_canton,Both sexes,3896
2013,Number,una-sana_canton,Both sexes,3355
2014,Number,una-sana_canton,Both sexes,3038
2015,Number,una-sana_canton,Both sexes,3011
2016,Number,una-sana_canton,Both sexes,2894
2017,Number,una-sana_canton,Both sexes,2547
2018,Number,una-sana_canton,Both sexes,2322
2009,Number,una-sana_canton,M,2019
2010,Number,una-sana_canton,M,1946
2011,Number,una-sana_canton,M,1919
2012,Number,una-sana_canton,M,1647
2013,Number,una-sana_canton,M,1422
2014,Number,una-sana_canton,M,1307
2015,Number,una-sana_canton,M,1268
2016,Number,una-sana_canton,M,1216
2017,Number,una-sana_canton,M,1016
2018,Number,una-sana_canton,M,893
2009,Number,una-sana_canton,F,2989
2010,Number,una-sana_canton,F,2786
2011,Number,una-sana_canton,F,2669
2012,Number,una-sana_canton,F,2249
2013,Number,una-sana_canton,F,1933
2014,Number,una-sana_canton,F,1731
2015,Number,una-sana_canton,F,1743
2016,Number,una-sana_canton,F,1678
2017,Number,una-sana_canton,F,1531
2018,Number,una-sana_canton,F,1429
2009,Number,tuzla_canton,Both sexes,13896
2010,Number,tuzla_canton,Both sexes,14557
2011,Number,tuzla_canton,Both sexes,13535
2012,Number,tuzla_canton,Both sexes,12147
2013,Number,tuzla_canton,Both sexes,11686
2014,Number,tuzla_canton,Both sexes,11074
2015,Number,tuzla_canton,Both sexes,11231
2016,Number,tuzla_canton,Both sexes,11338
2017,Number,tuzla_canton,Both sexes,10920
2018,Number,tuzla_canton,Both sexes,9956
2009,Number,tuzla_canton,M,6038
2010,Number,tuzla_canton,M,6284
2011,Number,tuzla_canton,M,5710
2012,Number,tuzla_canton,M,5103
2013,Number,tuzla_canton,M,4770
2014,Number,tuzla_canton,M,4499
2015,Number,tuzla_canton,M,4626
2016,Number,tuzla_canton,M,4746
2017,Number,tuzla_canton,M,4540
2018,Number,tuzla_canton,M,4073
2009,Number,tuzla_canton,F,7858
2010,Number,tuzla_canton,F,8273
2011,Number,tuzla_canton,F,7825
2012,Number,tuzla_canton,F,7044
2013,Number,tuzla_canton,F,6916
2014,Number,tuzla_canton,F,6575
