Year,UNIT_MEASURE,Administrative Area,Type of education,Sex,Value
2016,Number,Federation of Bosnia and Herzegovina,Masters of science,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Masters of science,M,
2016,Number,Federation of Bosnia and Herzegovina,Masters of science,F,
2017,Number,Federation of Bosnia and Herzegovina,Masters of science,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Masters of science,M,
2017,Number,Federation of Bosnia and Herzegovina,Masters of science,F,
2018,Number,Federation of Bosnia and Herzegovina,Masters of science,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Masters of science,M,
2018,Number,Federation of Bosnia and Herzegovina,Masters of science,F,
2019,Number,Federation of Bosnia and Herzegovina,Masters of science,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Masters of science,M,
2019,Number,Federation of Bosnia and Herzegovina,Masters of science,F,
2020,Number,Federation of Bosnia and Herzegovina,Masters of science,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Masters of science,M,
2020,Number,Federation of Bosnia and Herzegovina,Masters of science,F,
2016,Number,Federation of Bosnia and Herzegovina,Masters,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Masters,M,
2016,Number,Federation of Bosnia and Herzegovina,Masters,F,
2017,Number,Federation of Bosnia and Herzegovina,Masters,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Masters,M,
2017,Number,Federation of Bosnia and Herzegovina,Masters,F,
2018,Number,Federation of Bosnia and Herzegovina,Masters,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Masters,M,
2018,Number,Federation of Bosnia and Herzegovina,Masters,F,
2019,Number,Federation of Bosnia and Herzegovina,Masters,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Masters,M,
2019,Number,Federation of Bosnia and Herzegovina,Masters,F,
2020,Number,Federation of Bosnia and Herzegovina,Masters,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Masters,M,
2020,Number,Federation of Bosnia and Herzegovina,Masters,F,
2016,Number,Federation of Bosnia and Herzegovina,Specialists,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Specialists,M,
2016,Number,Federation of Bosnia and Herzegovina,Specialists,F,
2017,Number,Federation of Bosnia and Herzegovina,Specialists,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Specialists,M,
2017,Number,Federation of Bosnia and Herzegovina,Specialists,F,
2018,Number,Federation of Bosnia and Herzegovina,Specialists,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Specialists,M,
2018,Number,Federation of Bosnia and Herzegovina,Specialists,F,
2019,Number,Federation of Bosnia and Herzegovina,Specialists,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Specialists,M,
2019,Number,Federation of Bosnia and Herzegovina,Specialists,F,
2020,Number,Federation of Bosnia and Herzegovina,Specialists,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Specialists,M,
2020,Number,Federation of Bosnia and Herzegovina,Specialists,F,
2016,Number,Tuzla Canton,Masters of science,Both sexes,
2016,Number,Tuzla Canton,Masters of science,M,
2016,Number,Tuzla Canton,Masters of science,F,
2017,Number,Tuzla Canton,Masters of science,Both sexes,
2017,Number,Tuzla Canton,Masters of science,M,
2017,Number,Tuzla Canton,Masters of science,F,
2018,Number,Tuzla Canton,Masters of science,Both sexes,
2018,Number,Tuzla Canton,Masters of science,M,
2018,Number,Tuzla Canton,Masters of science,F,
2019,Number,Tuzla Canton,Masters of science,Both sexes,
2019,Number,Tuzla Canton,Masters of science,M,
2019,Number,Tuzla Canton,Masters of science,F,
2020,Number,Tuzla Canton,Masters of science,Both sexes,
2020,Number,Tuzla Canton,Masters of science,M,
2020,Number,Tuzla Canton,Masters of science,F,
