Year,UNIT_MEASURE,Administrative area,scientific_field,Value
2010,Number,federation_of_bih,Education,
2010,Number,federation_of_bih,Arts and humanities,
2010,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2010,Number,federation_of_bih,"business,_administration_and_law",
2010,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2010,Number,federation_of_bih,Information and communication technologies,
2010,Number,federation_of_bih,"engineering,_production_and_construction",
2010,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,federation_of_bih,Health and social protection,
2010,Number,federation_of_bih,Services,
2010,Number,una-sana_canton,Education,
2010,Number,una-sana_canton,Arts and humanities,
2010,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2010,Number,una-sana_canton,"business,_administration_and_law",
2010,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,una-sana_canton,Information and communication technologies,
2010,Number,una-sana_canton,"engineering,_production_and_construction",
2010,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,una-sana_canton,Health and social protection,
2010,Number,una-sana_canton,Services,
2010,Number,tuzla_canton,Education,
2010,Number,tuzla_canton,Arts and humanities,
2010,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2010,Number,tuzla_canton,"business,_administration_and_law",
2010,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,tuzla_canton,Information and communication technologies,
2010,Number,tuzla_canton,"engineering,_production_and_construction",
2010,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,tuzla_canton,Health and social protection,
2010,Number,tuzla_canton,Services,
2010,Number,zenica-doboj_canton,Education,
2010,Number,zenica-doboj_canton,Arts and humanities,
2010,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2010,Number,zenica-doboj_canton,"business,_administration_and_law",
2010,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,zenica-doboj_canton,Information and communication technologies,
2010,Number,zenica-doboj_canton,"engineering,_production_and_construction",
