Year,UNIT_MEASURE,Administrative Area,Scientific Field,Value
2010,Number,Federation of Bosnia and Herzegovina,Education,
2010,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2010,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2010,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2010,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2010,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2010,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2010,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2010,Number,Federation of Bosnia and Herzegovina,Services,
2010,Number,Una-Sana Canton,Education,
2010,Number,Una-Sana Canton,Arts and humanities,
2010,Number,Una-Sana Canton,"Social sciences, journalism and information",
2010,Number,Una-Sana Canton,"Business, administration and law",
2010,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2010,Number,Una-Sana Canton,Information and communication technologies,
2010,Number,Una-Sana Canton,"Engineering, production and construction",
2010,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Una-Sana Canton,Health and social protection,
2010,Number,Una-Sana Canton,Services,
2010,Number,Tuzla Canton,Education,
2010,Number,Tuzla Canton,Arts and humanities,
2010,Number,Tuzla Canton,"Social sciences, journalism and information",
2010,Number,Tuzla Canton,"Business, administration and law",
2010,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2010,Number,Tuzla Canton,Information and communication technologies,
2010,Number,Tuzla Canton,"Engineering, production and construction",
2010,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Tuzla Canton,Health and social protection,
2010,Number,Tuzla Canton,Services,
2010,Number,Zenica-Doboj Canton,Education,
2010,Number,Zenica-Doboj Canton,Arts and humanities,
2010,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2010,Number,Zenica-Doboj Canton,"Business, administration and law",
2010,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2010,Number,Zenica-Doboj Canton,Information and communication technologies,
2010,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2010,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Zenica-Doboj Canton,Health and social protection,
2010,Number,Zenica-Doboj Canton,Services,
2010,Number,Bosnian-Podrinje Canton,Education,
2010,Number,Bosnian-Podrinje Canton,Arts and humanities,
2010,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2010,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2010,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2010,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2010,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2010,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Bosnian-Podrinje Canton,Health and social protection,
2010,Number,Bosnian-Podrinje Canton,Services,
2010,Number,Central Bosnia Canton,Education,
2010,Number,Central Bosnia Canton,Arts and humanities,
2010,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2010,Number,Central Bosnia Canton,"Business, administration and law",
2010,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
