Year,UNIT_MEASURE,Sex,Age,Value
2016,% of total,Both sexes,15+,30.5
2016,% of total,Both sexes,15 - 24,13.3
2016,% of total,Both sexes,25 - 49,51.9
2016,% of total,Both sexes,50 - 64,33.6
2016,% of total,Both sexes,15 - 64,37.8
2016,% of total,M,15+,41.1
2016,% of total,M,15 - 24,17.4
2016,% of total,M,25 - 49,66.5
2016,% of total,M,50 - 64,45.8
2016,% of total,M,15 - 64,49.2
2016,% of total,F,15+,20.6
2016,% of total,F,15 - 24,8.7
2016,% of total,F,25 - 49,37.2
2016,% of total,F,50 - 64,22.2
2016,% of total,F,15 - 64,26.4
2017,% of total,Both sexes,15+,32.19
2017,% of total,Both sexes,15 - 24,17.7
2017,% of total,Both sexes,25 - 49,56.1
2017,% of total,Both sexes,50 - 64,34.6
2017,% of total,Both sexes,15 - 64,40.7
2017,% of total,M,15+,41.69
2017,% of total,M,15 - 24,21.8
2017,% of total,M,25 - 49,69.3
2017,% of total,M,50 - 64,46.9
2017,% of total,M,15 - 64,51.21
2017,% of total,F,15+,23.05
2017,% of total,F,15 - 24,12.6
2017,% of total,F,25 - 49,43.0
2017,% of total,F,50 - 64,22.9
2017,% of total,F,15 - 64,29.97
2018,% of total,Both sexes,15+,31.88
2018,% of total,Both sexes,15 - 24,18.5
2018,% of total,Both sexes,25 - 49,55.82
2018,% of total,Both sexes,50 - 64,35.49
2018,% of total,Both sexes,15 - 64,40.69
2018,% of total,M,15+,41.99
2018,% of total,M,15 - 24,23.47
2018,% of total,M,25 - 49,71.35
2018,% of total,M,50 - 64,46.98
2018,% of total,M,15 - 64,52.17
2018,% of total,F,15+,22.53
2018,% of total,F,15 - 24,13.05
2018,% of total,F,25 - 49,41.09
2018,% of total,F,50 - 64,24.56
2018,% of total,F,15 - 64,29.47
