Year,UNIT_MEASURE,Quarter,Sex,Age,Value
2021,%,Q1,Both sexes,15 - 89,36.6
2021,%,Q1,Both sexes,15 - 24,18.2
2021,%,Q1,Both sexes,25 - 49,59.9
2021,%,Q1,Both sexes,50 - 64,34.4
2021,%,Q1,Both sexes,15 - 64,44.5
2021,%,Q1,Both sexes,20 - 64,48.1
2021,%,Q1,Both sexes,25 - 34,58.3
2021,%,Q1,Both sexes,15 - 74,39.1
2021,%,Q1,M,15 - 89,50.0
2021,%,Q1,M,15 - 24,25.0
2021,%,Q1,M,25 - 49,77.2
2021,%,Q1,M,50 - 64,49.1
2021,%,Q1,M,15 - 64,59.2
2021,%,Q1,M,20 - 64,64.1
2021,%,Q1,M,25 - 34,75.5
2021,%,Q1,M,15 - 74,52.8
2021,%,Q1,F,15 - 89,23.8
2021,%,Q1,F,15 - 24,11.2
2021,%,Q1,F,25 - 49,42.2
2021,%,Q1,F,50 - 64,20.6
2021,%,Q1,F,15 - 64,29.8
2021,%,Q1,F,20 - 64,32.2
2021,%,Q1,F,25 - 34,40.3
2021,%,Q1,F,15 - 74,25.8
2021,%,Q2,Both sexes,15 - 89,37.5
2021,%,Q2,Both sexes,15 - 24,18.4
2021,%,Q2,Both sexes,25 - 49,61.2
2021,%,Q2,Both sexes,50 - 64,35.7
2021,%,Q2,Both sexes,15 - 64,45.6
2021,%,Q2,Both sexes,20 - 64,49.3
2021,%,Q2,Both sexes,25 - 34,58.5
2021,%,Q2,Both sexes,15 - 74,40.1
2021,%,Q2,M,15 - 89,50.4
2021,%,Q2,M,15 - 24,24.7
2021,%,Q2,M,25 - 49,77.9
2021,%,Q2,M,50 - 64,49.5
2021,%,Q2,M,15 - 64,59.6
2021,%,Q2,M,20 - 64,64.6
2021,%,Q2,M,25 - 34,73.8
2021,%,Q2,M,15 - 74,53.2
2021,%,Q2,F,15 - 89,25.2
2021,%,Q2,F,15 - 24,11.7
2021,%,Q2,F,25 - 49,44.1
2021,%,Q2,F,50 - 64,22.6
2021,%,Q2,F,15 - 64,31.5
2021,%,Q2,F,20 - 64,34.1
2021,%,Q2,F,25 - 34,42.5
2021,%,Q2,F,15 - 74,27.3
2021,%,Q3,Both sexes,15 - 89,38.3
2021,%,Q3,Both sexes,15 - 24,19.1
2021,%,Q3,Both sexes,25 - 49,61.9
2021,%,Q3,Both sexes,50 - 64,37.5
2021,%,Q3,Both sexes,15 - 64,46.7
2021,%,Q3,Both sexes,20 - 64,50.4
2021,%,Q3,Both sexes,25 - 34,60.3
2021,%,Q3,Both sexes,15 - 74,41.0
2021,%,Q3,M,15 - 89,51.8
2021,%,Q3,M,15 - 24,25.7
2021,%,Q3,M,25 - 49,79.0
2021,%,Q3,M,50 - 64,52.7
2021,%,Q3,M,15 - 64,61.3
2021,%,Q3,M,20 - 64,66.4
2021,%,Q3,M,25 - 34,75.4
2021,%,Q3,M,15 - 74,54.6
2021,%,Q3,F,15 - 89,25.6
2021,%,Q3,F,15 - 24,12.0
2021,%,Q3,F,25 - 49,44.4
2021,%,Q3,F,50 - 64,23.3
2021,%,Q3,F,15 - 64,32.0
2021,%,Q3,F,20 - 64,34.5
2021,%,Q3,F,25 - 34,44.6
2021,%,Q3,F,15 - 74,27.7
2021,%,Q4,Both sexes,15 - 89,38.8
2021,%,Q4,Both sexes,15 - 24,19.4
2021,%,Q4,Both sexes,25 - 49,62.5
2021,%,Q4,Both sexes,50 - 64,38.0
2021,%,Q4,Both sexes,15 - 64,47.2
2021,%,Q4,Both sexes,20 - 64,50.9
2021,%,Q4,Both sexes,25 - 34,62.2
2021,%,Q4,Both sexes,15 - 74,41.5
2021,%,Q4,M,15 - 89,51.8
2021,%,Q4,M,15 - 24,24.7
2021,%,Q4,M,25 - 49,78.1
2021,%,Q4,M,50 - 64,54.9
2021,%,Q4,M,15 - 64,61.3
2021,%,Q4,M,20 - 64,66.3
2021,%,Q4,M,25 - 34,76.1
2021,%,Q4,M,15 - 74,54.7
2021,%,Q4,F,15 - 89,26.4
2021,%,Q4,F,15 - 24,13.8
2021,%,Q4,F,25 - 49,46.6
2021,%,Q4,F,50 - 64,22.0
2021,%,Q4,F,15 - 64,33.0
2021,%,Q4,F,20 - 64,35.5
2021,%,Q4,F,25 - 34,47.6
