Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
1996,Number,Total,Federation of Bosnia and Herzegovina,Live births,32614
1996,Number,Total,Una-Sana Canton,Live births,4646
1996,Number,Total,Posavina Canton,Live births,43
1996,Number,Total,Tuzla Canton,Live births,6825
1996,Number,Total,Zenica-Doboj Canton,Live births,7375
1996,Number,Total,Bosnian-Podrinje Canton,Live births,495
1996,Number,Total,Central Bosnia Canton,Live births,4350
1996,Number,Total,Herzegovina-Neretva Canton,Live births,2913
1996,Number,Total,West Herzegovina Canton,Live births,950
1996,Number,Total,Sarajevo Canton,Live births,4154
1996,Number,Total,Canton 10,Live births,863
1996,Number,M,Federation of Bosnia and Herzegovina,Live births,17120
1996,Number,M,Una-Sana Canton,Live births,2518
1996,Number,M,Posavina Canton,Live births,23
1996,Number,M,Tuzla Canton,Live births,3515
1996,Number,M,Zenica-Doboj Canton,Live births,3937
1996,Number,M,Bosnian-Podrinje Canton,Live births,249
1996,Number,M,Central Bosnia Canton,Live births,2285
1996,Number,M,Herzegovina-Neretva Canton,Live births,1506
1996,Number,M,West Herzegovina Canton,Live births,506
1996,Number,M,Sarajevo Canton,Live births,2133
1996,Number,M,Canton 10,Live births,448
1996,Number,F,Federation of Bosnia and Herzegovina,Live births,15494
1996,Number,F,Una-Sana Canton,Live births,2128
1996,Number,F,Posavina Canton,Live births,20
1996,Number,F,Tuzla Canton,Live births,3310
1996,Number,F,Zenica-Doboj Canton,Live births,3438
1996,Number,F,Bosnian-Podrinje Canton,Live births,246
1996,Number,F,Central Bosnia Canton,Live births,2065
1996,Number,F,Herzegovina-Neretva Canton,Live births,1407
1996,Number,F,West Herzegovina Canton,Live births,444
1996,Number,F,Sarajevo Canton,Live births,2021
1996,Number,F,Canton 10,Live births,415
1997,Number,Total,Federation of Bosnia and Herzegovina,Live births,33003
1997,Number,Total,Una-Sana Canton,Live births,5682
1997,Number,Total,Posavina Canton,Live births,22
1997,Number,Total,Tuzla Canton,Live births,5901
1997,Number,Total,Zenica-Doboj Canton,Live births,6764
1997,Number,Total,Bosnian-Podrinje Canton,Live births,482
1997,Number,Total,Central Bosnia Canton,Live births,4134
1997,Number,Total,Herzegovina-Neretva Canton,Live births,2745
1997,Number,Total,West Herzegovina Canton,Live births,1082
1997,Number,Total,Sarajevo Canton,Live births,5245
1997,Number,Total,Canton 10,Live births,946
1997,Number,M,Federation of Bosnia and Herzegovina,Live births,17251
1997,Number,M,Una-Sana Canton,Live births,2930
1997,Number,M,Posavina Canton,Live births,13
1997,Number,M,Tuzla Canton,Live births,3097
1997,Number,M,Zenica-Doboj Canton,Live births,3486
1997,Number,M,Bosnian-Podrinje Canton,Live births,255
1997,Number,M,Central Bosnia Canton,Live births,2200
1997,Number,M,Herzegovina-Neretva Canton,Live births,1482
1997,Number,M,West Herzegovina Canton,Live births,584
1997,Number,M,Sarajevo Canton,Live births,2734
1997,Number,M,Canton 10,Live births,470
1997,Number,F,Federation of Bosnia and Herzegovina,Live births,15752
1997,Number,F,Una-Sana Canton,Live births,2752
1997,Number,F,Posavina Canton,Live births,9
1997,Number,F,Tuzla Canton,Live births,2804
1997,Number,F,Zenica-Doboj Canton,Live births,3278
1997,Number,F,Bosnian-Podrinje Canton,Live births,227
1997,Number,F,Central Bosnia Canton,Live births,1934
1997,Number,F,Herzegovina-Neretva Canton,Live births,1263
1997,Number,F,West Herzegovina Canton,Live births,498
1997,Number,F,Sarajevo Canton,Live births,2511
1997,Number,F,Canton 10,Live births,476
1998,Number,Total,Federation of Bosnia and Herzegovina,Live births,30427
1998,Number,Total,Una-Sana Canton,Live births,5158
1998,Number,Total,Posavina Canton,Live births,30
1998,Number,Total,Tuzla Canton,Live births,5858
1998,Number,Total,Zenica-Doboj Canton,Live births,6068
1998,Number,Total,Bosnian-Podrinje Canton,Live births,406
1998,Number,Total,Central Bosnia Canton,Live births,3765
1998,Number,Total,Herzegovina-Neretva Canton,Live births,2526
1998,Number,Total,West Herzegovina Canton,Live births,913
1998,Number,Total,Sarajevo Canton,Live births,4890
