Year,Age,UNIT_MEASURE,Value
1997,13 - 14,Number,11
1997,15 - 19,Number,3128
1998,13 - 14,Number,2
1998,15 - 19,Number,2395
1999,13 - 14,Number,0
1999,15 - 19,Number,2073
2000,13 - 14,Number,3
2000,15 - 19,Number,1806
2001,13 - 14,Number,13
2001,15 - 19,Number,1679
2002,13 - 14,Number,10
2002,15 - 19,Number,1561
2003,13 - 14,Number,9
2003,15 - 19,Number,1457
2004,13 - 14,Number,7
2004,15 - 19,Number,1396
2005,13 - 14,Number,2
2005,15 - 19,Number,1296
2006,13 - 14,Number,4
2006,15 - 19,Number,1399
2007,13 - 14,Number,2
2007,15 - 19,Number,1357
2008,13 - 14,Number,2
2008,15 - 19,Number,1507
2009,13 - 14,Number,4
2009,15 - 19,Number,1411
2010,13 - 14,Number,5
2010,15 - 19,Number,1285
2011,13 - 14,Number,5
2011,15 - 19,Number,1136
2012,13 - 14,Number,2
2012,15 - 19,Number,1040
2013,13 - 14,Number,4
2013,15 - 19,Number,950
2014,13 - 14,Number,3
2014,15 - 19,Number,932
2015,13 - 14,Number,3
2015,15 - 19,Number,948
2016,13 - 14,Number,3
2016,15 - 19,Number,906
2017,13 - 14,Number,6
2017,15 - 19,Number,734
2018,13 - 14,Number,4
2018,15 - 19,Number,643
2019,13 - 14,Number,1
2019,15 - 19,Number,580
