Year,UNIT_MEASURE,Sex,Age,Cause_of_death,Value
2008,Number,Both sexes,Total,(H00-H59) Diseases of the eye,1
2008,Number,Both sexes,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",3
2008,Number,Both sexes,Total,(A00-B99) Infectious and parasitic diseases,154
2008,Number,Both sexes,Total,"(C00-C97,D00-D48) Neoplasms",3832
2008,Number,Both sexes,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",27
2008,Number,Both sexes,Total,(E00-E90) Endocrine metabolic and nutritional diseases,774
2008,Number,Both sexes,Total,(F00-F99) Mental and behavioural disorders,61
2008,Number,Both sexes,Total,(G00-G99) Diseases of the nervous system,141
2008,Number,Both sexes,Total,(I00-I99) Diseases of the circulatory system,10509
2008,Number,Both sexes,Total,(J00-J99) Diseases of the respiratory system,558
2008,Number,Both sexes,Total,(K00-K93) Diseases of the digestive system,468
2008,Number,Both sexes,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,8
2008,Number,Both sexes,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,23
2008,Number,Both sexes,Total,(N00-N99) Diseases of the genitourinary system,279
2008,Number,Both sexes,Total,(P00-P96) Certain conditions originating in the perinatal period,116
2008,Number,Both sexes,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",46
2008,Number,Both sexes,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1062
2008,Number,Both sexes,Total,Unknown,813
2008,Number,Both sexes,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",605
2008,Number,M,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M,Total,(H00-H59) Diseases of the eye,0
2008,Number,M,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,3
2008,Number,M,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",483
2008,Number,M,Total,(A00-B99) Infectious and parasitic diseases,96
2008,Number,M,Total,"(C00-C97,D00-D48) Neoplasms",2286
2008,Number,M,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",12
2008,Number,M,Total,(E00-E90) Endocrine metabolic and nutritional diseases,298
2008,Number,M,Total,(F00-F99) Mental and behavioural disorders,38
2008,Number,M,Total,(G00-G99) Diseases of the nervous system,76
2008,Number,M,Total,(I00-I99) Diseases of the circulatory system,4949
2008,Number,M,Total,(J00-J99) Diseases of the respiratory system,336
2008,Number,M,Total,(K00-K93) Diseases of the digestive system,270
2008,Number,M,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,11
2008,Number,M,Total,(N00-N99) Diseases of the genitourinary system,137
2008,Number,M,Total,(P00-P96) Certain conditions originating in the perinatal period,63
2008,Number,M,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",27
2008,Number,M,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",542
2008,Number,M,Total,Unknown,443
2008,Number,F,Total,(H00-H59) Diseases of the eye,1
2008,Number,F,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",3
2008,Number,F,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,5
2008,Number,F,Total,(A00-B99) Infectious and parasitic diseases,58
2008,Number,F,Total,"(C00-C97,D00-D48) Neoplasms",1546
2008,Number,F,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",15
2008,Number,F,Total,(E00-E90) Endocrine metabolic and nutritional diseases,476
2008,Number,F,Total,(F00-F99) Mental and behavioural disorders,23
2008,Number,F,Total,(G00-G99) Diseases of the nervous system,65
2008,Number,F,Total,(I00-I99) Diseases of the circulatory system,5560
2008,Number,F,Total,(J00-J99) Diseases of the respiratory system,222
