Year,UNIT_MEASURE,Value
1997,Number per 1000 live births,4.9
1998,Number per 1000 live births,4.6
1999,Number per 1000 live births,5.5
2000,Number per 1000 live births,4.2
2001,Number per 1000 live births,4.8
2002,Number per 1000 live births,4.2
2003,Number per 1000 live births,4.7
2004,Number per 1000 live births,5.5
2005,Number per 1000 live births,5.0
2006,Number per 1000 live births,4.9
2007,Number per 1000 live births,6.0
2008,Number per 1000 live births,5.6
2009,Number per 1000 live births,3.9
2010,Number per 1000 live births,3.8
2011,Number per 1000 live births,3.6
2012,Number per 1000 live births,3.2
2013,Number per 1000 live births,3.0
2014,Number per 1000 live births,2.7
2015,Number per 1000 live births,5.0
2016,Number per 1000 live births,4.8
2017,Number per 1000 live births,4.2
2018,Number per 1000 live births,3.6
2019,Number per 1000 live births,3.8
