Year,UNIT_MEASURE,Sex,Value
2006,Number,M,39.5
2007,Number,M,39.0
2008,Number,M,38.8
2009,Number,M,39.6
2010,Number,M,40.3
2011,Number,M,41.4
2012,Number,M,42.3
2013,Number,M,39.1
2014,Number,M,40.1
2015,Number,M,40.0
2016,Number,M,40.3
2017,Number,M,40.8
2018,Number,M,40.1
2019,Number,M,40.8
2020,Number,M,40.6
2021,Number,M,40.5
2022,Number,M,41.4
2023,Number,M,41.1
2006,Number,F,35.7
2007,Number,F,35.5
2008,Number,F,35.4
2009,Number,F,35.8
2010,Number,F,36.6
2011,Number,F,39.2
2012,Number,F,36.8
2013,Number,F,35.3
2014,Number,F,35.6
2015,Number,F,36.2
2016,Number,F,36.5
2017,Number,F,37.0
2018,Number,F,36.4
2019,Number,F,36.9
2020,Number,F,36.6
2021,Number,F,36.7
2022,Number,F,37.8
2023,Number,F,37.6
