Year,UNIT_MEASURE,Sex,Age,Value
2013,Number,Both sexes,Total,2219220
2013,Number,Both sexes,0,21718
2013,Number,Both sexes,1,22690
2013,Number,Both sexes,2,22691
2013,Number,Both sexes,3,23664
2013,Number,Both sexes,4,24080
2013,Number,Both sexes,5,23892
2013,Number,Both sexes,6,22901
2013,Number,Both sexes,7,22965
2013,Number,Both sexes,8,23147
2013,Number,Both sexes,9,23147
2013,Number,Both sexes,10,23884
2013,Number,Both sexes,11,24043
2013,Number,Both sexes,12,24989
2013,Number,Both sexes,13,25785
2013,Number,Both sexes,14,27352
2013,Number,Both sexes,15,30464
2013,Number,Both sexes,16,35091
2013,Number,Both sexes,17,35286
2013,Number,Both sexes,18,33903
2013,Number,Both sexes,19,27137
2013,Number,Both sexes,20,25325
2013,Number,Both sexes,21,29600
2013,Number,Both sexes,22,32119
2013,Number,Both sexes,23,31990
2013,Number,Both sexes,24,31868
2013,Number,Both sexes,25,32919
2013,Number,Both sexes,26,32539
2013,Number,Both sexes,27,32484
2013,Number,Both sexes,28,32610
2013,Number,Both sexes,29,33651
2013,Number,Both sexes,30,32390
2013,Number,Both sexes,31,32319
2013,Number,Both sexes,32,32749
2013,Number,Both sexes,33,31974
2013,Number,Both sexes,34,31556
2013,Number,Both sexes,35,31528
2013,Number,Both sexes,36,31538
2013,Number,Both sexes,37,32341
2013,Number,Both sexes,38,31321
2013,Number,Both sexes,39,30987
2013,Number,Both sexes,40,30584
2013,Number,Both sexes,41,31771
2013,Number,Both sexes,42,31017
2013,Number,Both sexes,43,29652
2013,Number,Both sexes,44,31806
2013,Number,Both sexes,45,32017
2013,Number,Both sexes,46,33018
2013,Number,Both sexes,47,33813
2013,Number,Both sexes,48,34178
2013,Number,Both sexes,49,34083
2013,Number,Both sexes,50,34340
2013,Number,Both sexes,51,35525
2013,Number,Both sexes,52,35006
2013,Number,Both sexes,53,34518
2013,Number,Both sexes,54,34607
2013,Number,Both sexes,55,32581
2013,Number,Both sexes,56,30906
2013,Number,Both sexes,57,31264
2013,Number,Both sexes,58,31461
2013,Number,Both sexes,59,29877
2013,Number,Both sexes,60,29631
2013,Number,Both sexes,61,26762
2013,Number,Both sexes,62,24438
2013,Number,Both sexes,63,24535
2013,Number,Both sexes,64,23247
2013,Number,Both sexes,65,20490
2013,Number,Both sexes,66,21656
2013,Number,Both sexes,67,16531
2013,Number,Both sexes,68,15234
2013,Number,Both sexes,69,14480
2013,Number,Both sexes,70,14562
2013,Number,Both sexes,71,16128
2013,Number,Both sexes,72,16725
2013,Number,Both sexes,73,17668
2013,Number,Both sexes,74,15940
2013,Number,Both sexes,75,15320
2013,Number,Both sexes,76,14194
2013,Number,Both sexes,77,13342
2013,Number,Both sexes,78,11991
2013,Number,Both sexes,79,10766
2013,Number,Both sexes,80,9117
2013,Number,Both sexes,81,8359
2013,Number,Both sexes,82,6844
2013,Number,Both sexes,83,6095
2013,Number,Both sexes,84,4812
2013,Number,Both sexes,85+,15692
2013,Number,M,Total,1087993
2013,Number,M,0,11137
2013,Number,M,1,11702
2013,Number,M,2,11635
2013,Number,M,3,12190
2013,Number,M,4,12353
2013,Number,M,5,12274
2013,Number,M,6,11829
2013,Number,M,7,11750
2013,Number,M,8,11870
2013,Number,M,9,11910
2013,Number,M,10,12366
2013,Number,M,11,12362
2013,Number,M,12,12787
2013,Number,M,13,13148
2013,Number,M,14,13830
2013,Number,M,15,15585
2013,Number,M,16,18159
2013,Number,M,17,18218
2013,Number,M,18,17312
2013,Number,M,19,14024
2013,Number,M,20,13053
2013,Number,M,21,14849
2013,Number,M,22,16459
2013,Number,M,23,16474
2013,Number,M,24,16268
2013,Number,M,25,16801
2013,Number,M,26,16894
2013,Number,M,27,16638
2013,Number,M,28,16721
2013,Number,M,29,17065
2013,Number,M,30,16504
2013,Number,M,31,16570
2013,Number,M,32,16694
2013,Number,M,33,16163
2013,Number,M,34,16001
2013,Number,M,35,15902
2013,Number,M,36,15826
2013,Number,M,37,16187
2013,Number,M,38,15675
2013,Number,M,39,15349
2013,Number,M,40,15127
2013,Number,M,41,15825
2013,Number,M,42,15475
2013,Number,M,43,14747
2013,Number,M,44,15948
2013,Number,M,45,15855
2013,Number,M,46,16405
2013,Number,M,47,16673
2013,Number,M,48,16805
2013,Number,M,49,16856
2013,Number,M,50,16932
2013,Number,M,51,17349
2013,Number,M,52,17203
2013,Number,M,53,16748
2013,Number,M,54,17071
2013,Number,M,55,15630
2013,Number,M,56,15129
2013,Number,M,57,15231
2013,Number,M,58,15090
2013,Number,M,59,14488
2013,Number,M,60,14056
2013,Number,M,61,12507
2013,Number,M,62,11394
2013,Number,M,63,11285
2013,Number,M,64,10657
2013,Number,M,65,9092
2013,Number,M,66,9797
2013,Number,M,67,7429
2013,Number,M,68,6681
2013,Number,M,69,6439
2013,Number,M,70,6237
2013,Number,M,71,6969
2013,Number,M,72,7080
2013,Number,M,73,7467
2013,Number,M,74,6692
2013,Number,M,75,6253
2013,Number,M,76,5904
2013,Number,M,77,5463
2013,Number,M,78,4769
2013,Number,M,79,4306
2013,Number,M,80,3486
2013,Number,M,81,3255
2013,Number,M,82,2677
2013,Number,M,83,2263
2013,Number,M,84,1812
2013,Number,M,85+,4902
