Year,UNIT_MEASURE,Age,Sex,Administrative area,Value
2013,Number,Total,Both sexes,Federation of Bosnia and Herzegovina,2219220
2013,Number,0-4,Both sexes,Federation of Bosnia and Herzegovina,114843
2013,Number, 5-9,Both sexes,Federation of Bosnia and Herzegovina,116052
2013,Number, 10-14,Both sexes,Federation of Bosnia and Herzegovina,126053
2013,Number, 15-19,Both sexes,Federation of Bosnia and Herzegovina,161881
2013,Number, 20-24,Both sexes,Federation of Bosnia and Herzegovina,150902
2013,Number, 25-29,Both sexes,Federation of Bosnia and Herzegovina,164203
2013,Number, 30-34,Both sexes,Federation of Bosnia and Herzegovina,160988
2013,Number, 35-39,Both sexes,Federation of Bosnia and Herzegovina,157715
2013,Number,40-44,Both sexes,Federation of Bosnia and Herzegovina,154830
2013,Number, 45-49,Both sexes,Federation of Bosnia and Herzegovina,167109
2013,Number, 50-54,Both sexes,Federation of Bosnia and Herzegovina,173996
2013,Number, 55-59,Both sexes,Federation of Bosnia and Herzegovina,156089
2013,Number, 60-64,Both sexes,Federation of Bosnia and Herzegovina,128613
2013,Number, 65-69,Both sexes,Federation of Bosnia and Herzegovina,88391
2013,Number, 70-74,Both sexes,Federation of Bosnia and Herzegovina,81023
2013,Number, 75-79,Both sexes,Federation of Bosnia and Herzegovina,65613
2013,Number, 80-84,Both sexes,Federation of Bosnia and Herzegovina,35227
2013,Number,85+,Both sexes,Federation of Bosnia and Herzegovina,15692
2013,Number,Total,Both sexes,Una-Sana Canton,273261
2013,Number,0-4,Both sexes,Una-Sana Canton,14805
2013,Number, 5-9,Both sexes,Una-Sana Canton,15777
2013,Number, 10-14,Both sexes,Una-Sana Canton,17450
2013,Number, 15-19,Both sexes,Una-Sana Canton,21328
2013,Number, 20-24,Both sexes,Una-Sana Canton,19541
2013,Number, 25-29,Both sexes,Una-Sana Canton,20912
2013,Number, 30-34,Both sexes,Una-Sana Canton,20676
2013,Number, 35-39,Both sexes,Una-Sana Canton,21564
2013,Number,40-44,Both sexes,Una-Sana Canton,20687
2013,Number, 45-49,Both sexes,Una-Sana Canton,20701
2013,Number, 50-54,Both sexes,Una-Sana Canton,20224
2013,Number, 55-59,Both sexes,Una-Sana Canton,16989
2013,Number, 60-64,Both sexes,Una-Sana Canton,13344
2013,Number, 65-69,Both sexes,Una-Sana Canton,9626
2013,Number, 70-74,Both sexes,Una-Sana Canton,8824
2013,Number, 75-79,Both sexes,Una-Sana Canton,6527
2013,Number, 80-84,Both sexes,Una-Sana Canton,3067
2013,Number,85+,Both sexes,Una-Sana Canton,1219
2013,Number,Total,Both sexes,Posavina Canton,43453
2013,Number,0-4,Both sexes,Posavina Canton,1582
2013,Number, 5-9,Both sexes,Posavina Canton,1987
2013,Number, 10-14,Both sexes,Posavina Canton,2466
2013,Number, 15-19,Both sexes,Posavina Canton,3016
2013,Number, 20-24,Both sexes,Posavina Canton,2841
2013,Number, 25-29,Both sexes,Posavina Canton,2823
2013,Number, 30-34,Both sexes,Posavina Canton,2680
2013,Number, 35-39,Both sexes,Posavina Canton,3058
2013,Number,40-44,Both sexes,Posavina Canton,3579
2013,Number, 45-49,Both sexes,Posavina Canton,4072
2013,Number, 50-54,Both sexes,Posavina Canton,3535
2013,Number, 55-59,Both sexes,Posavina Canton,2797
2013,Number, 60-64,Both sexes,Posavina Canton,2498
2013,Number, 65-69,Both sexes,Posavina Canton,2138
2013,Number, 70-74,Both sexes,Posavina Canton,1934
2013,Number, 75-79,Both sexes,Posavina Canton,1486
2013,Number, 80-84,Both sexes,Posavina Canton,716
2013,Number,85+,Both sexes,Posavina Canton,245
2013,Number,Total,Both sexes,Tuzla Canton,445028
2013,Number,0-4,Both sexes,Tuzla Canton,23047
2013,Number, 5-9,Both sexes,Tuzla Canton,22730
2013,Number, 10-14,Both sexes,Tuzla Canton,24027
2013,Number, 15-19,Both sexes,Tuzla Canton,32263
2013,Number, 20-24,Both sexes,Tuzla Canton,31620
2013,Number, 25-29,Both sexes,Tuzla Canton,33046
2013,Number, 30-34,Both sexes,Tuzla Canton,31480
2013,Number, 35-39,Both sexes,Tuzla Canton,31195
2013,Number,40-44,Both sexes,Tuzla Canton,31469
2013,Number, 45-49,Both sexes,Tuzla Canton,34576
2013,Number, 50-54,Both sexes,Tuzla Canton,37032
2013,Number, 55-59,Both sexes,Tuzla Canton,31967
2013,Number, 60-64,Both sexes,Tuzla Canton,26735
2013,Number, 65-69,Both sexes,Tuzla Canton,18379
2013,Number, 70-74,Both sexes,Tuzla Canton,15237
2013,Number, 75-79,Both sexes,Tuzla Canton,11738
2013,Number, 80-84,Both sexes,Tuzla Canton,6071
2013,Number,85+,Both sexes,Tuzla Canton,2416
2013,Number,Total,Both sexes,Zenica-Doboj Canton,364433
2013,Number,0-4,Both sexes,Zenica-Doboj Canton,19906
2013,Number, 5-9,Both sexes,Zenica-Doboj Canton,19610
2013,Number, 10-14,Both sexes,Zenica-Doboj Canton,20927
2013,Number, 15-19,Both sexes,Zenica-Doboj Canton,27674
2013,Number, 20-24,Both sexes,Zenica-Doboj Canton,25340
2013,Number, 25-29,Both sexes,Zenica-Doboj Canton,27092
2013,Number, 30-34,Both sexes,Zenica-Doboj Canton,26050
2013,Number, 35-39,Both sexes,Zenica-Doboj Canton,25766
2013,Number,40-44,Both sexes,Zenica-Doboj Canton,25290
2013,Number, 45-49,Both sexes,Zenica-Doboj Canton,27980
2013,Number, 50-54,Both sexes,Zenica-Doboj Canton,29498
2013,Number, 55-59,Both sexes,Zenica-Doboj Canton,26069
2013,Number, 60-64,Both sexes,Zenica-Doboj Canton,21251
2013,Number, 65-69,Both sexes,Zenica-Doboj Canton,14217
2013,Number, 70-74,Both sexes,Zenica-Doboj Canton,12208
2013,Number, 75-79,Both sexes,Zenica-Doboj Canton,9237
2013,Number, 80-84,Both sexes,Zenica-Doboj Canton,4593
2013,Number,85+,Both sexes,Zenica-Doboj Canton,1725
2013,Number,Total,Both sexes,Bosnian-Podrinje Canton,23734
2013,Number,0-4,Both sexes,Bosnian-Podrinje Canton,1098
2013,Number, 5-9,Both sexes,Bosnian-Podrinje Canton,958
2013,Number, 10-14,Both sexes,Bosnian-Podrinje Canton,1230
2013,Number, 15-19,Both sexes,Bosnian-Podrinje Canton,1738
