Year,UNIT_MEASURE,Municipality,Vital statistics,Value
2013,Number,Banovici,Total,9632
2013,Number,Bihac,Total,24809
2013,Number,Bosanska Krupa,Total,10796
2013,Number,Bosanski Petrovac,Total,3181
2013,Number,Bosansko Grahovo,Total,1070
2013,Number,Breza,Total,6196
2013,Number,Bugojno,Total,13421
2013,Number,Busovaca,Total,7270
2013,Number,Buzim,Total,7407
2013,Number,Cazin,Total,27027
2013,Number,Sarajevo-Centar,Total,26201
2013,Number,Capljina,Total,11151
2013,Number,Celic,Total,4372
2013,Number,Citluk,Total,7497
2013,Number,Doboj-Istok,Total,4374
2013,Number,Doboj-Jug,Total,1695
2013,Number,Dobretici,Total,664
2013,Number,Domaljevac-Samac,Total,2073
2013,Number,Donji Vakuf,Total,5822
2013,Number,Drvar,Total,3218
2013,Number,Foca-FBiH,Total,825
2013,Number,Fojnica,Total,5229
2013,Number,Glamoc,Total,1674
2013,Number,Gorazde,Total,9351
2013,Number,Gornji Vakuf-Uskoplje,Total,8606
2013,Number,Gracanica,Total,19789
2013,Number,Gradacac,Total,16870
2013,Number,Grude,Total,7262
2013,Number,Sarajevo-Hadzici,Total,10003
2013,Number,Sarajevo-Ilidza,Total,28903
2013,Number,Sarajevo-Ilijas,Total,8573
2013,Number,Jablanica,Total,4442
2013,Number,Jajce,Total,11157
2013,Number,Kakanj,Total,15662
2013,Number,Kalesija,Total,13637
2013,Number,Kiseljak,Total,8725
2013,Number,Kladanj,Total,5325
2013,Number,Kljuc,Total,7150
2013,Number,Konjic,Total,10945
2013,Number,Kresevo,Total,2304
2013,Number,Kupres-FBiH,Total,2176
2013,Number,Livno,Total,14885
2013,Number,Lukavac,Total,19824
2013,Number,Ljubuski,Total,11872
2013,Number,Maglaj,Total,9962
2013,Number,Mostar,Total,46912
2013,Number,Neum,Total,1948
2013,Number,Sarajevo-Novi Grad,Total,53683
2013,Number,Novi Travnik,Total,9963
2013,Number,Sarajevo-Novo Sarajevo,Total,30918
2013,Number,Odzak,Total,8210
2013,Number,Olovo,Total,4434
2013,Number,Orasje,Total,8479
2013,Number,Pale-FBiH,Total,391
2013,Number,Posusje,Total,8208
2013,Number,Prozor,Total,5867
2013,Number,Ravno,Total,1361
2013,Number,Sanski Most,Total,17665
2013,Number,Sapna,Total,4421
2013,Number,Srebrenik,Total,17037
2013,Number,Sarajevo-Stari Grad,Total,17059
2013,Number,Stolac,Total,6096
2013,Number,Siroki Brijeg,Total,12027
2013,Number,Teocak,Total,3078
2013,Number,Tesanj,Total,17741
2013,Number,Tomislavgrad,Total,13018
2013,Number,Travnik,Total,22532
2013,Number,Trnovo-FBiH,Total,693
2013,Number,Tuzla,Total,51072
2013,Number,Usora,Total,2900
2013,Number,Vares,Total,4070
2013,Number,Velika Kladusa,Total,16483
2013,Number,Visoko,Total,16864
2013,Number,Vitez,Total,10776
2013,Number,Sarajevo-Vogosca,Total,11602
2013,Number,Zavidovici,Total,15108
2013,Number,Zenica,Total,47242
2013,Number,Zepce,Total,12279
2013,Number,Zivinice,Total,24258
2013,Number,Banovici,Did not give birth,2202
2013,Number,Bihac,Did not give birth,6909
2013,Number,Bosanska Krupa,Did not give birth,2740
2013,Number,Bosanski Petrovac,Did not give birth,748
2013,Number,Bosansko Grahovo,Did not give birth,252
2013,Number,Breza,Did not give birth,1512
2013,Number,Bugojno,Did not give birth,3990
2013,Number,Busovaca,Did not give birth,2084
2013,Number,Buzim,Did not give birth,2136
2013,Number,Cazin,Did not give birth,7439
2013,Number,Sarajevo-Centar,Did not give birth,8540
2013,Number,Capljina,Did not give birth,3454
2013,Number,Celic,Did not give birth,1105
2013,Number,Citluk,Did not give birth,2713
2013,Number,Doboj-Istok,Did not give birth,1066
2013,Number,Doboj-Jug,Did not give birth,389
2013,Number,Dobretici,Did not give birth,283
2013,Number,Domaljevac-Samac,Did not give birth,676
2013,Number,Donji Vakuf,Did not give birth,1683
2013,Number,Drvar,Did not give birth,778
2013,Number,Foca-FBiH,Did not give birth,190
2013,Number,Fojnica,Did not give birth,1705
2013,Number,Glamoc,Did not give birth,447
2013,Number,Gorazde,Did not give birth,2468
2013,Number,Gornji Vakuf-Uskoplje,Did not give birth,2840
2013,Number,Gracanica,Did not give birth,4347
2013,Number,Gradacac,Did not give birth,3957
2013,Number,Grude,Did not give birth,2724
2013,Number,Sarajevo-Hadzici,Did not give birth,2634
2013,Number,Sarajevo-Ilidza,Did not give birth,8609
2013,Number,Sarajevo-Ilijas,Did not give birth,2229
2013,Number,Jablanica,Did not give birth,1330
2013,Number,Jajce,Did not give birth,3196
2013,Number,Kakanj,Did not give birth,4161
2013,Number,Kalesija,Did not give birth,3362
2013,Number,Kiseljak,Did not give birth,2390
2013,Number,Kladanj,Did not give birth,1327
2013,Number,Kljuc,Did not give birth,1986
2013,Number,Konjic,Did not give birth,3080
2013,Number,Kresevo,Did not give birth,699
2013,Number,Kupres-FBiH,Did not give birth,858
2013,Number,Livno,Did not give birth,4944
2013,Number,Lukavac,Did not give birth,4464
2013,Number,Ljubuski,Did not give birth,4107
2013,Number,Maglaj,Did not give birth,2547
2013,Number,Mostar,Did not give birth,15227
2013,Number,Neum,Did not give birth,643
2013,Number,Sarajevo-Novi Grad,Did not give birth,16129
2013,Number,Novi Travnik,Did not give birth,2871
2013,Number,Sarajevo-Novo Sarajevo,Did not give birth,10414
2013,Number,Odzak,Did not give birth,2465
2013,Number,Olovo,Did not give birth,1190
2013,Number,Orasje,Did not give birth,2695
2013,Number,Pale-FBiH,Did not give birth,97
2013,Number,Posusje,Did not give birth,3376
2013,Number,Prozor,Did not give birth,2099
2013,Number,Ravno,Did not give birth,500
2013,Number,Sanski Most,Did not give birth,5169
2013,Number,Sapna,Did not give birth,1194
2013,Number,Srebrenik,Did not give birth,3923
2013,Number,Sarajevo-Stari Grad,Did not give birth,5243
2013,Number,Stolac,Did not give birth,2124
2013,Number,Siroki Brijeg,Did not give birth,4262
2013,Number,Teocak,Did not give birth,809
2013,Number,Tesanj,Did not give birth,4310
2013,Number,Tomislavgrad,Did not give birth,5173
2013,Number,Travnik,Did not give birth,6601
2013,Number,Trnovo-FBiH,Did not give birth,158
2013,Number,Tuzla,Did not give birth,13710
2013,Number,Usora,Did not give birth,916
2013,Number,Vares,Did not give birth,997
2013,Number,Velika Kladusa,Did not give birth,4112
2013,Number,Visoko,Did not give birth,4297
2013,Number,Vitez,Did not give birth,3087
2013,Number,Sarajevo-Vogosca,Did not give birth,3232
2013,Number,Zavidovici,Did not give birth,3646
2013,Number,Zenica,Did not give birth,12327
2013,Number,Zepce,Did not give birth,3672
2013,Number,Zivinice,Did not give birth,5806
2013,Number,Banovici,One child,1581
2013,Number,Bihac,One child,3677
2013,Number,Bosanska Krupa,One child,1438
2013,Number,Bosanski Petrovac,One child,434
2013,Number,Bosansko Grahovo,One child,124
2013,Number,Breza,One child,1122
2013,Number,Bugojno,One child,1555
2013,Number,Busovaca,One child,809
2013,Number,Buzim,One child,955
2013,Number,Cazin,One child,4067
2013,Number,Sarajevo-Centar,One child,5078
2013,Number,Capljina,One child,1049
2013,Number,Celic,One child,454
2013,Number,Citluk,One child,650
2013,Number,Doboj-Istok,One child,532
2013,Number,Doboj-Jug,One child,239
2013,Number,Dobretici,One child,32
2013,Number,Domaljevac-Samac,One child,242
2013,Number,Donji Vakuf,One child,644
2013,Number,Drvar,One child,431
2013,Number,Foca-FBiH,One child,73
2013,Number,Fojnica,One child,579
2013,Number,Glamoc,One child,135
2013,Number,Gorazde,One child,1198
2013,Number,Gornji Vakuf-Uskoplje,One child,807
2013,Number,Gracanica,One child,2947
2013,Number,Gradacac,One child,2256
2013,Number,Grude,One child,543
2013,Number,Sarajevo-Hadzici,One child,1429
2013,Number,Sarajevo-Ilidza,One child,4309
2013,Number,Sarajevo-Ilijas,One child,1196
2013,Number,Jablanica,One child,508
2013,Number,Jajce,One child,1109
2013,Number,Kakanj,One child,1964
2013,Number,Kalesija,One child,1684
2013,Number,Kiseljak,One child,1078
2013,Number,Kladanj,One child,665
2013,Number,Kljuc,One child,732
2013,Number,Konjic,One child,1285
2013,Number,Kresevo,One child,244
2013,Number,Kupres-FBiH,One child,169
2013,Number,Livno,One child,1226
2013,Number,Lukavac,One child,3691
2013,Number,Ljubuski,One child,1040
2013,Number,Maglaj,One child,1424
2013,Number,Mostar,One child,5896
2013,Number,Neum,One child,168
2013,Number,Sarajevo-Novi Grad,One child,9593
2013,Number,Novi Travnik,One child,1255
2013,Number,Sarajevo-Novo Sarajevo,One child,6222
2013,Number,Odzak,One child,982
2013,Number,Olovo,One child,502
2013,Number,Orasje,One child,1055
2013,Number,Pale-FBiH,One child,31
2013,Number,Posusje,One child,624
2013,Number,Prozor,One child,442
2013,Number,Ravno,One child,142
2013,Number,Sanski Most,One child,2179
2013,Number,Sapna,One child,384
2013,Number,Srebrenik,One child,2307
2013,Number,Sarajevo-Stari Grad,One child,2934
2013,Number,Stolac,One child,530
2013,Number,Siroki Brijeg,One child,1014
2013,Number,Teocak,One child,343
2013,Number,Tesanj,One child,2357
2013,Number,Tomislavgrad,One child,958
2013,Number,Travnik,One child,2740
2013,Number,Trnovo-FBiH,One child,46
2013,Number,Tuzla,One child,9432
2013,Number,Usora,One child,262
2013,Number,Vares,One child,583
2013,Number,Velika Kladusa,One child,2536
2013,Number,Visoko,One child,2463
2013,Number,Vitez,One child,1216
2013,Number,Sarajevo-Vogosca,One child,1875
2013,Number,Zavidovici,One child,1989
2013,Number,Zenica,One child,7711
2013,Number,Zepce,One child,1297
2013,Number,Zivinice,One child,3423
2013,Number,Banovici,Two children,3796
2013,Number,Bihac,Two children,7800
2013,Number,Bosanska Krupa,Two children,3162
2013,Number,Bosanski Petrovac,Two children,1240
2013,Number,Bosansko Grahovo,Two children,393
2013,Number,Breza,Two children,2555
2013,Number,Bugojno,Two children,3747
2013,Number,Busovaca,Two children,1928
2013,Number,Buzim,Two children,1620
2013,Number,Cazin,Two children,7242
2013,Number,Sarajevo-Centar,Two children,9471
2013,Number,Capljina,Two children,3066
2013,Number,Celic,Two children,1396
2013,Number,Citluk,Two children,1475
2013,Number,Doboj-Istok,Two children,1632
2013,Number,Doboj-Jug,Two children,611
2013,Number,Dobretici,Two children,83
2013,Number,Domaljevac-Samac,Two children,565
2013,Number,Donji Vakuf,Two children,1613
2013,Number,Drvar,Two children,1399
2013,Number,Foca-FBiH,Two children,262
2013,Number,Fojnica,Two children,1407
2013,Number,Glamoc,Two children,504
2013,Number,Gorazde,Two children,3406
2013,Number,Gornji Vakuf-Uskoplje,Two children,1882
2013,Number,Gracanica,Two children,7975
