Year,UNIT_MEASURE,Administrative Area,Household size,Value
2013,Number,Federation of Bosnia and Herzegovina,Total,715665
2013,Number,Federation of Bosnia and Herzegovina,1,125942
2013,Number,Federation of Bosnia and Herzegovina,2,167372
2013,Number,Federation of Bosnia and Herzegovina,3,148905
2013,Number,Federation of Bosnia and Herzegovina,4,154944
2013,Number,Federation of Bosnia and Herzegovina,5,67486
2013,Number,Federation of Bosnia and Herzegovina,6,30205
2013,Number,Federation of Bosnia and Herzegovina,7,11533
2013,Number,Federation of Bosnia and Herzegovina,8+,9278
2013,Number,Una-Sana Canton,Total,78255
2013,Number,Una-Sana Canton,1,11192
2013,Number,Una-Sana Canton,2,15317
2013,Number,Una-Sana Canton,3,14714
2013,Number,Una-Sana Canton,4,17510
2013,Number,Una-Sana Canton,5,9711
2013,Number,Una-Sana Canton,6,5226
2013,Number,Una-Sana Canton,7,2332
2013,Number,Una-Sana Canton,8+,2253
2013,Number,Posavina Canton,Total,13312
2013,Number,Posavina Canton,1,2537
2013,Number,Posavina Canton,2,2808
2013,Number,Posavina Canton,3,2366
2013,Number,Posavina Canton,4,2606
2013,Number,Posavina Canton,5,1588
2013,Number,Posavina Canton,6,803
2013,Number,Posavina Canton,7,321
2013,Number,Posavina Canton,8+,283
2013,Number,Tuzla Canton,Total,150598
2013,Number,Tuzla Canton,1,25880
2013,Number,Tuzla Canton,2,37907
2013,Number,Tuzla Canton,3,34556
2013,Number,Tuzla Canton,4,33863
2013,Number,Tuzla Canton,5,11199
2013,Number,Tuzla Canton,6,4894
2013,Number,Tuzla Canton,7,1427
2013,Number,Tuzla Canton,8+,872
2013,Number,Zenica-Doboj Canton,Total,121139
2013,Number,Zenica-Doboj Canton,1,20383
2013,Number,Zenica-Doboj Canton,2,29234
2013,Number,Zenica-Doboj Canton,3,27207
2013,Number,Zenica-Doboj Canton,4,28049
2013,Number,Zenica-Doboj Canton,5,10450
2013,Number,Zenica-Doboj Canton,6,3802
2013,Number,Zenica-Doboj Canton,7,1245
2013,Number,Zenica-Doboj Canton,8+,769
2013,Number,Bosnian-Podrinje Canton,Total,8670
2013,Number,Bosnian-Podrinje Canton,1,1937
2013,Number,Bosnian-Podrinje Canton,2,2413
2013,Number,Bosnian-Podrinje Canton,3,1732
2013,Number,Bosnian-Podrinje Canton,4,1719
2013,Number,Bosnian-Podrinje Canton,5,565
2013,Number,Bosnian-Podrinje Canton,6,206
2013,Number,Bosnian-Podrinje Canton,7,71
2013,Number,Bosnian-Podrinje Canton,8+,27
2013,Number,Central Bosnia Canton,Total,77881
2013,Number,Central Bosnia Canton,1,12274
2013,Number,Central Bosnia Canton,2,16738
