Year,UNIT_MEASURE,Administrative Area,Sex,Highest educational attainment,Value
2013,Number,Federation of Bosnia and Herzegovina,Total,Total,1862272
2013,Number,Federation of Bosnia and Herzegovina,Total,No education,82724
2013,Number,Federation of Bosnia and Herzegovina,Total,Incomplete elementary education,167956
2013,Number,Federation of Bosnia and Herzegovina,Total,Elementary education,401188
2013,Number,Federation of Bosnia and Herzegovina,Total,Secondary education,952320
2013,Number,Federation of Bosnia and Herzegovina,Total,Secondary specialisation,13254
2013,Number,Federation of Bosnia and Herzegovina,Total,Higher school and first degree of faculty,56720
2013,Number,Federation of Bosnia and Herzegovina,Total,Faculty / academy / university,188110
2013,Number,Una-Sana Canton,Total,Total,225229
2013,Number,Una-Sana Canton,Total,No education,13280
2013,Number,Una-Sana Canton,Total,Incomplete elementary education,23698
2013,Number,Una-Sana Canton,Total,Elementary education,65447
2013,Number,Una-Sana Canton,Total,Secondary education,101836
2013,Number,Una-Sana Canton,Total,Secondary specialisation,827
2013,Number,Una-Sana Canton,Total,Higher school and first degree of faculty,6495
2013,Number,Una-Sana Canton,Total,Faculty / academy / university,13646
2013,Number,Posavina Canton,Total,Total,37418
2013,Number,Posavina Canton,Total,No education,1877
2013,Number,Posavina Canton,Total,Incomplete elementary education,5411
2013,Number,Posavina Canton,Total,Elementary education,8965
2013,Number,Posavina Canton,Total,Secondary education,17468
2013,Number,Posavina Canton,Total,Secondary specialisation,200
2013,Number,Posavina Canton,Total,Higher school and first degree of faculty,1001
2013,Number,Posavina Canton,Total,Faculty / academy / university,2496
2013,Number,Tuzla Canton,Total,Total,375224
2013,Number,Tuzla Canton,Total,No education,19235
2013,Number,Tuzla Canton,Total,Incomplete elementary education,40851
2013,Number,Tuzla Canton,Total,Elementary education,86031
2013,Number,Tuzla Canton,Total,Secondary education,191001
2013,Number,Tuzla Canton,Total,Secondary specialisation,2692
2013,Number,Tuzla Canton,Total,Higher school and first degree of faculty,7370
2013,Number,Tuzla Canton,Total,Faculty / academy / university,28044
2013,Number,Zenica-Doboj Canton,Total,Total,303990
2013,Number,Zenica-Doboj Canton,Total,No education,13040
2013,Number,Zenica-Doboj Canton,Total,Incomplete elementary education,31325
2013,Number,Zenica-Doboj Canton,Total,Elementary education,71548
2013,Number,Zenica-Doboj Canton,Total,Secondary education,156591
2013,Number,Zenica-Doboj Canton,Total,Secondary specialisation,3593
2013,Number,Zenica-Doboj Canton,Total,Higher school and first degree of faculty,7050
2013,Number,Zenica-Doboj Canton,Total,Faculty / academy / university,20843
2013,Number,Bosnian-Podrinje Canton,Total,Total,20448
2013,Number,Bosnian-Podrinje Canton,Total,No education,1133
2013,Number,Bosnian-Podrinje Canton,Total,Incomplete elementary education,1705
2013,Number,Bosnian-Podrinje Canton,Total,Elementary education,4886
2013,Number,Bosnian-Podrinje Canton,Total,Secondary education,10173
2013,Number,Bosnian-Podrinje Canton,Total,Secondary specialisation,205
2013,Number,Bosnian-Podrinje Canton,Total,Higher school and first degree of faculty,518
2013,Number,Bosnian-Podrinje Canton,Total,Faculty / academy / university,1828
2013,Number,Central Bosnia Canton,Total,Total,211486
2013,Number,Central Bosnia Canton,Total,No education,10958
2013,Number,Central Bosnia Canton,Total,Incomplete elementary education,23045
2013,Number,Central Bosnia Canton,Total,Elementary education,49690
2013,Number,Central Bosnia Canton,Total,Secondary education,107657
2013,Number,Central Bosnia Canton,Total,Secondary specialisation,1321
2013,Number,Central Bosnia Canton,Total,Higher school and first degree of faculty,5219
2013,Number,Central Bosnia Canton,Total,Faculty / academy / university,13596
2013,Number,Herzegovina-Neretva Canton,Total,Total,187848
2013,Number,Herzegovina-Neretva Canton,Total,No education,6789
2013,Number,Herzegovina-Neretva Canton,Total,Incomplete elementary education,13648
2013,Number,Herzegovina-Neretva Canton,Total,Elementary education,33296
2013,Number,Herzegovina-Neretva Canton,Total,Secondary education,101352
2013,Number,Herzegovina-Neretva Canton,Total,Secondary specialisation,1347
2013,Number,Herzegovina-Neretva Canton,Total,Higher school and first degree of faculty,7772
2013,Number,Herzegovina-Neretva Canton,Total,Faculty / academy / university,23644
2013,Number,West Herzegovina Canton,Total,Total,78046
2013,Number,West Herzegovina Canton,Total,No education,2960
2013,Number,West Herzegovina Canton,Total,Incomplete elementary education,6267
2013,Number,West Herzegovina Canton,Total,Elementary education,12575
2013,Number,West Herzegovina Canton,Total,Secondary education,42986
2013,Number,West Herzegovina Canton,Total,Secondary specialisation,387
2013,Number,West Herzegovina Canton,Total,Higher school and first degree of faculty,3427
2013,Number,West Herzegovina Canton,Total,Faculty / academy / university,9444
2013,Number,Sarajevo Canton,Total,Total,350333
2013,Number,Sarajevo Canton,Total,No education,9766
2013,Number,Sarajevo Canton,Total,Incomplete elementary education,14669
2013,Number,Sarajevo Canton,Total,Elementary education,54955
2013,Number,Sarajevo Canton,Total,Secondary education,186928
2013,Number,Sarajevo Canton,Total,Secondary specialisation,2385
2013,Number,Sarajevo Canton,Total,Higher school and first degree of faculty,14716
2013,Number,Sarajevo Canton,Total,Faculty / academy / university,66914
2013,Number,Canton 10,Total,Total,72250
2013,Number,Canton 10,Total,No education,3686
2013,Number,Canton 10,Total,Incomplete elementary education,7337
2013,Number,Canton 10,Total,Elementary education,13795
2013,Number,Canton 10,Total,Secondary education,36328
2013,Number,Canton 10,Total,Secondary specialisation,297
2013,Number,Canton 10,Total,Higher school and first degree of faculty,3152
2013,Number,Canton 10,Total,Faculty / academy / university,7655
2013,Number,Federation of Bosnia and Herzegovina,M,Total,904850
2013,Number,Federation of Bosnia and Herzegovina,M,No education,13635
2013,Number,Federation of Bosnia and Herzegovina,M,Incomplete elementary education,46470
2013,Number,Federation of Bosnia and Herzegovina,M,Elementary education,166078
2013,Number,Federation of Bosnia and Herzegovina,M,Secondary education,547281
2013,Number,Federation of Bosnia and Herzegovina,M,Secondary specialisation,11005
2013,Number,Federation of Bosnia and Herzegovina,M,Higher school and first degree of faculty,30520
2013,Number,Federation of Bosnia and Herzegovina,M,Faculty / academy / university,89861
2013,Number,Una-Sana Canton,M,Total,110711
2013,Number,Una-Sana Canton,M,No education,2609
2013,Number,Una-Sana Canton,M,Incomplete elementary education,8511
2013,Number,Una-Sana Canton,M,Elementary education,29553
2013,Number,Una-Sana Canton,M,Secondary education,59686
2013,Number,Una-Sana Canton,M,Secondary specialisation,583
2013,Number,Una-Sana Canton,M,Higher school and first degree of faculty,3294
2013,Number,Una-Sana Canton,M,Faculty / academy / university,6475
2013,Number,Posavina Canton,M,Total,18656
2013,Number,Posavina Canton,M,No education,367
2013,Number,Posavina Canton,M,Incomplete elementary education,2125
2013,Number,Posavina Canton,M,Elementary education,4316
2013,Number,Posavina Canton,M,Secondary education,9831
2013,Number,Posavina Canton,M,Secondary specialisation,146
2013,Number,Posavina Canton,M,Higher school and first degree of faculty,572
2013,Number,Posavina Canton,M,Faculty / academy / university,1299
2013,Number,Tuzla Canton,M,Total,181535
2013,Number,Tuzla Canton,M,No education,3089
