Year,UNIT_MEASURE,Administrative area,Sex,Value
1998,Number,federation_of_bih,Both sexes,483426.0
1998,Number,una-sana_canton,Both sexes,19062.0
1998,Number,posavina_canton,Both sexes,400.0
1998,Number,tuzla_canton,Both sexes,52338.0
1998,Number,zenica-doboj_canton,Both sexes,166900.0
1998,Number,bosnian-podrinje_canton,Both sexes,
1998,Number,central_bosnia_canton,Both sexes,19686.0
1998,Number,herzegovina-neretva_canton,Both sexes,18032.0
1998,Number,west_herzegovina_canton,Both sexes,
1998,Number,sarajevo_canton,Both sexes,205599.0
1998,Number,canton_10,Both sexes,1409.0
1998,Number,federation_of_bih,M,256508.0
1998,Number,una-sana_canton,M,8518.0
1998,Number,posavina_canton,M,167.0
1998,Number,tuzla_canton,M,25383.0
1998,Number,zenica-doboj_canton,M,93367.0
1998,Number,bosnian-podrinje_canton,M,
1998,Number,central_bosnia_canton,M,8634.0
1998,Number,herzegovina-neretva_canton,M,7469.0
1998,Number,west_herzegovina_canton,M,
1998,Number,sarajevo_canton,M,112504.0
1998,Number,canton_10,M,466.0
1998,Number,federation_of_bih,F,226918.0
1998,Number,una-sana_canton,F,10544.0
1998,Number,posavina_canton,F,233.0
1998,Number,tuzla_canton,F,26955.0
1998,Number,zenica-doboj_canton,F,73533.0
1998,Number,bosnian-podrinje_canton,F,
1998,Number,central_bosnia_canton,F,11052.0
1998,Number,herzegovina-neretva_canton,F,10563.0
1998,Number,west_herzegovina_canton,F,
1998,Number,sarajevo_canton,F,93095.0
1998,Number,canton_10,F,943.0
1999,Number,federation_of_bih,Both sexes,316644.0
1999,Number,una-sana_canton,Both sexes,8787.0
1999,Number,posavina_canton,Both sexes,911.0
1999,Number,tuzla_canton,Both sexes,49938.0
1999,Number,zenica-doboj_canton,Both sexes,122126.0
1999,Number,bosnian-podrinje_canton,Both sexes,
1999,Number,central_bosnia_canton,Both sexes,25288.0
1999,Number,herzegovina-neretva_canton,Both sexes,33768.0
1999,Number,west_herzegovina_canton,Both sexes,1198.0
1999,Number,sarajevo_canton,Both sexes,71624.0
1999,Number,canton_10,Both sexes,3004.0
1999,Number,federation_of_bih,M,158297.0
1999,Number,una-sana_canton,M,4056.0
1999,Number,posavina_canton,M,459.0
1999,Number,tuzla_canton,M,24031.0
1999,Number,zenica-doboj_canton,M,52694.0
1999,Number,bosnian-podrinje_canton,M,
1999,Number,central_bosnia_canton,M,11153.0
1999,Number,herzegovina-neretva_canton,M,18834.0
1999,Number,west_herzegovina_canton,M,830.0
1999,Number,sarajevo_canton,M,45340.0
1999,Number,canton_10,M,901.0
1999,Number,federation_of_bih,F,158347.0
1999,Number,una-sana_canton,F,4731.0
1999,Number,posavina_canton,F,452.0
1999,Number,tuzla_canton,F,25907.0
1999,Number,zenica-doboj_canton,F,69432.0
1999,Number,bosnian-podrinje_canton,F,
1999,Number,central_bosnia_canton,F,14135.0
1999,Number,herzegovina-neretva_canton,F,14934.0
1999,Number,west_herzegovina_canton,F,368.0
1999,Number,sarajevo_canton,F,26284.0
1999,Number,canton_10,F,2103.0
2000,Number,federation_of_bih,Both sexes,283785.0
2000,Number,una-sana_canton,Both sexes,11514.0
2000,Number,posavina_canton,Both sexes,1759.0
2000,Number,tuzla_canton,Both sexes,51918.0
2000,Number,zenica-doboj_canton,Both sexes,84090.0
2000,Number,bosnian-podrinje_canton,Both sexes,
2000,Number,central_bosnia_canton,Both sexes,28632.0
2000,Number,herzegovina-neretva_canton,Both sexes,25754.0
2000,Number,west_herzegovina_canton,Both sexes,1198.0
2000,Number,sarajevo_canton,Both sexes,76363.0
2000,Number,canton_10,Both sexes,2557.0
2000,Number,federation_of_bih,M,150741.0
2000,Number,una-sana_canton,M,3628.0
