Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,222707
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,207896
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,199038
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,198328
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,194343
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,191210
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,189019
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,185605
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,184053
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,179781
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,175316
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,173065
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,169786
2023,Number,Federation of Bosnia and Herzegovina,Both sexes,166817
2010,Number,Federation of Bosnia and Herzegovina,M,114334
2011,Number,Federation of Bosnia and Herzegovina,M,106642
2012,Number,Federation of Bosnia and Herzegovina,M,101893
2013,Number,Federation of Bosnia and Herzegovina,M,101621
2014,Number,Federation of Bosnia and Herzegovina,M,99688
2015,Number,Federation of Bosnia and Herzegovina,M,98504
2016,Number,Federation of Bosnia and Herzegovina,M,97635
2017,Number,Federation of Bosnia and Herzegovina,M,95408
2018,Number,Federation of Bosnia and Herzegovina,M,94664
2019,Number,Federation of Bosnia and Herzegovina,M,92243
2020,Number,Federation of Bosnia and Herzegovina,M,89950
2021,Number,Federation of Bosnia and Herzegovina,M,88871
2022,Number,Federation of Bosnia and Herzegovina,M,86891
2023,Number,Federation of Bosnia and Herzegovina,M,85467
2010,Number,Federation of Bosnia and Herzegovina,F,108373
2011,Number,Federation of Bosnia and Herzegovina,F,101254
2012,Number,Federation of Bosnia and Herzegovina,F,97145
2013,Number,Federation of Bosnia and Herzegovina,F,96707
2014,Number,Federation of Bosnia and Herzegovina,F,94655
2015,Number,Federation of Bosnia and Herzegovina,F,92706
2016,Number,Federation of Bosnia and Herzegovina,F,91384
2017,Number,Federation of Bosnia and Herzegovina,F,90197
2018,Number,Federation of Bosnia and Herzegovina,F,89389
2019,Number,Federation of Bosnia and Herzegovina,F,87538
2020,Number,Federation of Bosnia and Herzegovina,F,85366
2021,Number,Federation of Bosnia and Herzegovina,F,84194
2022,Number,Federation of Bosnia and Herzegovina,F,82895
2023,Number,Federation of Bosnia and Herzegovina,F,81350
2010,Number,Una-Sana Canton,Both sexes,29511
2011,Number,Una-Sana Canton,Both sexes,27197
2012,Number,Una-Sana Canton,Both sexes,25618
2013,Number,Una-Sana Canton,Both sexes,25741
2014,Number,Una-Sana Canton,Both sexes,24586
2015,Number,Una-Sana Canton,Both sexes,23618
2016,Number,Una-Sana Canton,Both sexes,22764
2017,Number,Una-Sana Canton,Both sexes,21862
2018,Number,Una-Sana Canton,Both sexes,20716
2019,Number,Una-Sana Canton,Both sexes,19176
2020,Number,Una-Sana Canton,Both sexes,18034
2021,Number,Una-Sana Canton,Both sexes,17049
2022,Number,Una-Sana Canton,Both sexes,16491
2023,Number,Una-Sana Canton,Both sexes,15503
2010,Number,Una-Sana Canton,M,15161
2011,Number,Una-Sana Canton,M,13927
2012,Number,Una-Sana Canton,M,13048
2013,Number,Una-Sana Canton,M,13189
2014,Number,Una-Sana Canton,M,12550
2015,Number,Una-Sana Canton,M,11989
2016,Number,Una-Sana Canton,M,11656
2017,Number,Una-Sana Canton,M,11147
2018,Number,Una-Sana Canton,M,10608
2019,Number,Una-Sana Canton,M,9746
2020,Number,Una-Sana Canton,M,9194
2021,Number,Una-Sana Canton,M,8664
2022,Number,Una-Sana Canton,M,8375
2023,Number,Una-Sana Canton,M,7903
2010,Number,Una-Sana Canton,F,14350
2011,Number,Una-Sana Canton,F,13270
2012,Number,Una-Sana Canton,F,12570
2013,Number,Una-Sana Canton,F,12552
2014,Number,Una-Sana Canton,F,12036
2015,Number,Una-Sana Canton,F,11629
2016,Number,Una-Sana Canton,F,11108
2017,Number,Una-Sana Canton,F,10715
2018,Number,Una-Sana Canton,F,10108
2019,Number,Una-Sana Canton,F,9430
2020,Number,Una-Sana Canton,F,8840
2021,Number,Una-Sana Canton,F,8385
2022,Number,Una-Sana Canton,F,8116
2023,Number,Una-Sana Canton,F,7600
2010,Number,Posavina Canton,Both sexes,3597
2011,Number,Posavina Canton,Both sexes,3418
2012,Number,Posavina Canton,Both sexes,3180
2013,Number,Posavina Canton,Both sexes,3054
2014,Number,Posavina Canton,Both sexes,2781
2015,Number,Posavina Canton,Both sexes,2621
2016,Number,Posavina Canton,Both sexes,2431
2017,Number,Posavina Canton,Both sexes,2259
2018,Number,Posavina Canton,Both sexes,2071
2019,Number,Posavina Canton,Both sexes,1877
2020,Number,Posavina Canton,Both sexes,1762
2021,Number,Posavina Canton,Both sexes,1662
2022,Number,Posavina Canton,Both sexes,1575
2023,Number,Posavina Canton,Both sexes,1483
2010,Number,Posavina Canton,M,1841
2011,Number,Posavina Canton,M,1736
2012,Number,Posavina Canton,M,1647
2013,Number,Posavina Canton,M,1591
2014,Number,Posavina Canton,M,1446
2015,Number,Posavina Canton,M,1343
2016,Number,Posavina Canton,M,1244
2017,Number,Posavina Canton,M,1151
2018,Number,Posavina Canton,M,1062
2019,Number,Posavina Canton,M,959
2020,Number,Posavina Canton,M,907
2021,Number,Posavina Canton,M,852
2022,Number,Posavina Canton,M,797
2023,Number,Posavina Canton,M,741
2010,Number,Posavina Canton,F,1756
2011,Number,Posavina Canton,F,1682
2012,Number,Posavina Canton,F,1533
2013,Number,Posavina Canton,F,1463
2014,Number,Posavina Canton,F,1335
2015,Number,Posavina Canton,F,1278
2016,Number,Posavina Canton,F,1187
2017,Number,Posavina Canton,F,1108
2018,Number,Posavina Canton,F,1009
2019,Number,Posavina Canton,F,918
2020,Number,Posavina Canton,F,855
2021,Number,Posavina Canton,F,810
2022,Number,Posavina Canton,F,778
2023,Number,Posavina Canton,F,742
2010,Number,Tuzla Canton,Both sexes,45521
2011,Number,Tuzla Canton,Both sexes,42090
2012,Number,Tuzla Canton,Both sexes,39990
2013,Number,Tuzla Canton,Both sexes,39936
2014,Number,Tuzla Canton,Both sexes,39753
2015,Number,Tuzla Canton,Both sexes,39416
