Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,15425
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,15378
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,15045
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,15220
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,15266
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,14908
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,15153
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,15384
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,15455
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,15639
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,15858
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,15896
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,15848
2010,Number,Federation of Bosnia and Herzegovina,M,4569
2011,Number,Federation of Bosnia and Herzegovina,M,4575
2012,Number,Federation of Bosnia and Herzegovina,M,4383
2013,Number,Federation of Bosnia and Herzegovina,M,4395
2014,Number,Federation of Bosnia and Herzegovina,M,4322
2015,Number,Federation of Bosnia and Herzegovina,M,4172
2016,Number,Federation of Bosnia and Herzegovina,M,4200
2017,Number,Federation of Bosnia and Herzegovina,M,4191
2018,Number,Federation of Bosnia and Herzegovina,M,4160
2019,Number,Federation of Bosnia and Herzegovina,M,4101
2020,Number,Federation of Bosnia and Herzegovina,M,4125
2021,Number,Federation of Bosnia and Herzegovina,M,4080
2022,Number,Federation of Bosnia and Herzegovina,M,4059
2010,Number,Federation of Bosnia and Herzegovina,F,10856
2011,Number,Federation of Bosnia and Herzegovina,F,10803
2012,Number,Federation of Bosnia and Herzegovina,F,10662
2013,Number,Federation of Bosnia and Herzegovina,F,10825
2014,Number,Federation of Bosnia and Herzegovina,F,10944
2015,Number,Federation of Bosnia and Herzegovina,F,10736
2016,Number,Federation of Bosnia and Herzegovina,F,10953
2017,Number,Federation of Bosnia and Herzegovina,F,11193
2018,Number,Federation of Bosnia and Herzegovina,F,11295
2019,Number,Federation of Bosnia and Herzegovina,F,11538
2020,Number,Federation of Bosnia and Herzegovina,F,11733
2021,Number,Federation of Bosnia and Herzegovina,F,11816
2022,Number,Federation of Bosnia and Herzegovina,F,11789
2010,Number,Una-Sana Canton,Both sexes,1828
2011,Number,Una-Sana Canton,Both sexes,1896
2012,Number,Una-Sana Canton,Both sexes,1787
2013,Number,Una-Sana Canton,Both sexes,1879
2014,Number,Una-Sana Canton,Both sexes,1907
2015,Number,Una-Sana Canton,Both sexes,1784
2016,Number,Una-Sana Canton,Both sexes,1808
2017,Number,Una-Sana Canton,Both sexes,1791
2018,Number,Una-Sana Canton,Both sexes,1765
2019,Number,Una-Sana Canton,Both sexes,1683
2020,Number,Una-Sana Canton,Both sexes,1640
2021,Number,Una-Sana Canton,Both sexes,1617
2022,Number,Una-Sana Canton,Both sexes,1534
2010,Number,Una-Sana Canton,M,557
2011,Number,Una-Sana Canton,M,602
2012,Number,Una-Sana Canton,M,524
2013,Number,Una-Sana Canton,M,571
2014,Number,Una-Sana Canton,M,576
2015,Number,Una-Sana Canton,M,546
2016,Number,Una-Sana Canton,M,555
2017,Number,Una-Sana Canton,M,550
2018,Number,Una-Sana Canton,M,545
2019,Number,Una-Sana Canton,M,516
2020,Number,Una-Sana Canton,M,505
2021,Number,Una-Sana Canton,M,483
2022,Number,Una-Sana Canton,M,462
2010,Number,Una-Sana Canton,F,1271
2011,Number,Una-Sana Canton,F,1294
2012,Number,Una-Sana Canton,F,1263
2013,Number,Una-Sana Canton,F,1308
2014,Number,Una-Sana Canton,F,1331
2015,Number,Una-Sana Canton,F,1238
2016,Number,Una-Sana Canton,F,1253
2017,Number,Una-Sana Canton,F,1241
2018,Number,Una-Sana Canton,F,1220
2019,Number,Una-Sana Canton,F,1167
2020,Number,Una-Sana Canton,F,1135
2021,Number,Una-Sana Canton,F,1134
2022,Number,Una-Sana Canton,F,1072
2010,Number,Posavina Canton,Both sexes,256
2011,Number,Posavina Canton,Both sexes,283
2012,Number,Posavina Canton,Both sexes,266
2013,Number,Posavina Canton,Both sexes,269
2014,Number,Posavina Canton,Both sexes,270
2015,Number,Posavina Canton,Both sexes,255
2016,Number,Posavina Canton,Both sexes,245
2017,Number,Posavina Canton,Both sexes,226
2018,Number,Posavina Canton,Both sexes,227
2019,Number,Posavina Canton,Both sexes,225
2020,Number,Posavina Canton,Both sexes,228
