Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,
2016,Number,Federation of Bosnia and Herzegovina,Technical high schools,
2016,Number,Federation of Bosnia and Herzegovina,Vocational high schools,
2016,Number,Federation of Bosnia and Herzegovina,Art schools,
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,
2017,Number,Federation of Bosnia and Herzegovina,Technical high schools,
2017,Number,Federation of Bosnia and Herzegovina,Vocational high schools,
2017,Number,Federation of Bosnia and Herzegovina,Art schools,
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,
2018,Number,Federation of Bosnia and Herzegovina,Technical high schools,
2018,Number,Federation of Bosnia and Herzegovina,Vocational high schools,
2018,Number,Federation of Bosnia and Herzegovina,Art schools,
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,
2019,Number,Federation of Bosnia and Herzegovina,Technical high schools,
2019,Number,Federation of Bosnia and Herzegovina,Vocational high schools,
2019,Number,Federation of Bosnia and Herzegovina,Art schools,
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,
2020,Number,Federation of Bosnia and Herzegovina,Technical high schools,
2020,Number,Federation of Bosnia and Herzegovina,Vocational high schools,
2020,Number,Federation of Bosnia and Herzegovina,Art schools,
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,
2016,Number,Una-Sana Canton,Gymnasium,
2016,Number,Una-Sana Canton,Technical high schools,
2016,Number,Una-Sana Canton,Vocational high schools,
2016,Number,Una-Sana Canton,Art schools,
2016,Number,Una-Sana Canton,Religious schools,
2016,Number,Una-Sana Canton,High schools for students with disabilities,
2017,Number,Una-Sana Canton,Gymnasium,
2017,Number,Una-Sana Canton,Technical high schools,
2017,Number,Una-Sana Canton,Vocational high schools,
2017,Number,Una-Sana Canton,Art schools,
2017,Number,Una-Sana Canton,Religious schools,
2017,Number,Una-Sana Canton,High schools for students with disabilities,
2018,Number,Una-Sana Canton,Gymnasium,
2018,Number,Una-Sana Canton,Technical high schools,
2018,Number,Una-Sana Canton,Vocational high schools,
2018,Number,Una-Sana Canton,Art schools,
2018,Number,Una-Sana Canton,Religious schools,
2018,Number,Una-Sana Canton,High schools for students with disabilities,
2019,Number,Una-Sana Canton,Gymnasium,
2019,Number,Una-Sana Canton,Technical high schools,
2019,Number,Una-Sana Canton,Vocational high schools,
2019,Number,Una-Sana Canton,Art schools,
2019,Number,Una-Sana Canton,Religious schools,
2019,Number,Una-Sana Canton,High schools for students with disabilities,
2020,Number,Una-Sana Canton,Gymnasium,
2020,Number,Una-Sana Canton,Technical high schools,
2020,Number,Una-Sana Canton,Vocational high schools,
2020,Number,Una-Sana Canton,Art schools,
2020,Number,Una-Sana Canton,Religious schools,
2020,Number,Una-Sana Canton,High schools for students with disabilities,
2016,Number,Posavina Canton,Gymnasium,
2016,Number,Posavina Canton,Technical high schools,
2016,Number,Posavina Canton,Vocational high schools,
2016,Number,Posavina Canton,Art schools,
2016,Number,Posavina Canton,Religious schools,
2016,Number,Posavina Canton,High schools for students with disabilities,
2017,Number,Posavina Canton,Gymnasium,
2017,Number,Posavina Canton,Technical high schools,
2017,Number,Posavina Canton,Vocational high schools,
2017,Number,Posavina Canton,Art schools,
2017,Number,Posavina Canton,Religious schools,
2017,Number,Posavina Canton,High schools for students with disabilities,
2018,Number,Posavina Canton,Gymnasium,
2018,Number,Posavina Canton,Technical high schools,
2018,Number,Posavina Canton,Vocational high schools,
2018,Number,Posavina Canton,Art schools,
2018,Number,Posavina Canton,Religious schools,
2018,Number,Posavina Canton,High schools for students with disabilities,
2019,Number,Posavina Canton,Gymnasium,
2019,Number,Posavina Canton,Technical high schools,
2019,Number,Posavina Canton,Vocational high schools,
2019,Number,Posavina Canton,Art schools,
2019,Number,Posavina Canton,Religious schools,
2019,Number,Posavina Canton,High schools for students with disabilities,
2020,Number,Posavina Canton,Gymnasium,
2020,Number,Posavina Canton,Technical high schools,
2020,Number,Posavina Canton,Vocational high schools,
2020,Number,Posavina Canton,Art schools,
2020,Number,Posavina Canton,Religious schools,
2020,Number,Posavina Canton,High schools for students with disabilities,
2016,Number,Tuzla Canton,Gymnasium,
2016,Number,Tuzla Canton,Technical high schools,
2016,Number,Tuzla Canton,Vocational high schools,
2016,Number,Tuzla Canton,Art schools,
2016,Number,Tuzla Canton,Religious schools,
2016,Number,Tuzla Canton,High schools for students with disabilities,
2017,Number,Tuzla Canton,Gymnasium,
2017,Number,Tuzla Canton,Technical high schools,
2017,Number,Tuzla Canton,Vocational high schools,
2017,Number,Tuzla Canton,Art schools,
2017,Number,Tuzla Canton,Religious schools,
2017,Number,Tuzla Canton,High schools for students with disabilities,
2018,Number,Tuzla Canton,Gymnasium,
2018,Number,Tuzla Canton,Technical high schools,
2018,Number,Tuzla Canton,Vocational high schools,
2018,Number,Tuzla Canton,Art schools,
2018,Number,Tuzla Canton,Religious schools,
