Year,UNIT_MEASURE,Admin_Area,scientific_field,Value
2010,Number,Federation of Bosnia and Herzegovina,Education,
2010,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2010,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2010,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2010,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2010,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2010,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2010,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2010,Number,Federation of Bosnia and Herzegovina,Services,
2010,Number,Una-Sana Canton,Education,
2010,Number,Una-Sana Canton,Arts and humanities,
2010,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2010,Number,Una-Sana Canton,"business,_administration_and_law",
2010,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Una-Sana Canton,Information and communication technologies,
2010,Number,Una-Sana Canton,"engineering,_production_and_construction",
2010,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Una-Sana Canton,Health and social protection,
2010,Number,Una-Sana Canton,Services,
2010,Number,Tuzla Canton,Education,
2010,Number,Tuzla Canton,Arts and humanities,
2010,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2010,Number,Tuzla Canton,"business,_administration_and_law",
2010,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Tuzla Canton,Information and communication technologies,
2010,Number,Tuzla Canton,"engineering,_production_and_construction",
2010,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Tuzla Canton,Health and social protection,
2010,Number,Tuzla Canton,Services,
2010,Number,Zenica-Doboj Canton,Education,
2010,Number,Zenica-Doboj Canton,Arts and humanities,
2010,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2010,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2010,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Zenica-Doboj Canton,Information and communication technologies,
2010,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2010,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Zenica-Doboj Canton,Health and social protection,
2010,Number,Zenica-Doboj Canton,Services,
2010,Number,Bosnian-Podrinje Canton,Education,
2010,Number,Bosnian-Podrinje Canton,Arts and humanities,
2010,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2010,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2010,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2010,Number,Bosnian-Podrinje Canton,"engineering,_production_and_construction",
2010,Number,Bosnian-Podrinje Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Bosnian-Podrinje Canton,Health and social protection,
2010,Number,Bosnian-Podrinje Canton,Services,
2010,Number,Central Bosnia Canton,Education,
2010,Number,Central Bosnia Canton,Arts and humanities,
2010,Number,Central Bosnia Canton,"social_sciences,_journalism_and_information",
