Year,UNIT_MEASURE,Admin_Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,
2010,Number,Federation of Bosnia and Herzegovina,M,
2011,Number,Federation of Bosnia and Herzegovina,M,
2012,Number,Federation of Bosnia and Herzegovina,M,
2013,Number,Federation of Bosnia and Herzegovina,M,
2014,Number,Federation of Bosnia and Herzegovina,M,
2015,Number,Federation of Bosnia and Herzegovina,M,
2016,Number,Federation of Bosnia and Herzegovina,M,
2017,Number,Federation of Bosnia and Herzegovina,M,
2018,Number,Federation of Bosnia and Herzegovina,M,
2019,Number,Federation of Bosnia and Herzegovina,M,
2010,Number,Federation of Bosnia and Herzegovina,F,
2011,Number,Federation of Bosnia and Herzegovina,F,
2012,Number,Federation of Bosnia and Herzegovina,F,
2013,Number,Federation of Bosnia and Herzegovina,F,
2014,Number,Federation of Bosnia and Herzegovina,F,
2015,Number,Federation of Bosnia and Herzegovina,F,
2016,Number,Federation of Bosnia and Herzegovina,F,
2017,Number,Federation of Bosnia and Herzegovina,F,
2018,Number,Federation of Bosnia and Herzegovina,F,
2019,Number,Federation of Bosnia and Herzegovina,F,
2010,Number,Una-Sana Canton,Both sexes,
2011,Number,Una-Sana Canton,Both sexes,
2012,Number,Una-Sana Canton,Both sexes,
2013,Number,Una-Sana Canton,Both sexes,
2014,Number,Una-Sana Canton,Both sexes,
2015,Number,Una-Sana Canton,Both sexes,
2016,Number,Una-Sana Canton,Both sexes,
2017,Number,Una-Sana Canton,Both sexes,
2018,Number,Una-Sana Canton,Both sexes,
2019,Number,Una-Sana Canton,Both sexes,
2010,Number,Una-Sana Canton,M,
2011,Number,Una-Sana Canton,M,
2012,Number,Una-Sana Canton,M,
2013,Number,Una-Sana Canton,M,
2014,Number,Una-Sana Canton,M,
2015,Number,Una-Sana Canton,M,
2016,Number,Una-Sana Canton,M,
2017,Number,Una-Sana Canton,M,
2018,Number,Una-Sana Canton,M,
2019,Number,Una-Sana Canton,M,
2010,Number,Una-Sana Canton,F,
2011,Number,Una-Sana Canton,F,
2012,Number,Una-Sana Canton,F,
2013,Number,Una-Sana Canton,F,
2014,Number,Una-Sana Canton,F,
2015,Number,Una-Sana Canton,F,
2016,Number,Una-Sana Canton,F,
2017,Number,Una-Sana Canton,F,
2018,Number,Una-Sana Canton,F,
2019,Number,Una-Sana Canton,F,
2010,Number,Tuzla Canton,Both sexes,
2011,Number,Tuzla Canton,Both sexes,
2012,Number,Tuzla Canton,Both sexes,
2013,Number,Tuzla Canton,Both sexes,
2014,Number,Tuzla Canton,Both sexes,
2015,Number,Tuzla Canton,Both sexes,
2016,Number,Tuzla Canton,Both sexes,
2017,Number,Tuzla Canton,Both sexes,
2018,Number,Tuzla Canton,Both sexes,
2019,Number,Tuzla Canton,Both sexes,
2010,Number,Tuzla Canton,M,
2011,Number,Tuzla Canton,M,
2012,Number,Tuzla Canton,M,
2013,Number,Tuzla Canton,M,
2014,Number,Tuzla Canton,M,
2015,Number,Tuzla Canton,M,
2016,Number,Tuzla Canton,M,
2017,Number,Tuzla Canton,M,
2018,Number,Tuzla Canton,M,
2019,Number,Tuzla Canton,M,
2010,Number,Tuzla Canton,F,
2011,Number,Tuzla Canton,F,
2012,Number,Tuzla Canton,F,
2013,Number,Tuzla Canton,F,
2014,Number,Tuzla Canton,F,
2015,Number,Tuzla Canton,F,
2016,Number,Tuzla Canton,F,
2017,Number,Tuzla Canton,F,
2018,Number,Tuzla Canton,F,
2019,Number,Tuzla Canton,F,
2010,Number,Zenica-Doboj Canton,Both sexes,
2011,Number,Zenica-Doboj Canton,Both sexes,
2012,Number,Zenica-Doboj Canton,Both sexes,
2013,Number,Zenica-Doboj Canton,Both sexes,
2014,Number,Zenica-Doboj Canton,Both sexes,
2015,Number,Zenica-Doboj Canton,Both sexes,
2016,Number,Zenica-Doboj Canton,Both sexes,
2017,Number,Zenica-Doboj Canton,Both sexes,
2018,Number,Zenica-Doboj Canton,Both sexes,
2019,Number,Zenica-Doboj Canton,Both sexes,
2010,Number,Zenica-Doboj Canton,M,
2011,Number,Zenica-Doboj Canton,M,
2012,Number,Zenica-Doboj Canton,M,
2013,Number,Zenica-Doboj Canton,M,
2014,Number,Zenica-Doboj Canton,M,
2015,Number,Zenica-Doboj Canton,M,
2016,Number,Zenica-Doboj Canton,M,
2017,Number,Zenica-Doboj Canton,M,
2018,Number,Zenica-Doboj Canton,M,
2019,Number,Zenica-Doboj Canton,M,
2010,Number,Zenica-Doboj Canton,F,
2011,Number,Zenica-Doboj Canton,F,
2012,Number,Zenica-Doboj Canton,F,
2013,Number,Zenica-Doboj Canton,F,
2014,Number,Zenica-Doboj Canton,F,
2015,Number,Zenica-Doboj Canton,F,
2016,Number,Zenica-Doboj Canton,F,
2017,Number,Zenica-Doboj Canton,F,
2018,Number,Zenica-Doboj Canton,F,
2019,Number,Zenica-Doboj Canton,F,
2010,Number,Bosnian-Podrinje Canton,Both sexes,
2011,Number,Bosnian-Podrinje Canton,Both sexes,
2012,Number,Bosnian-Podrinje Canton,Both sexes,
2013,Number,Bosnian-Podrinje Canton,Both sexes,
2014,Number,Bosnian-Podrinje Canton,Both sexes,
