Year,Value,UNIT_MEASURE
1996,6.3,Death Rate
1997,6.9,Death Rate
1998,7.3,Death Rate
1999,7.1,Death Rate
2000,7.4,Death Rate
2001,7.3,Death Rate
2002,7.4,Death Rate
2003,7.9,Death Rate
2004,7.9,Death Rate
2005,8.3,Death Rate
2006,8.0,Death Rate
2007,8.7,Death Rate
2008,8.3,Death Rate
2009,8.3,Death Rate
2010,8.6,Death Rate
2011,8.8,Death Rate
2012,8.7,Death Rate
2013,8.9,Death Rate
2014,8.7,Death Rate
2015,9.8,Death Rate
2016,9.6,Death Rate
2017,9.9,Death Rate
2018,9.8,Death Rate
2019,10.1,Death Rate
