Year,Value,UNIT_MEASURE
1996,25.7,Number per 1000 marriages
1997,68.4,Number per 1000 marriages
1998,77.9,Number per 1000 marriages
1999,84.1,Number per 1000 marriages
2000,84.9,Number per 1000 marriages
2001,100.8,Number per 1000 marriages
2002,110.5,Number per 1000 marriages
2003,89.6,Number per 1000 marriages
2004,62.6,Number per 1000 marriages
2005,70.9,Number per 1000 marriages
2006,71.7,Number per 1000 marriages
2007,69.6,Number per 1000 marriages
2008,62.9,Number per 1000 marriages
2009,58.9,Number per 1000 marriages
2010,76.5,Number per 1000 marriages
2011,97.0,Number per 1000 marriages
2012,97.5,Number per 1000 marriages
2013,119.8,Number per 1000 marriages
2014,110.2,Number per 1000 marriages
2015,115.8,Number per 1000 marriages
2016,113.0,Number per 1000 marriages
2017,132.8,Number per 1000 marriages
2018,139.6,Number per 1000 marriages
2019,136.4,Number per 1000 marriages
