Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
2011,Broj,Oba spola,Federacija Bosne i Hercegovine,Živorođeni,21161.0
2011,Broj,Oba spola,Unsko-sanska županija,Živorođeni,2496.0
2011,Broj,Oba spola,Posavska županija,Živorođeni,228.0
2011,Broj,Oba spola,Tuzlanska županija,Živorođeni,4417.0
2011,Broj,Oba spola,Zeničko-dobojska županija,Živorođeni,3760.0
2011,Broj,Oba spola,Bosansko-podrinjska županija,Živorođeni,191.0
2011,Broj,Oba spola,Srednjobosanska županija,Živorođeni,2300.0
2011,Broj,Oba spola,Hercegovačko-neretvanska županija,Živorođeni,1817.0
2011,Broj,Oba spola,Zapadno-hercegovačka županija,Živorođeni,772.0
2011,Broj,Oba spola,Sarajevska županija,Živorođeni,4722.0
2011,Broj,Oba spola,Županija 10,Živorođeni,458.0
2011,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,10981.0
2011,Broj,M,Unsko-sanska županija,Živorođeni,1312.0
2011,Broj,M,Posavska županija,Živorođeni,112.0
2011,Broj,M,Tuzlanska županija,Živorođeni,2305.0
2011,Broj,M,Zeničko-dobojska županija,Živorođeni,1945.0
2011,Broj,M,Bosansko-podrinjska županija,Živorođeni,99.0
2011,Broj,M,Srednjobosanska županija,Živorođeni,1219.0
2011,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,946.0
2011,Broj,M,Zapadno-hercegovačka županija,Živorođeni,401.0
2011,Broj,M,Sarajevska županija,Živorođeni,2411.0
2011,Broj,M,Županija 10,Živorođeni,231.0
2011,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10180.0
2011,Broj,Ž,Unsko-sanska županija,Živorođeni,1184.0
2011,Broj,Ž,Posavska županija,Živorođeni,116.0
2011,Broj,Ž,Tuzlanska županija,Živorođeni,2112.0
2011,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1815.0
2011,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,92.0
2011,Broj,Ž,Srednjobosanska županija,Živorođeni,1081.0
2011,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,871.0
2011,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,371.0
2011,Broj,Ž,Sarajevska županija,Živorođeni,2311.0
2011,Broj,Ž,Županija 10,Živorođeni,227.0
2012,Broj,Oba spola,Federacija Bosne i Hercegovine,Živorođeni,21389.0
2012,Broj,Oba spola,Unsko-sanska županija,Živorođeni,2351.0
2012,Broj,Oba spola,Posavska županija,Živorođeni,220.0
2012,Broj,Oba spola,Tuzlanska županija,Živorođeni,4587.0
2012,Broj,Oba spola,Zeničko-dobojska županija,Živorođeni,3807.0
2012,Broj,Oba spola,Bosansko-podrinjska županija,Živorođeni,216.0
2012,Broj,Oba spola,Srednjobosanska županija,Živorođeni,2361.0
2012,Broj,Oba spola,Hercegovačko-neretvanska županija,Živorođeni,1901.0
2012,Broj,Oba spola,Zapadno-hercegovačka županija,Živorođeni,798.0
2012,Broj,Oba spola,Sarajevska županija,Živorođeni,4682.0
2012,Broj,Oba spola,Županija 10,Živorođeni,466.0
2012,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11110.0
2012,Broj,M,Unsko-sanska županija,Živorođeni,1227.0
2012,Broj,M,Posavska županija,Živorođeni,125.0
2012,Broj,M,Tuzlanska županija,Živorođeni,2351.0
2012,Broj,M,Zeničko-dobojska županija,Živorođeni,1995.0
2012,Broj,M,Bosansko-podrinjska županija,Živorođeni,121.0
2012,Broj,M,Srednjobosanska županija,Živorođeni,1207.0
2012,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,985.0
2012,Broj,M,Zapadno-hercegovačka županija,Živorođeni,397.0
2012,Broj,M,Sarajevska županija,Živorođeni,2465.0
2012,Broj,M,Županija 10,Živorođeni,237.0
2012,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10279.0
2012,Broj,Ž,Unsko-sanska županija,Živorođeni,1124.0
2012,Broj,Ž,Posavska županija,Živorođeni,95.0
2012,Broj,Ž,Tuzlanska županija,Živorođeni,2236.0
2012,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1812.0
2012,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,95.0
2012,Broj,Ž,Srednjobosanska županija,Živorođeni,1154.0
2012,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,916.0
2012,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,401.0
2012,Broj,Ž,Sarajevska županija,Živorođeni,2217.0
2012,Broj,Ž,Županija 10,Živorođeni,229.0
2013,Broj,Oba spola,Federacija Bosne i Hercegovine,Živorođeni,20083.0
2013,Broj,Oba spola,Unsko-sanska županija,Živorođeni,2174.0
2013,Broj,Oba spola,Posavska županija,Živorođeni,167.0
2013,Broj,Oba spola,Tuzlanska županija,Živorođeni,4323.0
2013,Broj,Oba spola,Zeničko-dobojska županija,Živorođeni,3416.0
