Year,Starosna dob,UNIT_MEASURE,Value
1997,13 - 14,Broj,11
1997,15 - 19,Broj,3128
1998,13 - 14,Broj,2
1998,15 - 19,Broj,2395
1999,13 - 14,Broj,0
1999,15 - 19,Broj,2073
2000,13 - 14,Broj,3
2000,15 - 19,Broj,1806
2001,13 - 14,Broj,13
2001,15 - 19,Broj,1679
2002,13 - 14,Broj,10
2002,15 - 19,Broj,1561
2003,13 - 14,Broj,9
2003,15 - 19,Broj,1457
2004,13 - 14,Broj,7
2004,15 - 19,Broj,1396
2005,13 - 14,Broj,2
2005,15 - 19,Broj,1296
2006,13 - 14,Broj,4
2006,15 - 19,Broj,1399
2007,13 - 14,Broj,2
2007,15 - 19,Broj,1357
2008,13 - 14,Broj,2
2008,15 - 19,Broj,1507
2009,13 - 14,Broj,4
2009,15 - 19,Broj,1411
2010,13 - 14,Broj,5
2010,15 - 19,Broj,1285
2011,13 - 14,Broj,5
2011,15 - 19,Broj,1136
2012,13 - 14,Broj,2
2012,15 - 19,Broj,1040
2013,13 - 14,Broj,4
2013,15 - 19,Broj,950
2014,13 - 14,Broj,3
2014,15 - 19,Broj,932
2015,13 - 14,Broj,3
2015,15 - 19,Broj,948
2016,13 - 14,Broj,3
2016,15 - 19,Broj,906
2017,13 - 14,Broj,6
2017,15 - 19,Broj,734
2018,13 - 14,Broj,4
2018,15 - 19,Broj,643
2019,13 - 14,Broj,1
2019,15 - 19,Broj,580
