Year,UNIT_MEASURE,Value
1996,Starosna dob,23.6
1997,Starosna dob,23.5
1998,Starosna dob,23.9
1999,Starosna dob,24.2
2000,Starosna dob,24.2
2001,Starosna dob,24.2
2002,Starosna dob,24.2
2003,Starosna dob,24.3
2004,Starosna dob,24.5
2005,Starosna dob,24.5
2006,Starosna dob,24.6
2007,Starosna dob,24.8
2008,Starosna dob,24.9
2009,Starosna dob,25.1
2010,Starosna dob,25.4
2011,Starosna dob,25.6
2012,Starosna dob,25.7
2013,Starosna dob,26.1
2014,Starosna dob,26.2
2015,Starosna dob,26.4
2016,Starosna dob,26.3
2017,Starosna dob,26.7
2018,Starosna dob,26.7
2019,Starosna dob,26.8
2020,Starosna dob,26.9
2021,Starosna dob,27.1
2022,Starosna dob,27.2
2023,Starosna dob,27.3
