Year,UNIT_MEASURE,Spol,Value
1996,Starosna dob,M,60.7
1997,Starosna dob,M,61.6
1998,Starosna dob,M,61.3
1999,Starosna dob,M,63.2
2000,Starosna dob,M,64.1
2001,Starosna dob,M,64.5
2002,Starosna dob,M,64.4
2003,Starosna dob,M,65.5
2004,Starosna dob,M,66.0
2005,Starosna dob,M,66.4
2006,Starosna dob,M,66.5
2007,Starosna dob,M,66.8
2008,Starosna dob,M,66.7
2009,Starosna dob,M,67.5
2010,Starosna dob,M,67.7
2011,Starosna dob,M,68.2
2012,Starosna dob,M,68.9
2013,Starosna dob,M,69.0
2014,Starosna dob,M,69.4
2015,Starosna dob,M,69.6
2016,Starosna dob,M,69.7
2017,Starosna dob,M,70.1
2018,Starosna dob,M,70.5
2019,Starosna dob,M,70.5
2020,Starosna dob,M,71.0
2021,Starosna dob,M,71.2
2022,Starosna dob,M,71.4
1996,Starosna dob,Ž,66.2
1997,Starosna dob,Ž,67.5
1998,Starosna dob,Ž,66.8
1999,Starosna dob,Ž,68.5
2000,Starosna dob,Ž,69.3
2001,Starosna dob,Ž,69.9
2002,Starosna dob,Ž,70.3
2003,Starosna dob,Ž,71.1
2004,Starosna dob,Ž,71.3
2005,Starosna dob,Ž,72.0
2006,Starosna dob,Ž,71.7
2007,Starosna dob,Ž,72.0
2008,Starosna dob,Ž,72.5
2009,Starosna dob,Ž,73.0
2010,Starosna dob,Ž,73.3
2011,Starosna dob,Ž,73.7
2012,Starosna dob,Ž,74.1
2013,Starosna dob,Ž,74.3
2014,Starosna dob,Ž,74.7
2015,Starosna dob,Ž,75.0
2016,Starosna dob,Ž,74.9
2017,Starosna dob,Ž,75.0
2018,Starosna dob,Ž,75.5
2019,Starosna dob,Ž,75.6
2020,Starosna dob,Ž,75.9
2021,Starosna dob,Ž,75.8
2022,Starosna dob,Ž,76.0
