Year,Spol,UNIT_MEASURE,Value
1997,M,Starosna dob,
1998,M,Starosna dob,
1999,M,Starosna dob,
2000,M,Starosna dob,
2001,M,Starosna dob,
2002,M,Starosna dob,
2003,M,Starosna dob,
2004,M,Starosna dob,
2005,M,Starosna dob,
2006,M,Starosna dob,
2007,M,Starosna dob,
2008,M,Starosna dob,
2009,M,Starosna dob,
2010,M,Starosna dob,
2011,M,Starosna dob,
2012,M,Starosna dob,
2013,M,Starosna dob,
2014,M,Starosna dob,
2015,M,Starosna dob,
2016,M,Starosna dob,
2017,M,Starosna dob,
2018,M,Starosna dob,
2019,M,Starosna dob,
2020,M,Starosna dob,
1997,Ž,Starosna dob,
1998,Ž,Starosna dob,
1999,Ž,Starosna dob,
2000,Ž,Starosna dob,
2001,Ž,Starosna dob,
2002,Ž,Starosna dob,
2003,Ž,Starosna dob,
2004,Ž,Starosna dob,
2005,Ž,Starosna dob,
2006,Ž,Starosna dob,
2007,Ž,Starosna dob,
2008,Ž,Starosna dob,
2009,Ž,Starosna dob,
2010,Ž,Starosna dob,
2011,Ž,Starosna dob,
2012,Ž,Starosna dob,
2013,Ž,Starosna dob,
2014,Ž,Starosna dob,
2015,Ž,Starosna dob,
2016,Ž,Starosna dob,
2017,Ž,Starosna dob,
2018,Ž,Starosna dob,
2019,Ž,Starosna dob,
2020,Ž,Starosna dob,
