Year,UNIT_MEASURE,Administrativna jedinica,Value
1996,Broj,Federacija Bosne i Hercegovine,14019
1996,Broj,Unsko-sanska županija,2499
1996,Broj,Posavska županija,138
1996,Broj,Tuzlanska županija,2245
1996,Broj,Zeničko-dobojska županija,2907
1996,Broj,Bosansko-podrinjska županija,263
1996,Broj,Srednjobosanska županija,1919
1996,Broj,Hercegovačko-neretvanska županija,1097
1996,Broj,Zapadno-hercegovačka županija,413
1996,Broj,Sarajevska županija,2238
1996,Broj,Županija 10,300
1997,Broj,Federacija Bosne i Hercegovine,15352
1997,Broj,Unsko-sanska županija,2890
1997,Broj,Posavska županija,143
1997,Broj,Tuzlanska županija,2310
1997,Broj,Zeničko-dobojska županija,3000
1997,Broj,Bosansko-podrinjska županija,228
1997,Broj,Srednjobosanska županija,2038
1997,Broj,Hercegovačko-neretvanska županija,1243
1997,Broj,Zapadno-hercegovačka županija,476
1997,Broj,Sarajevska županija,2631
1997,Broj,Županija 10,393
1998,Broj,Federacija Bosne i Hercegovine,14218
1998,Broj,Unsko-sanska županija,2394
1998,Broj,Posavska županija,107
1998,Broj,Tuzlanska županija,2237
1998,Broj,Zeničko-dobojska županija,2918
1998,Broj,Bosansko-podrinjska županija,216
1998,Broj,Srednjobosanska županija,1860
1998,Broj,Hercegovačko-neretvanska županija,1174
1998,Broj,Zapadno-hercegovačka županija,424
1998,Broj,Sarajevska županija,2506
1998,Broj,Županija 10,382
1999,Broj,Federacija Bosne i Hercegovine,13804
1999,Broj,Unsko-sanska županija,2257
1999,Broj,Posavska županija,269
1999,Broj,Tuzlanska županija,2261
1999,Broj,Zeničko-dobojska županija,3080
1999,Broj,Bosansko-podrinjska županija,223
1999,Broj,Srednjobosanska županija,1841
1999,Broj,Hercegovačko-neretvanska županija,724
1999,Broj,Zapadno-hercegovačka županija,255
1999,Broj,Sarajevska županija,2503
1999,Broj,Županija 10,391
2000,Broj,Federacija Bosne i Hercegovine,13752
2000,Broj,Unsko-sanska županija,1982
2000,Broj,Posavska županija,285
2000,Broj,Tuzlanska županija,2644
2000,Broj,Zeničko-dobojska županija,2676
2000,Broj,Bosansko-podrinjska županija,180
2000,Broj,Srednjobosanska županija,1688
2000,Broj,Hercegovačko-neretvanska županija,1088
2000,Broj,Zapadno-hercegovačka županija,261
