Year,UNIT_MEASURE,Starosna dob,Value
2014,Broj,1,
2014,Broj,2,
2014,Broj,3,
2014,Broj,4,
2014,Broj,5,
2014,Broj,6,
2014,Broj,7,
2014,Broj,8,
2014,Broj,9,
2014,Broj,10,
2014,Broj,11,
2014,Broj,12,
2014,Broj,13,
2014,Broj,14,
2014,Broj,15,
2014,Broj,16,
2014,Broj,17,
2014,Broj,18,
2014,Broj,19,
2014,Broj,20,
2014,Broj,21,
2014,Broj,22,
2014,Broj,23,
2014,Broj,24,
2014,Broj,25,
2014,Broj,26,
2014,Broj,27,
2014,Broj,28,
2014,Broj,29,
2014,Broj,30,
2014,Broj,31,
2014,Broj,32,
2014,Broj,33,
2014,Broj,34,
2014,Broj,35,
2014,Broj,36,
2014,Broj,37,
2014,Broj,38,
2014,Broj,39,
2014,Broj,40,
2014,Broj,41,
2014,Broj,42,
2014,Broj,43,
2014,Broj,44,
2014,Broj,45,
2014,Broj,46,
2014,Broj,47,
2014,Broj,48,
2014,Broj,49,
2014,Broj,50,
2014,Broj,51,
2014,Broj,52,
2014,Broj,53,
2014,Broj,54,
2014,Broj,55,
2014,Broj,56,
2014,Broj,57,
2014,Broj,58,
2014,Broj,59,
2014,Broj,60,
2014,Broj,61,
2014,Broj,62,
2014,Broj,63,
2014,Broj,64,
2014,Broj,65,
2014,Broj,66,
2014,Broj,67,
2014,Broj,68,
2014,Broj,69,
2014,Broj,70,
2014,Broj,71,
2014,Broj,72,
2014,Broj,73,
2014,Broj,74,
2014,Broj,75,
2014,Broj,76,
2014,Broj,77,
2014,Broj,78,
2014,Broj,79,
2014,Broj,80,
2014,Broj,81,
2014,Broj,82,
2014,Broj,83,
2014,Broj,84,
2014,Broj,85,
2014,Broj,86,
2014,Broj,87,
2014,Broj,88,
2014,Broj,89,
2014,Broj,90,
2014,Broj,91,
2014,Broj,92,
2014,Broj,93,
2014,Broj,94,
2014,Broj,95,
2014,Broj,96,
2014,Broj,97,
2014,Broj,98,
2014,Broj,99,
2014,Broj,100,
