Year,UNIT_MEASURE,Administrativna jedinica,Broj djece,Value
2013,Broj,Federacija Bosne i Hercegovine,Total,957422
2013,Broj,Federacija Bosne i Hercegovine,Nisu rađale,273774
2013,Broj,Federacija Bosne i Hercegovine,1,132895
2013,Broj,Federacija Bosne i Hercegovine,2,308038
2013,Broj,Federacija Bosne i Hercegovine,3,138640
2013,Broj,Federacija Bosne i Hercegovine,4,54056
2013,Broj,Federacija Bosne i Hercegovine,5+,50019
2013,Broj,Unsko-sanska županija,Total,114518
2013,Broj,Unsko-sanska županija,Nisu rađale,31239
2013,Broj,Unsko-sanska županija,1,16018
2013,Broj,Unsko-sanska županija,2,32843
2013,Broj,Unsko-sanska županija,3,17011
2013,Broj,Unsko-sanska županija,4,7586
2013,Broj,Unsko-sanska županija,5+,9821
2013,Broj,Posavska županija,Total,18762
2013,Broj,Posavska županija,Nisu rađale,5836
2013,Broj,Posavska županija,1,2279
2013,Broj,Posavska županija,2,5567
2013,Broj,Posavska županija,3,2917
2013,Broj,Posavska županija,4,1136
2013,Broj,Posavska županija,5+,1027
2013,Broj,Tuzlanska županija,Total,193689
2013,Broj,Tuzlanska županija,Nisu rađale,47272
2013,Broj,Tuzlanska županija,1,29699
2013,Broj,Tuzlanska županija,2,73940
2013,Broj,Tuzlanska županija,3,25457
2013,Broj,Tuzlanska županija,4,8862
2013,Broj,Tuzlanska županija,5+,8459
2013,Broj,Zeničko-dobojska županija,Total,154153
2013,Broj,Zeničko-dobojska županija,Nisu rađale,39964
2013,Broj,Zeničko-dobojska županija,1,21913
2013,Broj,Zeničko-dobojska županija,2,51832
2013,Broj,Zeničko-dobojska županija,3,23202
2013,Broj,Zeničko-dobojska županija,4,8680
2013,Broj,Zeničko-dobojska županija,5+,8562
2013,Broj,Bosansko-podrinjska županija,Total,10567
2013,Broj,Bosansko-podrinjska županija,Nisu rađale,2755
2013,Broj,Bosansko-podrinjska županija,1,1302
2013,Broj,Bosansko-podrinjska županija,2,3788
2013,Broj,Bosansko-podrinjska županija,3,1663
2013,Broj,Bosansko-podrinjska županija,4,594
2013,Broj,Bosansko-podrinjska županija,5+,465
2013,Broj,Srednjobosanska županija,Total,106469
2013,Broj,Srednjobosanska županija,Nisu rađale,31429
2013,Broj,Srednjobosanska županija,1,12068
2013,Broj,Srednjobosanska županija,2,28784
2013,Broj,Srednjobosanska županija,3,18339
2013,Broj,Srednjobosanska županija,4,8020
2013,Broj,Srednjobosanska županija,5+,7829
2013,Broj,Hercegovačko-neretvanska županija,Total,96219
2013,Broj,Hercegovačko-neretvanska županija,Nisu rađale,31170
2013,Broj,Hercegovačko-neretvanska županija,1,10670
2013,Broj,Hercegovačko-neretvanska županija,2,27643
2013,Broj,Hercegovačko-neretvanska županija,3,15955
2013,Broj,Hercegovačko-neretvanska županija,4,6284
2013,Broj,Hercegovačko-neretvanska županija,5+,4497
2013,Broj,Zapadno-hercegovačka županija,Total,39369
2013,Broj,Zapadno-hercegovačka županija,Nisu rađale,14469
2013,Broj,Zapadno-hercegovačka županija,1,3221
2013,Broj,Zapadno-hercegovačka županija,2,7574
2013,Broj,Zapadno-hercegovačka županija,3,7371
2013,Broj,Zapadno-hercegovačka županija,4,3926
2013,Broj,Zapadno-hercegovačka županija,5+,2808
2013,Broj,Sarajevska županija,Total,187635
2013,Broj,Sarajevska županija,Nisu rađale,57188
2013,Broj,Sarajevska županija,1,32682
2013,Broj,Sarajevska županija,2,67572
2013,Broj,Sarajevska županija,3,19921
2013,Broj,Sarajevska županija,4,5881
2013,Broj,Sarajevska županija,5+,4391
2013,Broj,Županija 10,Total,36041
2013,Broj,Županija 10,Nisu rađale,12452
2013,Broj,Županija 10,1,3043
2013,Broj,Županija 10,2,8495
2013,Broj,Županija 10,3,6804
2013,Broj,Županija 10,4,3087
2013,Broj,Županija 10,5+,2160
