Year,Spol,UNIT_MEASURE,Materinski jezik,Value
2013,Oba spola,Broj,Bosnian ,
2013,Oba spola,Broj,Srpski,
2013,Oba spola,Broj,Hrvatski,
2013,Oba spola,Broj,Srpsko-hrvatski,
2013,Oba spola,Broj,Romski,
2013,Oba spola,Broj,Albanski,
2013,Oba spola,Broj,Bosanski_hrvatski_srpski,
2013,Oba spola,Broj,Turski,
2013,Oba spola,Broj,Hrvatsko-srpski,
2013,Oba spola,Broj,Bošnjački,
2013,Oba spola,Broj,Ukrajinski,
2013,Oba spola,Broj,Bosanski-srpski-hrvatski,
2013,Oba spola,Broj,Bosanski-hrvatski,
2013,Oba spola,Broj,Bosansko-hercegovački,
2013,Oba spola,Broj,Njemački,
2013,Oba spola,Broj,Other,
2013,Oba spola,Broj,Unknown,
2013,M,Broj,Bosnian ,
2013,M,Broj,Srpski,
2013,M,Broj,Hrvatski,
2013,M,Broj,Serbo_Croatian ,
2013,M,Broj,Romski,
2013,M,Broj,Albanski,
2013,M,Broj,Bosanski_hrvatski_srpski,
2013,M,Broj,Turski,
2013,M,Broj,Hrvatsko-srpski,
2013,M,Broj,Bošnjački,
2013,M,Broj,Ukrajinski,
2013,M,Broj,Bosanski-srpski-hrvatski,
2013,M,Broj,Bosanski-hrvatski,
2013,M,Broj,Bosansko-hercegovački,
2013,M,Broj,Njemački,
2013,M,Broj,Other,
2013,M,Broj,Unknown,
2013,Ž,Broj,Bosnian ,
2013,Ž,Broj,Srpski,
2013,Ž,Broj,Hrvatski,
2013,Ž,Broj,Serbo_Croatian ,
2013,Ž,Broj,Romski,
2013,Ž,Broj,Albanski,
2013,Ž,Broj,Bosanski_hrvatski_srpski,
2013,Ž,Broj,Turski,
2013,Ž,Broj,Hrvatsko-srpski,
2013,Ž,Broj,Bošnjački,
2013,Ž,Broj,Ukrajinski,
2013,Ž,Broj,Bosanski-srpski-hrvatski,
2013,Ž,Broj,Bosanski-hrvatski,
2013,Ž,Broj,Bosansko-hercegovački,
2013,Ž,Broj,Njemački,
2013,Ž,Broj,Other,
2013,Ž,Broj,Unknown,
