Year,UNIT_MEASURE,Administrativna jedinica,Spol,Vrsta poteškoće,Value
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Ukupno,181927
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,"Vid, iako nosi naočare",74413
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,"Sluh, iako koristi slušni aparat",42221
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Hod ili penjanje uz stepenice,114822
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Pamćenje ili koncentracija,35601
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Odijevanje i održavanje osobne higijene,24345
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Komunikacija,20180
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,Sa više poteškoća,68156
2013,Broj,Unsko-sanska županija,Oba spola,Ukupno,20706
2013,Broj,Unsko-sanska županija,Oba spola,"Vid, iako nosi naočare",8911
2013,Broj,Unsko-sanska županija,Oba spola,"Sluh, iako koristi slušni aparat",5139
2013,Broj,Unsko-sanska županija,Oba spola,Hod ili penjanje uz stepenice,12299
2013,Broj,Unsko-sanska županija,Oba spola,Pamćenje ili koncentracija,4220
2013,Broj,Unsko-sanska županija,Oba spola,Odijevanje i održavanje osobne higijene,2751
2013,Broj,Unsko-sanska županija,Oba spola,Komunikacija,2467
2013,Broj,Unsko-sanska županija,Oba spola,Sa više poteškoća,7558
2013,Broj,Posavska županija,Oba spola,Ukupno,3387
2013,Broj,Posavska županija,Oba spola,"Vid, iako nosi naočare",1386
2013,Broj,Posavska županija,Oba spola,"Sluh, iako koristi slušni aparat",762
2013,Broj,Posavska županija,Oba spola,Hod ili penjanje uz stepenice,2021
2013,Broj,Posavska županija,Oba spola,Pamćenje ili koncentracija,615
2013,Broj,Posavska županija,Oba spola,Odijevanje i održavanje osobne higijene,375
2013,Broj,Posavska županija,Oba spola,Komunikacija,337
2013,Broj,Posavska županija,Oba spola,Sa više poteškoća,1127
2013,Broj,Tuzlanska županija,Oba spola,Ukupno,43418
2013,Broj,Tuzlanska županija,Oba spola,"Vid, iako nosi naočare",18825
2013,Broj,Tuzlanska županija,Oba spola,"Sluh, iako koristi slušni aparat",9948
2013,Broj,Tuzlanska županija,Oba spola,Hod ili penjanje uz stepenice,27830
2013,Broj,Tuzlanska županija,Oba spola,Pamćenje ili koncentracija,9292
2013,Broj,Tuzlanska županija,Oba spola,Odijevanje i održavanje osobne higijene,5630
2013,Broj,Tuzlanska županija,Oba spola,Komunikacija,4548
2013,Broj,Tuzlanska županija,Oba spola,Sa više poteškoća,17193
2013,Broj,Zeničko-dobojska županija,Oba spola,Ukupno,30367
2013,Broj,Zeničko-dobojska županija,Oba spola,"Vid, iako nosi naočare",12250
2013,Broj,Zeničko-dobojska županija,Oba spola,"Sluh, iako koristi slušni aparat",6650
2013,Broj,Zeničko-dobojska županija,Oba spola,Hod ili penjanje uz stepenice,19061
2013,Broj,Zeničko-dobojska županija,Oba spola,Pamćenje ili koncentracija,5373
2013,Broj,Zeničko-dobojska županija,Oba spola,Odijevanje i održavanje osobne higijene,3950
2013,Broj,Zeničko-dobojska županija,Oba spola,Komunikacija,3219
2013,Broj,Zeničko-dobojska županija,Oba spola,Sa više poteškoća,10924
