Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
1998,Broj,federation_of_bih,Oba spola,483426.0
1998,Broj,una-sana_canton,Oba spola,19062.0
1998,Broj,posavina_canton,Oba spola,400.0
1998,Broj,tuzla_canton,Oba spola,52338.0
1998,Broj,zenica-doboj_canton,Oba spola,166900.0
1998,Broj,bosnian-podrinje_canton,Oba spola,
1998,Broj,central_bosnia_canton,Oba spola,19686.0
1998,Broj,herzegovina-neretva_canton,Oba spola,18032.0
1998,Broj,west_herzegovina_canton,Oba spola,
1998,Broj,sarajevo_canton,Oba spola,205599.0
1998,Broj,canton_10,Oba spola,1409.0
1998,Broj,federation_of_bih,M,256508.0
1998,Broj,una-sana_canton,M,8518.0
1998,Broj,posavina_canton,M,167.0
1998,Broj,tuzla_canton,M,25383.0
1998,Broj,zenica-doboj_canton,M,93367.0
1998,Broj,bosnian-podrinje_canton,M,
1998,Broj,central_bosnia_canton,M,8634.0
1998,Broj,herzegovina-neretva_canton,M,7469.0
1998,Broj,west_herzegovina_canton,M,
1998,Broj,sarajevo_canton,M,112504.0
1998,Broj,canton_10,M,466.0
1998,Broj,federation_of_bih,Ž,226918.0
1998,Broj,una-sana_canton,Ž,10544.0
1998,Broj,posavina_canton,Ž,233.0
1998,Broj,tuzla_canton,Ž,26955.0
1998,Broj,zenica-doboj_canton,Ž,73533.0
1998,Broj,bosnian-podrinje_canton,Ž,
1998,Broj,central_bosnia_canton,Ž,11052.0
1998,Broj,herzegovina-neretva_canton,Ž,10563.0
1998,Broj,west_herzegovina_canton,Ž,
1998,Broj,sarajevo_canton,Ž,93095.0
1998,Broj,canton_10,Ž,943.0
1999,Broj,federation_of_bih,Oba spola,316644.0
1999,Broj,una-sana_canton,Oba spola,8787.0
1999,Broj,posavina_canton,Oba spola,911.0
1999,Broj,tuzla_canton,Oba spola,49938.0
1999,Broj,zenica-doboj_canton,Oba spola,122126.0
1999,Broj,bosnian-podrinje_canton,Oba spola,
1999,Broj,central_bosnia_canton,Oba spola,25288.0
1999,Broj,herzegovina-neretva_canton,Oba spola,33768.0
1999,Broj,west_herzegovina_canton,Oba spola,1198.0
1999,Broj,sarajevo_canton,Oba spola,71624.0
1999,Broj,canton_10,Oba spola,3004.0
1999,Broj,federation_of_bih,M,158297.0
1999,Broj,una-sana_canton,M,4056.0
1999,Broj,posavina_canton,M,459.0
1999,Broj,tuzla_canton,M,24031.0
1999,Broj,zenica-doboj_canton,M,52694.0
1999,Broj,bosnian-podrinje_canton,M,
1999,Broj,central_bosnia_canton,M,11153.0
1999,Broj,herzegovina-neretva_canton,M,18834.0
1999,Broj,west_herzegovina_canton,M,830.0
1999,Broj,sarajevo_canton,M,45340.0
1999,Broj,canton_10,M,901.0
1999,Broj,federation_of_bih,Ž,158347.0
1999,Broj,una-sana_canton,Ž,4731.0
1999,Broj,posavina_canton,Ž,452.0
1999,Broj,tuzla_canton,Ž,25907.0
1999,Broj,zenica-doboj_canton,Ž,69432.0
1999,Broj,bosnian-podrinje_canton,Ž,
1999,Broj,central_bosnia_canton,Ž,14135.0
1999,Broj,herzegovina-neretva_canton,Ž,14934.0
1999,Broj,west_herzegovina_canton,Ž,368.0
1999,Broj,sarajevo_canton,Ž,26284.0
1999,Broj,canton_10,Ž,2103.0
2000,Broj,federation_of_bih,Oba spola,283785.0
2000,Broj,una-sana_canton,Oba spola,11514.0
2000,Broj,posavina_canton,Oba spola,1759.0
2000,Broj,tuzla_canton,Oba spola,51918.0
2000,Broj,zenica-doboj_canton,Oba spola,84090.0
2000,Broj,bosnian-podrinje_canton,Oba spola,
2000,Broj,central_bosnia_canton,Oba spola,28632.0
2000,Broj,herzegovina-neretva_canton,Oba spola,25754.0
2000,Broj,west_herzegovina_canton,Oba spola,1198.0
2000,Broj,sarajevo_canton,Oba spola,76363.0
2000,Broj,canton_10,Oba spola,2557.0
2000,Broj,federation_of_bih,M,150741.0
2000,Broj,una-sana_canton,M,3628.0
2000,Broj,posavina_canton,M,900.0
2000,Broj,tuzla_canton,M,25809.0
2000,Broj,zenica-doboj_canton,M,45290.0
2000,Broj,bosnian-podrinje_canton,M,
2000,Broj,central_bosnia_canton,M,11909.0
2000,Broj,herzegovina-neretva_canton,M,10760.0
2000,Broj,west_herzegovina_canton,M,830.0
2000,Broj,sarajevo_canton,M,50388.0
2000,Broj,canton_10,M,1227.0
2000,Broj,federation_of_bih,Ž,133044.0
2000,Broj,una-sana_canton,Ž,7886.0
2000,Broj,posavina_canton,Ž,859.0
2000,Broj,tuzla_canton,Ž,26109.0
2000,Broj,zenica-doboj_canton,Ž,38800.0
2000,Broj,bosnian-podrinje_canton,Ž,
2000,Broj,central_bosnia_canton,Ž,16723.0
2000,Broj,herzegovina-neretva_canton,Ž,14994.0
