Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,32569
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,35353
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,28573
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,21136
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,24237
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,23972
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,23499
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,24693
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,20156
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,20818
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,19934
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,19416
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,18992
2010,Broj,Federacija Bosne i Hercegovine,M,16593
2011,Broj,Federacija Bosne i Hercegovine,M,18197
2012,Broj,Federacija Bosne i Hercegovine,M,14815
2013,Broj,Federacija Bosne i Hercegovine,M,10772
2014,Broj,Federacija Bosne i Hercegovine,M,12206
2015,Broj,Federacija Bosne i Hercegovine,M,12303
2016,Broj,Federacija Bosne i Hercegovine,M,11999
2017,Broj,Federacija Bosne i Hercegovine,M,12619
2018,Broj,Federacija Bosne i Hercegovine,M,10328
2019,Broj,Federacija Bosne i Hercegovine,M,10715
2020,Broj,Federacija Bosne i Hercegovine,M,10216
2021,Broj,Federacija Bosne i Hercegovine,M,9933
2022,Broj,Federacija Bosne i Hercegovine,M,9880
2010,Broj,Federacija Bosne i Hercegovine,Ž,15976
2011,Broj,Federacija Bosne i Hercegovine,Ž,17156
2012,Broj,Federacija Bosne i Hercegovine,Ž,13758
2013,Broj,Federacija Bosne i Hercegovine,Ž,10364
2014,Broj,Federacija Bosne i Hercegovine,Ž,12031
2015,Broj,Federacija Bosne i Hercegovine,Ž,11669
2016,Broj,Federacija Bosne i Hercegovine,Ž,11500
2017,Broj,Federacija Bosne i Hercegovine,Ž,12074
2018,Broj,Federacija Bosne i Hercegovine,Ž,9828
2019,Broj,Federacija Bosne i Hercegovine,Ž,10103
2020,Broj,Federacija Bosne i Hercegovine,Ž,9718
2021,Broj,Federacija Bosne i Hercegovine,Ž,9483
2022,Broj,Federacija Bosne i Hercegovine,Ž,9112
2010,Broj,Unsko-sanska županija,Oba spola,3170
2011,Broj,Unsko-sanska županija,Oba spola,4752
2012,Broj,Unsko-sanska županija,Oba spola,3840
2013,Broj,Unsko-sanska županija,Oba spola,2231
2014,Broj,Unsko-sanska županija,Oba spola,3546
2015,Broj,Unsko-sanska županija,Oba spola,2997
2016,Broj,Unsko-sanska županija,Oba spola,2877
2017,Broj,Unsko-sanska županija,Oba spola,2676
2018,Broj,Unsko-sanska županija,Oba spola,2552
2019,Broj,Unsko-sanska županija,Oba spola,2375
2020,Broj,Unsko-sanska županija,Oba spola,2241
2021,Broj,Unsko-sanska županija,Oba spola,2021
2022,Broj,Unsko-sanska županija,Oba spola,1957
2010,Broj,Unsko-sanska županija,M,1679
2011,Broj,Unsko-sanska županija,M,2453
2012,Broj,Unsko-sanska županija,M,1999
2013,Broj,Unsko-sanska županija,M,1115
2014,Broj,Unsko-sanska županija,M,1772
2015,Broj,Unsko-sanska županija,M,1551
2016,Broj,Unsko-sanska županija,M,1426
2017,Broj,Unsko-sanska županija,M,1394
2018,Broj,Unsko-sanska županija,M,1272
2019,Broj,Unsko-sanska županija,M,1234
2020,Broj,Unsko-sanska županija,M,1119
2021,Broj,Unsko-sanska županija,M,1036
2022,Broj,Unsko-sanska županija,M,1022
2010,Broj,Unsko-sanska županija,Ž,1491
2011,Broj,Unsko-sanska županija,Ž,2299
2012,Broj,Unsko-sanska županija,Ž,1841
2013,Broj,Unsko-sanska županija,Ž,1116
2014,Broj,Unsko-sanska županija,Ž,1774
2015,Broj,Unsko-sanska županija,Ž,1446
2016,Broj,Unsko-sanska županija,Ž,1451
2017,Broj,Unsko-sanska županija,Ž,1282
2018,Broj,Unsko-sanska županija,Ž,1280
2019,Broj,Unsko-sanska županija,Ž,1141
2020,Broj,Unsko-sanska županija,Ž,1122
2021,Broj,Unsko-sanska županija,Ž,985
2022,Broj,Unsko-sanska županija,Ž,935
2010,Broj,Posavska županija,Oba spola,482
2011,Broj,Posavska županija,Oba spola,459
2012,Broj,Posavska županija,Oba spola,499
2013,Broj,Posavska županija,Oba spola,399
2014,Broj,Posavska županija,Oba spola,428
2015,Broj,Posavska županija,Oba spola,310
2016,Broj,Posavska županija,Oba spola,344
2017,Broj,Posavska županija,Oba spola,286
2018,Broj,Posavska županija,Oba spola,291
2019,Broj,Posavska županija,Oba spola,278
2020,Broj,Posavska županija,Oba spola,236
