Year,UNIT_MEASURE,Admin_Area,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,15622.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,15574.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,15224.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,15417.0
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,15461.0
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,14908.0
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,15153.0
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,15272.0
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,15455.0
2010,Broj,Federacija Bosne i Hercegovine,M,4620.0
2011,Broj,Federacija Bosne i Hercegovine,M,4624.0
2012,Broj,Federacija Bosne i Hercegovine,M,4425.0
2013,Broj,Federacija Bosne i Hercegovine,M,4439.0
2014,Broj,Federacija Bosne i Hercegovine,M,4362.0
2015,Broj,Federacija Bosne i Hercegovine,M,4172.0
2016,Broj,Federacija Bosne i Hercegovine,M,4200.0
2017,Broj,Federacija Bosne i Hercegovine,M,4187.0
2018,Broj,Federacija Bosne i Hercegovine,M,4160.0
2010,Broj,Federacija Bosne i Hercegovine,Ž,11002.0
2011,Broj,Federacija Bosne i Hercegovine,Ž,10950.0
2012,Broj,Federacija Bosne i Hercegovine,Ž,10799.0
2013,Broj,Federacija Bosne i Hercegovine,Ž,10978.0
2014,Broj,Federacija Bosne i Hercegovine,Ž,11099.0
2015,Broj,Federacija Bosne i Hercegovine,Ž,10736.0
2016,Broj,Federacija Bosne i Hercegovine,Ž,10953.0
2017,Broj,Federacija Bosne i Hercegovine,Ž,11085.0
2018,Broj,Federacija Bosne i Hercegovine,Ž,11295.0
2010,Broj,Županija Unsko-sanska,Oba spola,
2011,Broj,Županija Unsko-sanska,Oba spola,
2012,Broj,Županija Unsko-sanska,Oba spola,
2013,Broj,Županija Unsko-sanska,Oba spola,
2014,Broj,Županija Unsko-sanska,Oba spola,
2015,Broj,Županija Unsko-sanska,Oba spola,
2016,Broj,Županija Unsko-sanska,Oba spola,
2017,Broj,Županija Unsko-sanska,Oba spola,
2018,Broj,Županija Unsko-sanska,Oba spola,
2010,Broj,Županija Unsko-sanska,M,
2011,Broj,Županija Unsko-sanska,M,
2012,Broj,Županija Unsko-sanska,M,
2013,Broj,Županija Unsko-sanska,M,
2014,Broj,Županija Unsko-sanska,M,
2015,Broj,Županija Unsko-sanska,M,
2016,Broj,Županija Unsko-sanska,M,
2017,Broj,Županija Unsko-sanska,M,
2018,Broj,Županija Unsko-sanska,M,
2010,Broj,Županija Unsko-sanska,Ž,
2011,Broj,Županija Unsko-sanska,Ž,
2012,Broj,Županija Unsko-sanska,Ž,
2013,Broj,Županija Unsko-sanska,Ž,
2014,Broj,Županija Unsko-sanska,Ž,
2015,Broj,Županija Unsko-sanska,Ž,
2016,Broj,Županija Unsko-sanska,Ž,
2017,Broj,Županija Unsko-sanska,Ž,
2018,Broj,Županija Unsko-sanska,Ž,
2010,Broj,Županija Posavska,Oba spola,
2011,Broj,Županija Posavska,Oba spola,
2012,Broj,Županija Posavska,Oba spola,
2013,Broj,Županija Posavska,Oba spola,
2014,Broj,Županija Posavska,Oba spola,
2015,Broj,Županija Posavska,Oba spola,
2016,Broj,Županija Posavska,Oba spola,
2017,Broj,Županija Posavska,Oba spola,
2018,Broj,Županija Posavska,Oba spola,
2010,Broj,Županija Posavska,M,
2011,Broj,Županija Posavska,M,
2012,Broj,Županija Posavska,M,
2013,Broj,Županija Posavska,M,
2014,Broj,Županija Posavska,M,
2015,Broj,Županija Posavska,M,
2016,Broj,Županija Posavska,M,
2017,Broj,Županija Posavska,M,
2018,Broj,Županija Posavska,M,
2010,Broj,Županija Posavska,Ž,
2011,Broj,Županija Posavska,Ž,
2012,Broj,Županija Posavska,Ž,
2013,Broj,Županija Posavska,Ž,
2014,Broj,Županija Posavska,Ž,
2015,Broj,Županija Posavska,Ž,
2016,Broj,Županija Posavska,Ž,
2017,Broj,Županija Posavska,Ž,
2018,Broj,Županija Posavska,Ž,
2010,Broj,Županija Tuzlanska,Oba spola,
2011,Broj,Županija Tuzlanska,Oba spola,
2012,Broj,Županija Tuzlanska,Oba spola,
2013,Broj,Županija Tuzlanska,Oba spola,
2014,Broj,Županija Tuzlanska,Oba spola,
2015,Broj,Županija Tuzlanska,Oba spola,
2016,Broj,Županija Tuzlanska,Oba spola,
2017,Broj,Županija Tuzlanska,Oba spola,
2018,Broj,Županija Tuzlanska,Oba spola,
2010,Broj,Županija Tuzlanska,M,
2011,Broj,Županija Tuzlanska,M,
2012,Broj,Županija Tuzlanska,M,
2013,Broj,Županija Tuzlanska,M,
2014,Broj,Županija Tuzlanska,M,
2015,Broj,Županija Tuzlanska,M,
2016,Broj,Županija Tuzlanska,M,
2017,Broj,Županija Tuzlanska,M,
2018,Broj,Županija Tuzlanska,M,
2010,Broj,Županija Tuzlanska,Ž,
2011,Broj,Županija Tuzlanska,Ž,
2012,Broj,Županija Tuzlanska,Ž,
2013,Broj,Županija Tuzlanska,Ž,
2014,Broj,Županija Tuzlanska,Ž,
2015,Broj,Županija Tuzlanska,Ž,
2016,Broj,Županija Tuzlanska,Ž,
2017,Broj,Županija Tuzlanska,Ž,
2018,Broj,Županija Tuzlanska,Ž,
2010,Broj,Županija Zeničko-dobojska,Oba spola,
2011,Broj,Županija Zeničko-dobojska,Oba spola,
2012,Broj,Županija Zeničko-dobojska,Oba spola,
2013,Broj,Županija Zeničko-dobojska,Oba spola,
2014,Broj,Županija Zeničko-dobojska,Oba spola,
2015,Broj,Županija Zeničko-dobojska,Oba spola,
2016,Broj,Županija Zeničko-dobojska,Oba spola,
2017,Broj,Županija Zeničko-dobojska,Oba spola,
2018,Broj,Županija Zeničko-dobojska,Oba spola,
2010,Broj,Županija Zeničko-dobojska,M,
2011,Broj,Županija Zeničko-dobojska,M,
2012,Broj,Županija Zeničko-dobojska,M,
2013,Broj,Županija Zeničko-dobojska,M,
2014,Broj,Županija Zeničko-dobojska,M,
2015,Broj,Županija Zeničko-dobojska,M,
2016,Broj,Županija Zeničko-dobojska,M,
2017,Broj,Županija Zeničko-dobojska,M,
2018,Broj,Županija Zeničko-dobojska,M,
2010,Broj,Županija Zeničko-dobojska,Ž,
2011,Broj,Županija Zeničko-dobojska,Ž,
2012,Broj,Županija Zeničko-dobojska,Ž,
2013,Broj,Županija Zeničko-dobojska,Ž,
2014,Broj,Županija Zeničko-dobojska,Ž,
2015,Broj,Županija Zeničko-dobojska,Ž,
2016,Broj,Županija Zeničko-dobojska,Ž,
2017,Broj,Županija Zeničko-dobojska,Ž,
2018,Broj,Županija Zeničko-dobojska,Ž,
2010,Broj,Županija Bosansko-podrinjska,Oba spola,
2011,Broj,Županija Bosansko-podrinjska,Oba spola,
2012,Broj,Županija Bosansko-podrinjska,Oba spola,
2013,Broj,Županija Bosansko-podrinjska,Oba spola,
2014,Broj,Županija Bosansko-podrinjska,Oba spola,
2015,Broj,Županija Bosansko-podrinjska,Oba spola,
2016,Broj,Županija Bosansko-podrinjska,Oba spola,
2017,Broj,Županija Bosansko-podrinjska,Oba spola,
2018,Broj,Županija Bosansko-podrinjska,Oba spola,
2010,Broj,Županija Bosansko-podrinjska,M,
