Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,
2010,Broj,Federacija Bosne i Hercegovine,M,
2011,Broj,Federacija Bosne i Hercegovine,M,
2012,Broj,Federacija Bosne i Hercegovine,M,
2013,Broj,Federacija Bosne i Hercegovine,M,
2014,Broj,Federacija Bosne i Hercegovine,M,
2015,Broj,Federacija Bosne i Hercegovine,M,
2016,Broj,Federacija Bosne i Hercegovine,M,
2017,Broj,Federacija Bosne i Hercegovine,M,
2018,Broj,Federacija Bosne i Hercegovine,M,
2019,Broj,Federacija Bosne i Hercegovine,M,
2010,Broj,Federacija Bosne i Hercegovine,Ž,
2011,Broj,Federacija Bosne i Hercegovine,Ž,
2012,Broj,Federacija Bosne i Hercegovine,Ž,
2013,Broj,Federacija Bosne i Hercegovine,Ž,
2014,Broj,Federacija Bosne i Hercegovine,Ž,
2015,Broj,Federacija Bosne i Hercegovine,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Ž,
2010,Broj,Županija Unsko-sanska,Oba spola,
2011,Broj,Županija Unsko-sanska,Oba spola,
2012,Broj,Županija Unsko-sanska,Oba spola,
2013,Broj,Županija Unsko-sanska,Oba spola,
2014,Broj,Županija Unsko-sanska,Oba spola,
2015,Broj,Županija Unsko-sanska,Oba spola,
2016,Broj,Županija Unsko-sanska,Oba spola,
2017,Broj,Županija Unsko-sanska,Oba spola,
2018,Broj,Županija Unsko-sanska,Oba spola,
2019,Broj,Županija Unsko-sanska,Oba spola,
2010,Broj,Županija Unsko-sanska,M,
2011,Broj,Županija Unsko-sanska,M,
2012,Broj,Županija Unsko-sanska,M,
2013,Broj,Županija Unsko-sanska,M,
2014,Broj,Županija Unsko-sanska,M,
2015,Broj,Županija Unsko-sanska,M,
2016,Broj,Županija Unsko-sanska,M,
2017,Broj,Županija Unsko-sanska,M,
2018,Broj,Županija Unsko-sanska,M,
2019,Broj,Županija Unsko-sanska,M,
2010,Broj,Županija Unsko-sanska,Ž,
2011,Broj,Županija Unsko-sanska,Ž,
2012,Broj,Županija Unsko-sanska,Ž,
2013,Broj,Županija Unsko-sanska,Ž,
2014,Broj,Županija Unsko-sanska,Ž,
2015,Broj,Županija Unsko-sanska,Ž,
2016,Broj,Županija Unsko-sanska,Ž,
2017,Broj,Županija Unsko-sanska,Ž,
2018,Broj,Županija Unsko-sanska,Ž,
2019,Broj,Županija Unsko-sanska,Ž,
2010,Broj,Županija Tuzlanska,Oba spola,
2011,Broj,Županija Tuzlanska,Oba spola,
2012,Broj,Županija Tuzlanska,Oba spola,
2013,Broj,Županija Tuzlanska,Oba spola,
2014,Broj,Županija Tuzlanska,Oba spola,
2015,Broj,Županija Tuzlanska,Oba spola,
2016,Broj,Županija Tuzlanska,Oba spola,
2017,Broj,Županija Tuzlanska,Oba spola,
2018,Broj,Županija Tuzlanska,Oba spola,
2019,Broj,Županija Tuzlanska,Oba spola,
2010,Broj,Županija Tuzlanska,M,
2011,Broj,Županija Tuzlanska,M,
2012,Broj,Županija Tuzlanska,M,
2013,Broj,Županija Tuzlanska,M,
2014,Broj,Županija Tuzlanska,M,
2015,Broj,Županija Tuzlanska,M,
2016,Broj,Županija Tuzlanska,M,
2017,Broj,Županija Tuzlanska,M,
2018,Broj,Županija Tuzlanska,M,
2019,Broj,Županija Tuzlanska,M,
2010,Broj,Županija Tuzlanska,Ž,
2011,Broj,Županija Tuzlanska,Ž,
2012,Broj,Županija Tuzlanska,Ž,
2013,Broj,Županija Tuzlanska,Ž,
2014,Broj,Županija Tuzlanska,Ž,
2015,Broj,Županija Tuzlanska,Ž,
2016,Broj,Županija Tuzlanska,Ž,
2017,Broj,Županija Tuzlanska,Ž,
2018,Broj,Županija Tuzlanska,Ž,
2019,Broj,Županija Tuzlanska,Ž,
2010,Broj,Županija Zeničko-dobojska,Oba spola,
2011,Broj,Županija Zeničko-dobojska,Oba spola,
2012,Broj,Županija Zeničko-dobojska,Oba spola,
2013,Broj,Županija Zeničko-dobojska,Oba spola,
2014,Broj,Županija Zeničko-dobojska,Oba spola,
2015,Broj,Županija Zeničko-dobojska,Oba spola,
2016,Broj,Županija Zeničko-dobojska,Oba spola,
2017,Broj,Županija Zeničko-dobojska,Oba spola,
2018,Broj,Županija Zeničko-dobojska,Oba spola,
2019,Broj,Županija Zeničko-dobojska,Oba spola,
2010,Broj,Županija Zeničko-dobojska,M,
2011,Broj,Županija Zeničko-dobojska,M,
2012,Broj,Županija Zeničko-dobojska,M,
2013,Broj,Županija Zeničko-dobojska,M,
2014,Broj,Županija Zeničko-dobojska,M,
2015,Broj,Županija Zeničko-dobojska,M,
2016,Broj,Županija Zeničko-dobojska,M,
2017,Broj,Županija Zeničko-dobojska,M,
2018,Broj,Županija Zeničko-dobojska,M,
2019,Broj,Županija Zeničko-dobojska,M,
2010,Broj,Županija Zeničko-dobojska,Ž,
2011,Broj,Županija Zeničko-dobojska,Ž,
2012,Broj,Županija Zeničko-dobojska,Ž,
2013,Broj,Županija Zeničko-dobojska,Ž,
2014,Broj,Županija Zeničko-dobojska,Ž,
2015,Broj,Županija Zeničko-dobojska,Ž,
2016,Broj,Županija Zeničko-dobojska,Ž,
2017,Broj,Županija Zeničko-dobojska,Ž,
2018,Broj,Županija Zeničko-dobojska,Ž,
2019,Broj,Županija Zeničko-dobojska,Ž,
2010,Broj,Županija Bosansko-podrinjska,Oba spola,
2011,Broj,Županija Bosansko-podrinjska,Oba spola,
2012,Broj,Županija Bosansko-podrinjska,Oba spola,
2013,Broj,Županija Bosansko-podrinjska,Oba spola,
2014,Broj,Županija Bosansko-podrinjska,Oba spola,
2015,Broj,Županija Bosansko-podrinjska,Oba spola,
2016,Broj,Županija Bosansko-podrinjska,Oba spola,
2017,Broj,Županija Bosansko-podrinjska,Oba spola,
2018,Broj,Županija Bosansko-podrinjska,Oba spola,
2019,Broj,Županija Bosansko-podrinjska,Oba spola,
2010,Broj,Županija Bosansko-podrinjska,M,
2011,Broj,Županija Bosansko-podrinjska,M,
2012,Broj,Županija Bosansko-podrinjska,M,
2013,Broj,Županija Bosansko-podrinjska,M,
2014,Broj,Županija Bosansko-podrinjska,M,
2015,Broj,Županija Bosansko-podrinjska,M,
2016,Broj,Županija Bosansko-podrinjska,M,
2017,Broj,Županija Bosansko-podrinjska,M,
2018,Broj,Županija Bosansko-podrinjska,M,
2019,Broj,Županija Bosansko-podrinjska,M,
2010,Broj,Županija Bosansko-podrinjska,Ž,
2011,Broj,Županija Bosansko-podrinjska,Ž,
2012,Broj,Županija Bosansko-podrinjska,Ž,
2013,Broj,Županija Bosansko-podrinjska,Ž,
2014,Broj,Županija Bosansko-podrinjska,Ž,
2015,Broj,Županija Bosansko-podrinjska,Ž,
2016,Broj,Županija Bosansko-podrinjska,Ž,
2017,Broj,Županija Bosansko-podrinjska,Ž,
2018,Broj,Županija Bosansko-podrinjska,Ž,
2019,Broj,Županija Bosansko-podrinjska,Ž,
2010,Broj,Županija Srednjobosanska,Oba spola,
2011,Broj,Županija Srednjobosanska,Oba spola,
2012,Broj,Županija Srednjobosanska,Oba spola,
2013,Broj,Županija Srednjobosanska,Oba spola,
2014,Broj,Županija Srednjobosanska,Oba spola,
2015,Broj,Županija Srednjobosanska,Oba spola,
2016,Broj,Županija Srednjobosanska,Oba spola,
2017,Broj,Županija Srednjobosanska,Oba spola,
2018,Broj,Županija Srednjobosanska,Oba spola,
2019,Broj,Županija Srednjobosanska,Oba spola,
2010,Broj,Županija Srednjobosanska,M,
2011,Broj,Županija Srednjobosanska,M,
2012,Broj,Županija Srednjobosanska,M,
2013,Broj,Županija Srednjobosanska,M,
2014,Broj,Županija Srednjobosanska,M,
2015,Broj,Županija Srednjobosanska,M,
2016,Broj,Županija Srednjobosanska,M,
2017,Broj,Županija Srednjobosanska,M,
2018,Broj,Županija Srednjobosanska,M,
2019,Broj,Županija Srednjobosanska,M,
2010,Broj,Županija Srednjobosanska,Ž,
2011,Broj,Županija Srednjobosanska,Ž,
2012,Broj,Županija Srednjobosanska,Ž,
2013,Broj,Županija Srednjobosanska,Ž,
2014,Broj,Županija Srednjobosanska,Ž,
2015,Broj,Županija Srednjobosanska,Ž,
2016,Broj,Županija Srednjobosanska,Ž,
2017,Broj,Županija Srednjobosanska,Ž,
