Year,UNIT_MEASURE,Administrativna oblast,scientific_field,Value
2010,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2010,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2010,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2010,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2010,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2010,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2010,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2010,Broj,Federacija Bosne i Hercegovine,Usluge,
2010,Broj,Županija Unsko-sanska,Obrazovanje,
2010,Broj,Županija Unsko-sanska,Umjetnost i humanističke znanosti,
2010,Broj,Županija Unsko-sanska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Unsko-sanska,"business,_administration_and_law",
2010,Broj,Županija Unsko-sanska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Unsko-sanska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Unsko-sanska,"engineering,_production_and_construction",
2010,Broj,Županija Unsko-sanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Unsko-sanska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Unsko-sanska,Usluge,
2010,Broj,Županija Tuzlanska,Obrazovanje,
2010,Broj,Županija Tuzlanska,Umjetnost i humanističke znanosti,
2010,Broj,Županija Tuzlanska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Tuzlanska,"business,_administration_and_law",
2010,Broj,Županija Tuzlanska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Tuzlanska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Tuzlanska,"engineering,_production_and_construction",
2010,Broj,Županija Tuzlanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Tuzlanska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Tuzlanska,Usluge,
2010,Broj,Županija Zeničko-dobojska,Obrazovanje,
2010,Broj,Županija Zeničko-dobojska,Umjetnost i humanističke znanosti,
2010,Broj,Županija Zeničko-dobojska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Zeničko-dobojska,"business,_administration_and_law",
2010,Broj,Županija Zeničko-dobojska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Zeničko-dobojska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Zeničko-dobojska,"engineering,_production_and_construction",
2010,Broj,Županija Zeničko-dobojska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Zeničko-dobojska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Zeničko-dobojska,Usluge,
2010,Broj,Županija Bosansko-podrinjska,Obrazovanje,
2010,Broj,Županija Bosansko-podrinjska,Umjetnost i humanističke znanosti,
2010,Broj,Županija Bosansko-podrinjska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Bosansko-podrinjska,"business,_administration_and_law",
2010,Broj,Županija Bosansko-podrinjska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Bosansko-podrinjska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Bosansko-podrinjska,"engineering,_production_and_construction",
2010,Broj,Županija Bosansko-podrinjska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Bosansko-podrinjska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Bosansko-podrinjska,Usluge,
2010,Broj,Županija Srednjobosanska,Obrazovanje,
2010,Broj,Županija Srednjobosanska,Umjetnost i humanističke znanosti,
