Year,UNIT_MEASURE,Radni status,Spol,Value
2016.0,%,Zaposlenici,Oba spola,82.2
2016.0,%,Samozaposlenici,Oba spola,16.1
2016.0,%,Neplaćeni pomažući članovi,Oba spola,1.7
2016.0,%,Zaposlenici,_M,80.1
2016.0,%,Samozaposlenici,_M,18.9
2016.0,%,Neplaćeni pomažući članovi,_M,1.0
2016.0,%,Zaposlenici,_F,86.1
2016.0,%,Samozaposlenici,_F,10.8
2016.0,%,Neplaćeni pomažući članovi,_F,3.1
2017.0,%,Zaposlenici,Oba spola,81.2
2017.0,%,Samozaposlenici,Oba spola,16.7
2017.0,%,Neplaćeni pomažući članovi,Oba spola,2.2
2017.0,%,Zaposlenici,_M,80.3
2017.0,%,Samozaposlenici,_M,18.5
2017.0,%,Neplaćeni pomažući članovi,_M,1.3
2017.0,%,Zaposlenici,_F,82.8
2017.0,%,Samozaposlenici,_F,13.5
2017.0,%,Neplaćeni pomažući članovi,_F,3.7
2018.0,%,Zaposlenici,Oba spola,84.9
2018.0,%,Samozaposlenici,Oba spola,14.1
2018.0,%,Neplaćeni pomažući članovi,Oba spola,1.0
2018.0,%,Zaposlenici,_M,83.2
2018.0,%,Samozaposlenici,_M,16.2
2018.0,%,Neplaćeni pomažući članovi,_M,0.0
2018.0,%,Zaposlenici,_F,87.8
2018.0,%,Samozaposlenici,_F,10.5
2018.0,%,Neplaćeni pomažući članovi,_F,1.7
2019.0,%,Zaposlenici,Oba spola,83.0
2019.0,%,Samozaposlenici,Oba spola,15.7
2019.0,%,Neplaćeni pomažući članovi,Oba spola,1.3
2019.0,%,Zaposlenici,_M,82.1
2019.0,%,Samozaposlenici,_M,17.3
2019.0,%,Neplaćeni pomažući članovi,_M,0.0
2019.0,%,Zaposlenici,_F,84.4
2019.0,%,Samozaposlenici,_F,13.1
2019.0,%,Neplaćeni pomažući članovi,_F,2.5
2020.0,%,Zaposlenici,Oba spola,89.0
2020.0,%,Samozaposlenici,Oba spola,10.3
2020.0,%,Neplaćeni pomažući članovi,Oba spola,0.7
2020.0,%,Zaposlenici,_M,87.9
2020.0,%,Samozaposlenici,_M,11.6
2020.0,%,Neplaćeni pomažući članovi,_M,0.6
2020.0,%,Zaposlenici,_F,91.1
2020.0,%,Samozaposlenici,_F,8.0
2020.0,%,Neplaćeni pomažući članovi,_F,0.9
2021.0,%,Zaposlenici,Oba spola,89.5
2021.0,%,Samozaposlenici,Oba spola,9.3
2021.0,%,Neplaćeni pomažući članovi,Oba spola,1.3
2021.0,%,Zaposlenici,_M,88.7
2021.0,%,Samozaposlenici,_M,10.5
2021.0,%,Neplaćeni pomažući članovi,_M,0.8
2021.0,%,Zaposlenici,_F,90.8
2021.0,%,Samozaposlenici,_F,6.9
2021.0,%,Neplaćeni pomažući članovi,_F,2.3
2022.0,%,Zaposlenici,Oba spola,89.7
2022.0,%,Samozaposlenici,Oba spola,9.5
2022.0,%,Neplaćeni pomažući članovi,Oba spola,0.8
2022.0,%,Zaposlenici,_M,88.6
2022.0,%,Samozaposlenici,_M,10.9
2022.0,%,Neplaćeni pomažući članovi,_M,0.5
2022.0,%,Zaposlenici,_F,91.7
2022.0,%,Samozaposlenici,_F,6.8
2022.0,%,Neplaćeni pomažući članovi,_F,1.4
,,,,
