Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
1996,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,32614
1996,Broj,Ukupno,Unsko-sanska županija,Živorođeni,4646
1996,Broj,Ukupno,Posavska županija,Živorođeni,43
1996,Broj,Ukupno,Tuzlanska županija,Živorođeni,6825
1996,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,7375
1996,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,495
1996,Broj,Ukupno,Srednjobosanska županija,Živorođeni,4350
1996,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2913
1996,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,950
1996,Broj,Ukupno,Sarajevska županija,Živorođeni,4154
1996,Broj,Ukupno,Županija 10,Živorođeni,863
1996,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,171
1996,Broj,M,Unsko-sanska županija,Živorođeni,2518
1996,Broj,M,Posavska županija,Živorođeni,23
1996,Broj,M,Tuzlanska županija,Živorođeni,3515
1996,Broj,M,Zeničko-dobojska županija,Živorođeni,3937
1996,Broj,M,Bosansko-podrinjska županija,Živorođeni,249
1996,Broj,M,Srednjobosanska županija,Živorođeni,2285
1996,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1506
1996,Broj,M,Zapadno-hercegovačka županija,Živorođeni,506
1996,Broj,M,Sarajevska županija,Živorođeni,2133
1996,Broj,M,Županija 10,Živorođeni,448
1996,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,15494
1996,Broj,Ž,Unsko-sanska županija,Živorođeni,2128
1996,Broj,Ž,Posavska županija,Živorođeni,20
1996,Broj,Ž,Tuzlanska županija,Živorođeni,3310
1996,Broj,Ž,Zeničko-dobojska županija,Živorođeni,3438
1996,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,246
1996,Broj,Ž,Srednjobosanska županija,Živorođeni,2065
1996,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1407
1996,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,444
1996,Broj,Ž,Sarajevska županija,Živorođeni,2021
1996,Broj,Ž,Županija 10,Živorođeni,415
1997,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,33003
1997,Broj,Ukupno,Unsko-sanska županija,Živorođeni,5682
1997,Broj,Ukupno,Posavska županija,Živorođeni,22
1997,Broj,Ukupno,Tuzlanska županija,Živorođeni,5901
1997,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,6764
1997,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,482
1997,Broj,Ukupno,Srednjobosanska županija,Živorođeni,4134
1997,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2745
1997,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,1082
1997,Broj,Ukupno,Sarajevska županija,Živorođeni,5245
1997,Broj,Ukupno,Županija 10,Živorođeni,946
1997,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,17251
1997,Broj,M,Unsko-sanska županija,Živorođeni,2930
1997,Broj,M,Posavska županija,Živorođeni,13
1997,Broj,M,Tuzlanska županija,Živorođeni,3097
1997,Broj,M,Zeničko-dobojska županija,Živorođeni,3486
1997,Broj,M,Bosansko-podrinjska županija,Živorođeni,255
1997,Broj,M,Srednjobosanska županija,Živorođeni,2200
1997,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1482
1997,Broj,M,Zapadno-hercegovačka županija,Živorođeni,584
1997,Broj,M,Sarajevska županija,Živorođeni,2734
1997,Broj,M,Županija 10,Živorođeni,470
1997,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,15752
1997,Broj,Ž,Unsko-sanska županija,Živorođeni,2752
1997,Broj,Ž,Posavska županija,Živorođeni,9
1997,Broj,Ž,Tuzlanska županija,Živorođeni,2804
1997,Broj,Ž,Zeničko-dobojska županija,Živorođeni,3278
1997,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,227
1997,Broj,Ž,Srednjobosanska županija,Živorođeni,1934
1997,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1263
1997,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,498
1997,Broj,Ž,Sarajevska županija,Živorođeni,2511
1997,Broj,Ž,Županija 10,Živorođeni,476
1998,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,30427
1998,Broj,Ukupno,Unsko-sanska županija,Živorođeni,5158
1998,Broj,Ukupno,Posavska županija,Živorođeni,30
1998,Broj,Ukupno,Tuzlanska županija,Živorođeni,5858
