Year,UNIT_MEASURE,Spol,Starosna dob,Uzrok smrti,Value
2008,Broj,Oba spola,Ukupno,(H00-H59) Bolesti oka,1.0
2008,Broj,Oba spola,Ukupno,"(O00-O99) Trudnoća, porođaj i postporođajni period",3.0
2008,Broj,Oba spola,Ukupno,(A00-B99) Zarazne i parazitarne bolesti,154.0
2008,Broj,Oba spola,Ukupno,"(C00-C97,D00-D48) Neoplazme",3832.0
2008,Broj,Oba spola,Ukupno,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sustava",27.0
2008,Broj,Oba spola,Ukupno,"(E00-E90) Endokrine bolesti, bolesti prehrane i bolesti metabolizma",774.0
2008,Broj,Oba spola,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,61.0
2008,Broj,Oba spola,Ukupno,(G00-G99) Bolesti nervnog sustava,141.0
2008,Broj,Oba spola,Ukupno,(I00-I99) Bolesti cirkulacijskog sustava,10509.0
2008,Broj,Oba spola,Ukupno,(J00-J99) Bolesti respiratornog sustava,558.0
2008,Broj,Oba spola,Ukupno,(K00-K93) Bolesti digestivnog sustava,468.0
2008,Broj,Oba spola,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,8.0
2008,Broj,Oba spola,Ukupno,(M00-M99) Bolesti muskuloskeletnog sustava i vezivnog tkiva,23.0
2008,Broj,Oba spola,Ukupno,(N00-N99) Bolesti genitalno-urinarnog sustava,279.0
2008,Broj,Oba spola,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,116.0
2008,Broj,Oba spola,Ukupno,"(Q00-Q99) Kongenitalne malformacije, deformiteti i kromosomske abnormalnosti",46.0
2008,Broj,Oba spola,Ukupno,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi nesvrstani drugamo",1062.0
2008,Broj,Oba spola,Ukupno,Nepoznato,813.0
2008,Broj,Oba spola,Ukupno,"(S00-T98) Ozljede, otrovanja i ostale posljedice vanjskih uzroka",605.0
2008,Broj,M,Ukupno,"(O00-O99) Trudnoća, porođaj i postporođajni period",0.0
2008,Broj,M,Ukupno,(H00-H59) Bolesti oka,0.0
2008,Broj,M,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,3.0
2008,Broj,M,Ukupno,"(S00-T98) Ozljede, otrovanja i ostale posljedice vanjskih uzroka",483.0
2008,Broj,M,Ukupno,(A00-B99) Zarazne i parazitarne bolesti,96.0
2008,Broj,M,Ukupno,"(C00-C97,D00-D48) Neoplazme",2286.0
2008,Broj,M,Ukupno,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sustava",12.0
2008,Broj,M,Ukupno,"(E00-E90) Endokrine bolesti, bolesti prehrane i bolesti metabolizma",298.0
2008,Broj,M,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,38.0
2008,Broj,M,Ukupno,(G00-G99) Bolesti nervnog sustava,76.0
2008,Broj,M,Ukupno,(I00-I99) Bolesti cirkulacijskog sustava,4949.0
2008,Broj,M,Ukupno,(J00-J99) Bolesti respiratornog sustava,336.0
2008,Broj,M,Ukupno,(K00-K93) Bolesti digestivnog sustava,270.0
2008,Broj,M,Ukupno,(M00-M99) Bolesti muskuloskeletnog sustava i vezivnog tkiva,11.0
2008,Broj,M,Ukupno,(N00-N99) Bolesti genitalno-urinarnog sustava,137.0
2008,Broj,M,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,63.0
2008,Broj,M,Ukupno,"(Q00-Q99) Kongenitalne malformacije, deformiteti i kromosomske abnormalnosti",27.0
2008,Broj,M,Ukupno,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi nesvrstani drugamo",542.0
2008,Broj,M,Ukupno,Nepoznato,443.0
2008,Broj,Ž,Ukupno,(H00-H59) Bolesti oka,1.0
2008,Broj,Ž,Ukupno,"(O00-O99) Trudnoća, porođaj i postporođajni period",3.0
2008,Broj,Ž,Ukupno,(L00-L99) Bolesti kože i potkožnog tkiva,5.0
2008,Broj,Ž,Ukupno,(A00-B99) Zarazne i parazitarne bolesti,58.0
2008,Broj,Ž,Ukupno,"(C00-C97,D00-D48) Neoplazme",1546.0
2008,Broj,Ž,Ukupno,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sustava",15.0
2008,Broj,Ž,Ukupno,"(E00-E90) Endokrine bolesti, bolesti prehrane i bolesti metabolizma",476.0
2008,Broj,Ž,Ukupno,(F00-F99) Duševni poremećaji i poremećaji ponašanja,23.0
2008,Broj,Ž,Ukupno,(G00-G99) Bolesti nervnog sustava,65.0
2008,Broj,Ž,Ukupno,(I00-I99) Bolesti cirkulacijskog sustava,5560.0
2008,Broj,Ž,Ukupno,(J00-J99) Bolesti respiratornog sustava,222.0
2008,Broj,Ž,Ukupno,(K00-K93) Bolesti digestivnog sustava,198.0
2008,Broj,Ž,Ukupno,(M00-M99) Bolesti muskuloskeletnog sustava i vezivnog tkiva,12.0
2008,Broj,Ž,Ukupno,(N00-N99) Bolesti genitalno-urinarnog sustava,142.0
2008,Broj,Ž,Ukupno,(P00-P96) Određena stanja nastala u perinatalnom periodu,53.0
2008,Broj,Ž,Ukupno,"(Q00-Q99) Kongenitalne malformacije, deformiteti i kromosomske abnormalnosti",19.0
2008,Broj,Ž,Ukupno,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi nesvrstani drugamo",520.0
2008,Broj,Ž,Ukupno,"(S00-T98) Ozljede, otrovanja i ostale posljedice vanjskih uzroka",122.0
2008,Broj,Ž,Ukupno,Nepoznato,370.0
2008,Broj,Oba spola,0,(L00-L99) Bolesti kože i potkožnog tkiva,0.0
2008,Broj,Oba spola,0,(H00-H59) Bolesti oka,0.0
2008,Broj,Oba spola,0,"(O00-O99) Trudnoća, porođaj i postporođajni period",0.0
2008,Broj,Oba spola,0,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sustava",0.0
2008,Broj,Oba spola,0,(M00-M99) Bolesti muskuloskeletnog sustava i vezivnog tkiva,0.0
2008,Broj,Oba spola,0,(F00-F99) Duševni poremećaji i poremećaji ponašanja,0.0
2008,Broj,Oba spola,0,"(C00-C97,D00-D48) Neoplazme",0.0
