Year,UNIT_MEASURE,Spol,Value
1996,Broj,Oba spola,210
1997,Broj,Oba spola,167
1998,Broj,Oba spola,146
1999,Broj,Oba spola,154
2000,Broj,Oba spola,107
2001,Broj,Oba spola,116
2002,Broj,Oba spola,98
2003,Broj,Oba spola,109
2004,Broj,Oba spola,123
2005,Broj,Oba spola,110
2006,Broj,Oba spola,105
2007,Broj,Oba spola,130
2008,Broj,Oba spola,129
2009,Broj,Oba spola,90
2010,Broj,Oba spola,85
2011,Broj,Oba spola,76
2012,Broj,Oba spola,68
2013,Broj,Oba spola,60
2014,Broj,Oba spola,53
2015,Broj,Oba spola,97
2016,Broj,Oba spola,95
2017,Broj,Oba spola,84
2018,Broj,Oba spola,68
2019,Broj,Oba spola,69
2020,Broj,Oba spola,53
2021,Broj,Oba spola,66
2022,Broj,Oba spola,69
2023,Broj,Oba spola,53
1996,Broj,M,107
1997,Broj,M,98
1998,Broj,M,76
1999,Broj,M,88
2000,Broj,M,59
2001,Broj,M,60
2002,Broj,M,60
2003,Broj,M,72
2004,Broj,M,70
2005,Broj,M,69
2006,Broj,M,62
2007,Broj,M,73
2008,Broj,M,79
2009,Broj,M,52
2010,Broj,M,55
2011,Broj,M,39
2012,Broj,M,36
2013,Broj,M,27
2014,Broj,M,32
2015,Broj,M,48
2016,Broj,M,54
2017,Broj,M,41
2018,Broj,M,37
2019,Broj,M,36
2020,Broj,M,28
2021,Broj,M,28
2022,Broj,M,36
2023,Broj,M,21
1996,Broj,Ž,103
1997,Broj,Ž,69
1998,Broj,Ž,70
1999,Broj,Ž,66
2000,Broj,Ž,48
2001,Broj,Ž,56
2002,Broj,Ž,38
2003,Broj,Ž,37
2004,Broj,Ž,53
2005,Broj,Ž,41
2006,Broj,Ž,43
2007,Broj,Ž,57
2008,Broj,Ž,50
2009,Broj,Ž,38
2010,Broj,Ž,30
2011,Broj,Ž,37
2012,Broj,Ž,32
2013,Broj,Ž,33
2014,Broj,Ž,21
2015,Broj,Ž,49
2016,Broj,Ž,41
2017,Broj,Ž,43
2018,Broj,Ž,31
2019,Broj,Ž,33
2020,Broj,Ž,25
2021,Broj,Ž,38
2022,Broj,Ž,35
2023,Broj,Ž,32
