Year,UNIT_MEASURE,Value
1997,Broj na 1000 živorođenih,4.9
1998,Broj na 1000 živorođenih,4.6
1999,Broj na 1000 živorođenih,5.5
2000,Broj na 1000 živorođenih,4.2
2001,Broj na 1000 živorođenih,4.8
2002,Broj na 1000 živorođenih,4.2
2003,Broj na 1000 živorođenih,4.7
2004,Broj na 1000 živorođenih,5.5
2005,Broj na 1000 živorođenih,5.0
2006,Broj na 1000 živorođenih,4.9
2007,Broj na 1000 živorođenih,6.0
2008,Broj na 1000 živorođenih,5.6
2009,Broj na 1000 živorođenih,3.9
2010,Broj na 1000 živorođenih,3.8
2011,Broj na 1000 živorođenih,3.6
2012,Broj na 1000 živorođenih,3.2
2013,Broj na 1000 živorođenih,3.0
2014,Broj na 1000 živorođenih,2.7
2015,Broj na 1000 živorođenih,5.0
2016,Broj na 1000 živorođenih,4.8
2017,Broj na 1000 živorođenih,4.2
2018,Broj na 1000 živorođenih,3.6
2019,Broj na 1000 živorođenih,3.8
