Year,Spol,UNIT_MEASURE,Value
1996,M,Starosna dob,28.1
1997,M,Starosna dob,27.1
1998,M,Starosna dob,27.9
1999,M,Starosna dob,27.7
2000,M,Starosna dob,27.4
2001,M,Starosna dob,27.4
2002,M,Starosna dob,27.5
2003,M,Starosna dob,27.6
2004,M,Starosna dob,27.6
2005,M,Starosna dob,27.7
2006,M,Starosna dob,27.7
2007,M,Starosna dob,27.8
2008,M,Starosna dob,27.8
2009,M,Starosna dob,27.9
2010,M,Starosna dob,27.9
2011,M,Starosna dob,28.1
2012,M,Starosna dob,28.1
2013,M,Starosna dob,28.6
2014,M,Starosna dob,28.1
2015,M,Starosna dob,28.4
2016,M,Starosna dob,28.3
2017,M,Starosna dob,28.3
2018,M,Starosna dob,28.5
2019,M,Starosna dob,28.3
2020,M,Starosna dob,28.4
1996,Ž,Starosna dob,24.4
1997,Ž,Starosna dob,23.8
1998,Ž,Starosna dob,24.4
1999,Ž,Starosna dob,24.2
2000,Ž,Starosna dob,23.9
2001,Ž,Starosna dob,24.0
2002,Ž,Starosna dob,24.1
2003,Ž,Starosna dob,24.2
2004,Ž,Starosna dob,24.2
2005,Ž,Starosna dob,24.3
2006,Ž,Starosna dob,24.3
2007,Ž,Starosna dob,24.5
2008,Ž,Starosna dob,24.6
2009,Ž,Starosna dob,24.8
2010,Ž,Starosna dob,24.9
2011,Ž,Starosna dob,25.0
2012,Ž,Starosna dob,25.2
2013,Ž,Starosna dob,25.5
2014,Ž,Starosna dob,25.2
2015,Ž,Starosna dob,25.5
2016,Ž,Starosna dob,25.4
2017,Ž,Starosna dob,25.5
2018,Ž,Starosna dob,25.8
2019,Ž,Starosna dob,25.7
2020,Ž,Starosna dob,25.7
