Year,UNIT_MEASURE,Administrativna jedinica,Value
2011,Broj,Federacija Bosne i Hercegovine,1208
2011,Broj,Unsko-sanska županija,237
2011,Broj,Posavska županija,19
2011,Broj,Tuzlanska županija,256
2011,Broj,Zeničko-dobojska županija,225
2011,Broj,Bosansko-podrinjska županija,21
2011,Broj,Srednjobosanska županija,63
2011,Broj,Hercegovačko-neretvanska županija,110
2011,Broj,Zapadno-hercegovačka županija,15
2011,Broj,Sarajevska županija,250
2011,Broj,Županija 10,12
2012,Broj,Federacija Bosne i Hercegovine,1173
2012,Broj,Unsko-sanska županija,252
2012,Broj,Posavska županija,25
2012,Broj,Tuzlanska županija,251
2012,Broj,Zeničko-dobojska županija,308
2012,Broj,Bosansko-podrinjska županija,7
2012,Broj,Srednjobosanska županija,106
2012,Broj,Hercegovačko-neretvanska županija,109
2012,Broj,Zapadno-hercegovačka županija,18
2012,Broj,Sarajevska županija,88
2012,Broj,Županija 10,9
2013,Broj,Federacija Bosne i Hercegovine,1359
2013,Broj,Unsko-sanska županija,257
2013,Broj,Posavska županija,23
2013,Broj,Tuzlanska županija,300
2013,Broj,Zeničko-dobojska županija,293
2013,Broj,Bosansko-podrinjska županija,9
2013,Broj,Srednjobosanska županija,95
2013,Broj,Hercegovačko-neretvanska županija,128
2013,Broj,Zapadno-hercegovačka županija,17
2013,Broj,Sarajevska županija,231
2013,Broj,Županija 10,6
2014,Broj,Federacija Bosne i Hercegovine,1318
2014,Broj,Unsko-sanska županija,255
2014,Broj,Posavska županija,13
2014,Broj,Tuzlanska županija,377
2014,Broj,Zeničko-dobojska županija,289
2014,Broj,Bosansko-podrinjska županija,17
2014,Broj,Srednjobosanska županija,79
2014,Broj,Hercegovačko-neretvanska županija,115
2014,Broj,Zapadno-hercegovačka županija,23
2014,Broj,Sarajevska županija,139
2014,Broj,Županija 10,11
2015,Broj,Federacija Bosne i Hercegovine,1490
2015,Broj,Unsko-sanska županija,241
2015,Broj,Posavska županija,36
2015,Broj,Tuzlanska županija,401
2015,Broj,Zeničko-dobojska županija,225
2015,Broj,Bosansko-podrinjska županija,25
2015,Broj,Srednjobosanska županija,117
2015,Broj,Hercegovačko-neretvanska županija,124
2015,Broj,Zapadno-hercegovačka županija,19
2015,Broj,Sarajevska županija,295
2015,Broj,Županija 10,7
2016,Broj,Federacija Bosne i Hercegovine,1445
2016,Broj,Unsko-sanska županija,250
2016,Broj,Posavska županija,25
2016,Broj,Tuzlanska županija,420
2016,Broj,Zeničko-dobojska županija,214
2016,Broj,Bosansko-podrinjska županija,18
2016,Broj,Srednjobosanska županija,89
2016,Broj,Hercegovačko-neretvanska županija,160
2016,Broj,Zapadno-hercegovačka županija,20
2016,Broj,Sarajevska županija,242
2016,Broj,Županija 10,7
2017,Broj,Federacija Bosne i Hercegovine,1725
2017,Broj,Unsko-sanska županija,253
2017,Broj,Posavska županija,31
2017,Broj,Tuzlanska županija,409
2017,Broj,Zeničko-dobojska županija,361
2017,Broj,Bosansko-podrinjska županija,21
2017,Broj,Srednjobosanska županija,78
2017,Broj,Hercegovačko-neretvanska županija,118
2017,Broj,Zapadno-hercegovačka županija,27
2017,Broj,Sarajevska županija,413
2017,Broj,Županija 10,14
2018,Broj,Federacija Bosne i Hercegovine,1823
2018,Broj,Unsko-sanska županija,273
2018,Broj,Posavska županija,40
2018,Broj,Tuzlanska županija,522
2018,Broj,Zeničko-dobojska županija,348
2018,Broj,Bosansko-podrinjska županija,32
2018,Broj,Srednjobosanska županija,125
2018,Broj,Hercegovačko-neretvanska županija,120
2018,Broj,Zapadno-hercegovačka županija,20
2018,Broj,Sarajevska županija,320
2018,Broj,Županija 10,23
2019,Broj,Federacija Bosne i Hercegovine,1673
2019,Broj,Unsko-sanska županija,303
2019,Broj,Posavska županija,45
2019,Broj,Tuzlanska županija,428
2019,Broj,Zeničko-dobojska županija,341
2019,Broj,Bosansko-podrinjska županija,25
2019,Broj,Srednjobosanska županija,142
2019,Broj,Hercegovačko-neretvanska županija,124
2019,Broj,Zapadno-hercegovačka županija,26
2019,Broj,Sarajevska županija,223
2019,Broj,Županija 10,16
2020,Broj,Federacija Bosne i Hercegovine,1460
2020,Broj,Unsko-sanska županija,255
2020,Broj,Posavska županija,24
2020,Broj,Tuzlanska županija,448
2020,Broj,Zeničko-dobojska županija,281
2020,Broj,Bosansko-podrinjska županija,25
2020,Broj,Srednjobosanska županija,107
2020,Broj,Hercegovačko-neretvanska županija,90
2020,Broj,Zapadno-hercegovačka županija,21
2020,Broj,Sarajevska županija,195
2020,Broj,Županija 10,14
