Year,UNIT_MEASURE,Tip odnosa zavisnosti,Spol,Value
2020,%,(0-14+60+)/(15-59),Oba spola,60.4
2020,%,(0-19+65+)/(20-64),Oba spola,56.2
2020,%,(0-14+50+)/(15-49),Oba spola,110.6
2025,%,(0-14+60+)/(15-59),Oba spola,70.4
2025,%,(0-19+65+)/(20-64),Oba spola,63.9
2025,%,(0-14+50+)/(15-49),Oba spola,125.8
2030,%,(0-14+60+)/(15-59),Oba spola,79.9
2030,%,(0-19+65+)/(20-64),Oba spola,72.4
2030,%,(0-14+50+)/(15-49),Oba spola,143.7
2035,%,(0-14+60+)/(15-59),Oba spola,90.2
2035,%,(0-19+65+)/(20-64),Oba spola,80.3
2035,%,(0-14+50+)/(15-49),Oba spola,165.7
2040,%,(0-14+60+)/(15-59),Oba spola,100.7
2040,%,(0-19+65+)/(20-64),Oba spola,88.7
2040,%,(0-14+50+)/(15-49),Oba spola,187.2
2045,%,(0-14+60+)/(15-59),Oba spola,112.8
2045,%,(0-19+65+)/(20-64),Oba spola,97.3
2045,%,(0-14+50+)/(15-49),Oba spola,204.8
2050,%,(0-14+60+)/(15-59),Oba spola,125.8
2050,%,(0-19+65+)/(20-64),Oba spola,107.5
2050,%,(0-14+50+)/(15-49),Oba spola,223.3
2055,%,(0-14+60+)/(15-59),Oba spola,136.0
2055,%,(0-19+65+)/(20-64),Oba spola,118.6
2055,%,(0-14+50+)/(15-49),Oba spola,230.3
2060,%,(0-14+60+)/(15-59),Oba spola,146.0
2060,%,(0-19+65+)/(20-64),Oba spola,127.2
2060,%,(0-14+50+)/(15-49),Oba spola,238.3
2065,%,(0-14+60+)/(15-59),Oba spola,148.3
2065,%,(0-19+65+)/(20-64),Oba spola,135.6
2065,%,(0-14+50+)/(15-49),Oba spola,243.8
2070,%,(0-14+60+)/(15-59),Oba spola,151.2
2070,%,(0-19+65+)/(20-64),Oba spola,136.7
2070,%,(0-14+50+)/(15-49),Oba spola,245.9
2020,%,(0-14+60+)/(15-59),M,56.6
2020,%,(0-19+65+)/(20-64),M,53.6
2020,%,(0-14+50+)/(15-49),M,103.9
2025,%,(0-14+60+)/(15-59),M,66.9
2025,%,(0-19+65+)/(20-64),M,61.7
2025,%,(0-14+50+)/(15-49),M,120.2
2030,%,(0-14+60+)/(15-59),M,77.2
2030,%,(0-19+65+)/(20-64),M,70.7
2030,%,(0-14+50+)/(15-49),M,139.3
2035,%,(0-14+60+)/(15-59),M,88.1
2035,%,(0-19+65+)/(20-64),M,79.5
2035,%,(0-14+50+)/(15-49),M,162.2
2040,%,(0-14+60+)/(15-59),M,99.3
2040,%,(0-19+65+)/(20-64),M,88.6
2040,%,(0-14+50+)/(15-49),M,183.9
2045,%,(0-14+60+)/(15-59),M,112.0
2045,%,(0-19+65+)/(20-64),M,98.0
2045,%,(0-14+50+)/(15-49),M,200.5
2050,%,(0-14+60+)/(15-59),M,125.1
2050,%,(0-19+65+)/(20-64),M,109.0
2050,%,(0-14+50+)/(15-49),M,216.8
2055,%,(0-14+60+)/(15-59),M,134.7
2055,%,(0-19+65+)/(20-64),M,120.4
2055,%,(0-14+50+)/(15-49),M,222.6
2060,%,(0-14+60+)/(15-59),M,143.1
2060,%,(0-19+65+)/(20-64),M,128.5
2060,%,(0-14+50+)/(15-49),M,228.6
2065,%,(0-14+60+)/(15-59),M,144.5
2065,%,(0-19+65+)/(20-64),M,135.6
2065,%,(0-14+50+)/(15-49),M,231.7
2070,%,(0-14+60+)/(15-59),M,146.1
2070,%,(0-19+65+)/(20-64),M,136.0
2070,%,(0-14+50+)/(15-49),M,232.3
2020,%,(0-14+60+)/(15-59),Ž,64.3
2020,%,(0-19+65+)/(20-64),Ž,58.8
2020,%,(0-14+50+)/(15-49),Ž,117.4
2025,%,(0-14+60+)/(15-59),Ž,73.7
2025,%,(0-19+65+)/(20-64),Ž,66.0
2025,%,(0-14+50+)/(15-49),Ž,131.5
2030,%,(0-14+60+)/(15-59),Ž,82.4
2030,%,(0-19+65+)/(20-64),Ž,74.0
2030,%,(0-14+50+)/(15-49),Ž,147.9
2035,%,(0-14+60+)/(15-59),Ž,92.1
2035,%,(0-19+65+)/(20-64),Ž,81.1
2035,%,(0-14+50+)/(15-49),Ž,169.0
2040,%,(0-14+60+)/(15-59),Ž,101.9
2040,%,(0-19+65+)/(20-64),Ž,88.8
2040,%,(0-14+50+)/(15-49),Ž,190.3
2045,%,(0-14+60+)/(15-59),Ž,113.6
2045,%,(0-19+65+)/(20-64),Ž,96.6
2045,%,(0-14+50+)/(15-49),Ž,208.7
2050,%,(0-14+60+)/(15-59),Ž,126.4
2050,%,(0-19+65+)/(20-64),Ž,106.2
2050,%,(0-14+50+)/(15-49),Ž,229.1
2055,%,(0-14+60+)/(15-59),Ž,137.2
2055,%,(0-19+65+)/(20-64),Ž,117.1
2055,%,(0-14+50+)/(15-49),Ž,237.2
2060,%,(0-14+60+)/(15-59),Ž,148.5
2060,%,(0-19+65+)/(20-64),Ž,126.0
2060,%,(0-14+50+)/(15-49),Ž,246.9
2065,%,(0-14+60+)/(15-59),Ž,151.6
2065,%,(0-19+65+)/(20-64),Ž,135.5
2065,%,(0-14+50+)/(15-49),Ž,254.5
2070,%,(0-14+60+)/(15-59),Ž,155.6
2070,%,(0-19+65+)/(20-64),Ž,137.3
2070,%,(0-14+50+)/(15-49),Ž,257.9
