Year,UNIT_MEASURE,Općina,Spol,Starosna dob,Value
2013,Broj,Banovići,Oba spola,Ukupno,22773
2013,Broj,Bihać,Oba spola,Ukupno,56261
2013,Broj,Bosanska Krupa,Oba spola,Ukupno,25545
2013,Broj,Bosanski Petrovac,Oba spola,Ukupno,7328
2013,Broj,Bosansko Grahovo,Oba spola,Ukupno,2449
2013,Broj,Breza,Oba spola,Ukupno,14168
2013,Broj,Bugojno,Oba spola,Ukupno,31470
2013,Broj,Busovača,Oba spola,Ukupno,17910
2013,Broj,Bužim,Oba spola,Ukupno,19340
2013,Broj,Cazin,Oba spola,Ukupno,66149
2013,Broj,Sarajevo-Centar,Oba spola,Ukupno,55181
2013,Broj,Čapljina,Oba spola,Ukupno,26157
2013,Broj,Čelić,Oba spola,Ukupno,10502
2013,Broj,Čitluk,Oba spola,Ukupno,18140
2013,Broj,Doboj-Istok,Oba spola,Ukupno,10248
2013,Broj,Doboj-Jug,Oba spola,Ukupno,4137
2013,Broj,Dobretići,Oba spola,Ukupno,1629
2013,Broj,Domaljevac-Šamac,Oba spola,Ukupno,4771
2013,Broj,Donji Vakuf,Oba spola,Ukupno,13985
2013,Broj,Drvar,Oba spola,Ukupno,7036
2013,Broj,Foča-FBiH,Oba spola,Ukupno,1933
2013,Broj,Fojnica,Oba spola,Ukupno,12356
2013,Broj,Glamoč,Oba spola,Ukupno,3860
2013,Broj,Goražde,Oba spola,Ukupno,20897
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,Ukupno,20933
2013,Broj,Gračanica,Oba spola,Ukupno,45220
2013,Broj,Gradačac,Oba spola,Ukupno,39340
2013,Broj,Grude,Oba spola,Ukupno,17308
2013,Broj,Sarajevo-Hadžići,Oba spola,Ukupno,23891
2013,Broj,Sarajevo-Ilidža,Oba spola,Ukupno,66730
2013,Broj,Sarajevo-Ilijaš,Oba spola,Ukupno,19603
2013,Broj,Jablanica,Oba spola,Ukupno,10111
2013,Broj,Jajce,Oba spola,Ukupno,27258
2013,Broj,Kakanj,Oba spola,Ukupno,37441
2013,Broj,Kalesija,Oba spola,Ukupno,33053
2013,Broj,Kiseljak,Oba spola,Ukupno,20722
2013,Broj,Kladanj,Oba spola,Ukupno,12348
2013,Broj,Ključ,Oba spola,Ukupno,16744
2013,Broj,Konjic,Oba spola,Ukupno,25148
2013,Broj,Kreševo,Oba spola,Ukupno,5273
2013,Broj,Krupa Na Uni,Oba spola,Ukupno,1597
2013,Broj,Kupres-FBiH,Oba spola,Ukupno,5057
2013,Broj,Livno,Oba spola,Ukupno,34133
2013,Broj,Lukavac,Oba spola,Ukupno,44520
2013,Broj,Ljubuški,Oba spola,Ukupno,28184
2013,Broj,Maglaj,Oba spola,Ukupno,23146
2013,Broj,Mostar,Oba spola,Ukupno,105797
2013,Broj,Neum,Oba spola,Ukupno,4653
2013,Broj,Sarajevo-Novi Grad,Oba spola,Ukupno,118553
2013,Broj,Novi Travnik,Oba spola,Ukupno,23832
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,Ukupno,64814
2013,Broj,Odžak,Oba spola,Ukupno,18821
2013,Broj,Olovo,Oba spola,Ukupno,10175
2013,Broj,Orašje,Oba spola,Ukupno,19861
2013,Broj,Pale-FBiH,Oba spola,Ukupno,904
2013,Broj,Posušje,Oba spola,Ukupno,20477
2013,Broj,Prozor,Oba spola,Ukupno,14280
2013,Broj,Ravno,Oba spola,Ukupno,3219
2013,Broj,Sanski Most,Oba spola,Ukupno,41475
2013,Broj,Sapna,Oba spola,Ukupno,11178
2013,Broj,Srebrenik,Oba spola,Ukupno,39678
2013,Broj,Sarajevo-Stari Grad,Oba spola,Ukupno,36976
2013,Broj,Stolac,Oba spola,Ukupno,14502
2013,Broj,Široki Brijeg,Oba spola,Ukupno,28929
2013,Broj,Teočak,Oba spola,Ukupno,7424
2013,Broj,Tešanj,Oba spola,Ukupno,43063
2013,Broj,Tomislavgrad,Oba spola,Ukupno,31592
2013,Broj,Travnik,Oba spola,Ukupno,53482
2013,Broj,Trnovo-FBiH,Oba spola,Ukupno,1502
2013,Broj,Tuzla,Oba spola,Ukupno,110979
2013,Broj,Usora,Oba spola,Ukupno,6603
2013,Broj,Vareš,Oba spola,Ukupno,8892
2013,Broj,Velika Kladuša,Oba spola,Ukupno,40419
2013,Broj,Visoko,Oba spola,Ukupno,39938
2013,Broj,Vitez,Oba spola,Ukupno,25836
2013,Broj,Sarajevo-Vogošća,Oba spola,Ukupno,26343
2013,Broj,Zavidovići,Oba spola,Ukupno,35988
2013,Broj,Zenica,Oba spola,Ukupno,110663
2013,Broj,Žepče,Oba spola,Ukupno,30219
2013,Broj,Živinice,Oba spola,Ukupno,57765
2013,Broj,Banovići,Oba spola,0-4,1206
2013,Broj,Bihać,Oba spola,0-4,2652
2013,Broj,Bosanska Krupa,Oba spola,0-4,1423
2013,Broj,Bosanski Petrovac,Oba spola,0-4,249
2013,Broj,Bosansko Grahovo,Oba spola,0-4,69
2013,Broj,Breza,Oba spola,0-4,698
2013,Broj,Bugojno,Oba spola,0-4,1484
2013,Broj,Busovača,Oba spola,0-4,961
2013,Broj,Bužim,Oba spola,0-4,1405
2013,Broj,Cazin,Oba spola,0-4,3940
2013,Broj,Sarajevo-Centar,Oba spola,0-4,2588
2013,Broj,Čapljina,Oba spola,0-4,1233
