Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Banovići,Ukupno,9632
2013,Broj,Bihać,Ukupno,24809
2013,Broj,Bosanska Krupa,Ukupno,10796
2013,Broj,Bosanski Petrovac,Ukupno,3181
2013,Broj,Bosansko Grahovo,Ukupno,1070
2013,Broj,Breza,Ukupno,6196
2013,Broj,Bugojno,Ukupno,13421
2013,Broj,Busovača,Ukupno,7270
2013,Broj,Bužim,Ukupno,7407
2013,Broj,Cazin,Ukupno,27027
2013,Broj,Sarajevo-Centar,Ukupno,26201
2013,Broj,Čapljina,Ukupno,11151
2013,Broj,Čelić,Ukupno,4372
2013,Broj,Čitluk,Ukupno,7497
2013,Broj,Doboj-Istok,Ukupno,4374
2013,Broj,Doboj-Jug,Ukupno,1695
2013,Broj,Dobretići,Ukupno,664
2013,Broj,Domaljevac-Šamac,Ukupno,2073
2013,Broj,Donji Vakuf,Ukupno,5822
2013,Broj,Drvar,Ukupno,3218
2013,Broj,Foča-FBiH,Ukupno,825
2013,Broj,Fojnica,Ukupno,5229
2013,Broj,Glamoč,Ukupno,1674
2013,Broj,Goražde,Ukupno,9351
2013,Broj,Gornji Vakuf-Uskoplje,Ukupno,8606
2013,Broj,Gračanica,Ukupno,19789
2013,Broj,Gradačac,Ukupno,16870
2013,Broj,Grude,Ukupno,7262
2013,Broj,Sarajevo-Hadžići,Ukupno,10003
2013,Broj,Sarajevo-Ilidža,Ukupno,28903
2013,Broj,Sarajevo-Ilijaš,Ukupno,8573
2013,Broj,Jablanica,Ukupno,4442
2013,Broj,Jajce,Ukupno,11157
2013,Broj,Kakanj,Ukupno,15662
2013,Broj,Kalesija,Ukupno,13637
2013,Broj,Kiseljak,Ukupno,8725
2013,Broj,Kladanj,Ukupno,5325
2013,Broj,Ključ,Ukupno,7150
2013,Broj,Konjic,Ukupno,10945
2013,Broj,Kreševo,Ukupno,2304
2013,Broj,Kupres-FBiH,Ukupno,2176
2013,Broj,Livno,Ukupno,14885
2013,Broj,Lukavac,Ukupno,19824
2013,Broj,Ljubuški,Ukupno,11872
2013,Broj,Maglaj,Ukupno,9962
2013,Broj,Mostar,Ukupno,46912
2013,Broj,Neum,Ukupno,1948
2013,Broj,Sarajevo-Novi Grad,Ukupno,53683
2013,Broj,Novi Travnik,Ukupno,9963
2013,Broj,Sarajevo-Novo Sarajevo,Ukupno,30918
2013,Broj,Odžak,Ukupno,8210
2013,Broj,Olovo,Ukupno,4434
2013,Broj,Orašje,Ukupno,8479
2013,Broj,Pale-FBiH,Ukupno,391
2013,Broj,Posušje,Ukupno,8208
2013,Broj,Prozor,Ukupno,5867
2013,Broj,Ravno,Ukupno,1361
2013,Broj,Sanski Most,Ukupno,17665
2013,Broj,Sapna,Ukupno,4421
2013,Broj,Srebrenik,Ukupno,17037
2013,Broj,Sarajevo-Stari Grad,Ukupno,17059
2013,Broj,Stolac,Ukupno,6096
2013,Broj,Široki Brijeg,Ukupno,12027
2013,Broj,Teočak,Ukupno,3078
2013,Broj,Tešanj,Ukupno,17741
2013,Broj,Tomislavgrad,Ukupno,13018
2013,Broj,Travnik,Ukupno,22532
2013,Broj,Trnovo-FBiH,Ukupno,693
2013,Broj,Tuzla,Ukupno,51072
2013,Broj,Usora,Ukupno,2900
2013,Broj,Vareš,Ukupno,4070
2013,Broj,Velika Kladuša,Ukupno,16483
2013,Broj,Visoko,Ukupno,16864
2013,Broj,Vitez,Ukupno,10776
2013,Broj,Sarajevo-Vogošća,Ukupno,11602
2013,Broj,Zavidovići,Ukupno,15108
2013,Broj,Zenica,Ukupno,47242
