Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,715665
2013,Broj,Federacija Bosne i Hercegovine,1,125942
2013,Broj,Federacija Bosne i Hercegovine,2,167372
2013,Broj,Federacija Bosne i Hercegovine,3,148905
2013,Broj,Federacija Bosne i Hercegovine,4,154944
2013,Broj,Federacija Bosne i Hercegovine,5,67486
2013,Broj,Federacija Bosne i Hercegovine,6,30205
2013,Broj,Federacija Bosne i Hercegovine,7,11533
2013,Broj,Federacija Bosne i Hercegovine,8+,9278
2013,Broj,Unsko-sanska županija,Ukupno,78255
2013,Broj,Unsko-sanska županija,1,11192
2013,Broj,Unsko-sanska županija,2,15317
2013,Broj,Unsko-sanska županija,3,14714
2013,Broj,Unsko-sanska županija,4,17510
2013,Broj,Unsko-sanska županija,5,9711
2013,Broj,Unsko-sanska županija,6,5226
2013,Broj,Unsko-sanska županija,7,2332
2013,Broj,Unsko-sanska županija,8+,2253
2013,Broj,Posavska županija,Ukupno,13312
2013,Broj,Posavska županija,1,2537
2013,Broj,Posavska županija,2,2808
2013,Broj,Posavska županija,3,2366
2013,Broj,Posavska županija,4,2606
2013,Broj,Posavska županija,5,1588
2013,Broj,Posavska županija,6,803
2013,Broj,Posavska županija,7,321
2013,Broj,Posavska županija,8+,283
2013,Broj,Tuzlanska županija,Ukupno,150598
2013,Broj,Tuzlanska županija,1,25880
2013,Broj,Tuzlanska županija,2,37907
2013,Broj,Tuzlanska županija,3,34556
2013,Broj,Tuzlanska županija,4,33863
2013,Broj,Tuzlanska županija,5,11199
2013,Broj,Tuzlanska županija,6,4894
2013,Broj,Tuzlanska županija,7,1427
2013,Broj,Tuzlanska županija,8+,872
2013,Broj,Zeničko-dobojska županija,Ukupno,121139
2013,Broj,Zeničko-dobojska županija,1,20383
2013,Broj,Zeničko-dobojska županija,2,29234
2013,Broj,Zeničko-dobojska županija,3,27207
2013,Broj,Zeničko-dobojska županija,4,28049
2013,Broj,Zeničko-dobojska županija,5,10450
2013,Broj,Zeničko-dobojska županija,6,3802
2013,Broj,Zeničko-dobojska županija,7,1245
2013,Broj,Zeničko-dobojska županija,8+,769
2013,Broj,Bosansko-podrinjska županija,Ukupno,8670
2013,Broj,Bosansko-podrinjska županija,1,1937
2013,Broj,Bosansko-podrinjska županija,2,2413
2013,Broj,Bosansko-podrinjska županija,3,1732
2013,Broj,Bosansko-podrinjska županija,4,1719
2013,Broj,Bosansko-podrinjska županija,5,565
2013,Broj,Bosansko-podrinjska županija,6,206
2013,Broj,Bosansko-podrinjska županija,7,71
2013,Broj,Bosansko-podrinjska županija,8+,27
2013,Broj,Srednjobosanska županija,Ukupno,77881
2013,Broj,Srednjobosanska županija,1,12274
2013,Broj,Srednjobosanska županija,2,16738
2013,Broj,Srednjobosanska županija,3,15345
2013,Broj,Srednjobosanska županija,4,17704
2013,Broj,Srednjobosanska županija,5,9194
2013,Broj,Srednjobosanska županija,6,4056
2013,Broj,Srednjobosanska županija,7,1496
2013,Broj,Srednjobosanska županija,8+,1074
2013,Broj,Hercegovačko-neretvanska županija,Ukupno,68117
2013,Broj,Hercegovačko-neretvanska županija,1,11555
2013,Broj,Hercegovačko-neretvanska županija,2,14958
2013,Broj,Hercegovačko-neretvanska županija,3,13109
2013,Broj,Hercegovačko-neretvanska županija,4,14116
2013,Broj,Hercegovačko-neretvanska županija,5,7861
2013,Broj,Hercegovačko-neretvanska županija,6,3792
2013,Broj,Hercegovačko-neretvanska županija,7,1576
2013,Broj,Hercegovačko-neretvanska županija,8+,1150
2013,Broj,Zapadno-hercegovačka županija,Ukupno,25078
2013,Broj,Zapadno-hercegovačka županija,1,3477
2013,Broj,Zapadno-hercegovačka županija,2,4584
2013,Broj,Zapadno-hercegovačka županija,3,3831
2013,Broj,Zapadno-hercegovačka županija,4,4716
2013,Broj,Zapadno-hercegovačka županija,5,3764
2013,Broj,Zapadno-hercegovačka županija,6,2375
2013,Broj,Zapadno-hercegovačka županija,7,1193
2013,Broj,Zapadno-hercegovačka županija,8+,1138
2013,Broj,Sarajevska županija,Ukupno,148860
2013,Broj,Sarajevska županija,1,32661
2013,Broj,Sarajevska županija,2,38480
2013,Broj,Sarajevska županija,3,32297
2013,Broj,Sarajevska županija,4,30523
2013,Broj,Sarajevska županija,5,9905
2013,Broj,Sarajevska županija,6,3254
2013,Broj,Sarajevska županija,7,988
2013,Broj,Sarajevska županija,8+,752
2013,Broj,Županija 10,Ukupno,23755
2013,Broj,Županija 10,1,4046
2013,Broj,Županija 10,2,4933
2013,Broj,Županija 10,3,3748
2013,Broj,Županija 10,4,4138
2013,Broj,Županija 10,5,3249
