Year,UNIT_MEASURE,Općina,Spol,Vrsta poteškoće,Value
2013,Broj,Banovići,Oba spola,Ukupno,1839
2013,Broj,Bihać,Oba spola,Ukupno,4952
2013,Broj,Bosanska Krupa,Oba spola,Ukupno,2373
2013,Broj,Bosanski Petrovac,Oba spola,Ukupno,654
2013,Broj,Bosansko Grahovo,Oba spola,Ukupno,319
2013,Broj,Breza,Oba spola,Ukupno,1289
2013,Broj,Bugojno,Oba spola,Ukupno,2436
2013,Broj,Busovača,Oba spola,Ukupno,1274
2013,Broj,Bužim,Oba spola,Ukupno,1064
2013,Broj,Cazin,Oba spola,Ukupno,4563
2013,Broj,Sarajevo-Centar,Oba spola,Ukupno,4800
2013,Broj,Čapljina,Oba spola,Ukupno,1736
2013,Broj,Čelić,Oba spola,Ukupno,1132
2013,Broj,Čitluk,Oba spola,Ukupno,1078
2013,Broj,Doboj-Istok,Oba spola,Ukupno,1056
2013,Broj,Doboj-Jug,Oba spola,Ukupno,321
2013,Broj,Dobretići,Oba spola,Ukupno,201
2013,Broj,Domaljevac-Šamac,Oba spola,Ukupno,452
2013,Broj,Donji Vakuf,Oba spola,Ukupno,1218
2013,Broj,Drvar,Oba spola,Ukupno,1017
2013,Broj,Foča-FBiH,Oba spola,Ukupno,211
2013,Broj,Fojnica,Oba spola,Ukupno,1742
2013,Broj,Glamoč,Oba spola,Ukupno,479
2013,Broj,Goražde,Oba spola,Ukupno,2279
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,Ukupno,1439
2013,Broj,Gračanica,Oba spola,Ukupno,3618
2013,Broj,Gradačac,Oba spola,Ukupno,3077
2013,Broj,Grude,Oba spola,Ukupno,867
2013,Broj,Sarajevo-Hadžići,Oba spola,Ukupno,2264
2013,Broj,Sarajevo-Ilidža,Oba spola,Ukupno,5142
2013,Broj,Sarajevo-Ilijaš,Oba spola,Ukupno,1733
2013,Broj,Jablanica,Oba spola,Ukupno,735
2013,Broj,Jajce,Oba spola,Ukupno,2171
2013,Broj,Kakanj,Oba spola,Ukupno,2591
2013,Broj,Kalesija,Oba spola,Ukupno,3029
2013,Broj,Kiseljak,Oba spola,Ukupno,1602
2013,Broj,Kladanj,Oba spola,Ukupno,1007
2013,Broj,Ključ,Oba spola,Ukupno,1079
2013,Broj,Konjic,Oba spola,Ukupno,2071
2013,Broj,Kreševo,Oba spola,Ukupno,463
2013,Broj,Kupres-FBiH,Oba spola,Ukupno,305
2013,Broj,Livno,Oba spola,Ukupno,1776
2013,Broj,Lukavac,Oba spola,Ukupno,5056
2013,Broj,Ljubuški,Oba spola,Ukupno,1740
2013,Broj,Maglaj,Oba spola,Ukupno,2138
2013,Broj,Mostar,Oba spola,Ukupno,7239
2013,Broj,Neum,Oba spola,Ukupno,272
2013,Broj,Sarajevo-Novi Grad,Oba spola,Ukupno,10183
2013,Broj,Novi Travnik,Oba spola,Ukupno,1819
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,Ukupno,5230
2013,Broj,Odžak,Oba spola,Ukupno,1164
2013,Broj,Olovo,Oba spola,Ukupno,1119
2013,Broj,Orašje,Oba spola,Ukupno,1771
2013,Broj,Pale-FBiH,Oba spola,Ukupno,129
2013,Broj,Posušje,Oba spola,Ukupno,1131
2013,Broj,Prozor,Oba spola,Ukupno,666
2013,Broj,Ravno,Oba spola,Ukupno,135
2013,Broj,Sanski Most,Oba spola,Ukupno,2236
2013,Broj,Sapna,Oba spola,Ukupno,642
2013,Broj,Srebrenik,Oba spola,Ukupno,3768
2013,Broj,Sarajevo-Stari Grad,Oba spola,Ukupno,3785
2013,Broj,Stolac,Oba spola,Ukupno,1016
2013,Broj,Široki Brijeg,Oba spola,Ukupno,1356
2013,Broj,Teočak,Oba spola,Ukupno,531
2013,Broj,Tešanj,Oba spola,Ukupno,3254
2013,Broj,Tomislavgrad,Oba spola,Ukupno,1129
2013,Broj,Travnik,Oba spola,Ukupno,4081
2013,Broj,Trnovo-FBiH,Oba spola,Ukupno,195
2013,Broj,Tuzla,Oba spola,Ukupno,12780
2013,Broj,Usora,Oba spola,Ukupno,468
2013,Broj,Vareš,Oba spola,Ukupno,1180
2013,Broj,Velika Kladuša,Oba spola,Ukupno,3785
2013,Broj,Visoko,Oba spola,Ukupno,3073
2013,Broj,Vitez,Oba spola,Ukupno,2188
2013,Broj,Sarajevo-Vogošća,Oba spola,Ukupno,2397
2013,Broj,Zavidovići,Oba spola,Ukupno,3643
2013,Broj,Zenica,Oba spola,Ukupno,8924
2013,Broj,Žepče,Oba spola,Ukupno,2367
2013,Broj,Živinice,Oba spola,Ukupno,5883
2013,Broj,Banovići,M,Ukupno,762
2013,Broj,Bihać,M,Ukupno,2313
2013,Broj,Bosanska Krupa,M,Ukupno,1176
2013,Broj,Bosanski Petrovac,M,Ukupno,298
2013,Broj,Bosansko Grahovo,M,Ukupno,136
2013,Broj,Breza,M,Ukupno,586
2013,Broj,Bugojno,M,Ukupno,1130
2013,Broj,Busovača,M,Ukupno,622
2013,Broj,Bužim,M,Ukupno,596
2013,Broj,Cazin,M,Ukupno,2340
2013,Broj,Sarajevo-Centar,M,Ukupno,1914
2013,Broj,Čapljina,M,Ukupno,863
2013,Broj,Čelić,M,Ukupno,499
2013,Broj,Čitluk,M,Ukupno,493
2013,Broj,Doboj-Istok,M,Ukupno,477
2013,Broj,Doboj-Jug,M,Ukupno,157
2013,Broj,Dobretići,M,Ukupno,122
2013,Broj,Domaljevac-Šamac,M,Ukupno,213
2013,Broj,Donji Vakuf,M,Ukupno,598
2013,Broj,Drvar,M,Ukupno,434
2013,Broj,Foča-FBiH,M,Ukupno,97
2013,Broj,Fojnica,M,Ukupno,879
