Year,Type_of_disability,Spol,Starosna dob,UNIT_MEASURE,Value
2013.0,Seeing,Oba spola,0-14,Broj,1084.0
2013.0,Hearing,Oba spola,0-14,Broj,262.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,0-14,Broj,671.0
2013.0,remembering_or_concentration,Oba spola,0-14,Broj,200.0
2013.0,self_care,Oba spola,0-14,Broj,164.0
2013.0,Communication,Oba spola,0-14,Broj,318.0
2013.0,multiple_disabilities,Oba spola,0-14,Broj,1826.0
2013.0,Seeing,Oba spola,15-19,Broj,862.0
2013.0,Hearing,Oba spola,15-19,Broj,191.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,15-19,Broj,478.0
2013.0,remembering_or_concentration,Oba spola,15-19,Broj,129.0
2013.0,self_care,Oba spola,15-19,Broj,32.0
2013.0,Communication,Oba spola,15-19,Broj,112.0
2013.0,multiple_disabilities,Oba spola,15-19,Broj,1082.0
2013.0,Seeing,Oba spola,20-29,Broj,1819.0
2013.0,Hearing,Oba spola,20-29,Broj,370.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,20-29,Broj,1350.0
2013.0,remembering_or_concentration,Oba spola,20-29,Broj,380.0
2013.0,self_care,Oba spola,20-29,Broj,72.0
2013.0,Communication,Oba spola,20-29,Broj,208.0
2013.0,multiple_disabilities,Oba spola,20-29,Broj,2199.0
2013.0,Seeing,Oba spola,30-49,Broj,7841.0
2013.0,Hearing,Oba spola,30-49,Broj,2460.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,30-49,Broj,15862.0
2013.0,remembering_or_concentration,Oba spola,30-49,Broj,2337.0
2013.0,self_care,Oba spola,30-49,Broj,319.0
2013.0,Communication,Oba spola,30-49,Broj,683.0
2013.0,multiple_disabilities,Oba spola,30-49,Broj,10694.0
2013.0,Seeing,Oba spola,50-59,Broj,12870.0
2013.0,Hearing,Oba spola,50-59,Broj,3498.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,50-59,Broj,21484.0
2013.0,remembering_or_concentration,Oba spola,50-59,Broj,2035.0
2013.0,self_care,Oba spola,50-59,Broj,259.0
2013.0,Communication,Oba spola,50-59,Broj,488.0
2013.0,multiple_disabilities,Oba spola,50-59,Broj,16861.0
2013.0,Seeing,Oba spola,60-64,Broj,7189.0
2013.0,Hearing,Oba spola,60-64,Broj,2289.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,60-64,Broj,12727.0
2013.0,remembering_or_concentration,Oba spola,60-64,Broj,870.0
2013.0,self_care,Oba spola,60-64,Broj,100.0
2013.0,Communication,Oba spola,60-64,Broj,259.0
2013.0,multiple_disabilities,Oba spola,60-64,Broj,11125.0
2013.0,Seeing,Oba spola,60-64,Broj,20636.0
2013.0,Hearing,Oba spola,60-64,Broj,12505.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,60-64,Broj,44406.0
2013.0,remembering_or_concentration,Oba spola,60-64,Broj,2836.0
2013.0,self_care,Oba spola,60-64,Broj,587.0
2013.0,Communication,Oba spola,60-64,Broj,586.0
2013.0,multiple_disabilities,Oba spola,60-64,Broj,66443.0
2013.0,Seeing,Oba spola,65+,Broj,20636.0
2013.0,Hearing,Oba spola,65+,Broj,12505.0
2013.0,walking_or_climbing_up_the_stairs,Oba spola,65+,Broj,44406.0
2013.0,remembering_or_concentration,Oba spola,65+,Broj,2836.0
2013.0,self_care,Oba spola,65+,Broj,587.0
2013.0,Communication,Oba spola,65+,Broj,586.0
2013.0,multiple_disabilities,Oba spola,65+,Broj,66443.0
2013.0,Seeing,M,0-14,Broj,571.0
2013.0,Hearing,M,0-14,Broj,146.0
2013.0,walking_or_climbing_up_the_stairs,M,0-14,Broj,370.0
2013.0,remembering_or_concentration,M,0-14,Broj,123.0
2013.0,self_care,M,0-14,Broj,104.0
2013.0,Communication,M,0-14,Broj,215.0
2013.0,multiple_disabilities,M,0-14,Broj,1077.0
2013.0,Seeing,M,15-19,Broj,430.0
2013.0,Hearing,M,15-19,Broj,101.0
2013.0,walking_or_climbing_up_the_stairs,M,15-19,Broj,268.0
2013.0,remembering_or_concentration,M,15-19,Broj,95.0
2013.0,self_care,M,15-19,Broj,19.0
2013.0,Communication,M,15-19,Broj,75.0
2013.0,multiple_disabilities,M,15-19,Broj,653.0
2013.0,Seeing,M,20-29,Broj,976.0
2013.0,Hearing,M,20-29,Broj,223.0
2013.0,walking_or_climbing_up_the_stairs,M,20-29,Broj,883.0
2013.0,remembering_or_concentration,M,20-29,Broj,256.0
2013.0,self_care,M,20-29,Broj,44.0
2013.0,Communication,M,20-29,Broj,133.0
2013.0,multiple_disabilities,M,20-29,Broj,1306.0
2013.0,Seeing,M,30-49,Broj,4313.0
2013.0,Hearing,M,30-49,Broj,1722.0
2013.0,walking_or_climbing_up_the_stairs,M,30-49,Broj,10912.0
2013.0,remembering_or_concentration,M,30-49,Broj,1488.0
2013.0,self_care,M,30-49,Broj,216.0
2013.0,Communication,M,30-49,Broj,442.0
2013.0,multiple_disabilities,M,30-49,Broj,6669.0
2013.0,Seeing,M,50-59,Broj,6088.0
2013.0,Hearing,M,50-59,Broj,2282.0
2013.0,walking_or_climbing_up_the_stairs,M,50-59,Broj,11557.0
2013.0,remembering_or_concentration,M,50-59,Broj,1170.0
2013.0,self_care,M,50-59,Broj,179.0
2013.0,Communication,M,50-59,Broj,338.0
2013.0,multiple_disabilities,M,50-59,Broj,9039.0
2013.0,Seeing,M,60-64,Broj,3155.0
2013.0,Hearing,M,60-64,Broj,1432.0
2013.0,walking_or_climbing_up_the_stairs,M,60-64,Broj,5672.0
2013.0,remembering_or_concentration,M,60-64,Broj,440.0
2013.0,self_care,M,60-64,Broj,57.0
2013.0,Communication,M,60-64,Broj,198.0
2013.0,multiple_disabilities,M,60-64,Broj,5203.0
2013.0,Seeing,M,65+,Broj,8036.0
2013.0,Hearing,M,65+,Broj,6620.0
2013.0,walking_or_climbing_up_the_stairs,M,65+,Broj,13529.0
2013.0,remembering_or_concentration,M,65+,Broj,1092.0
2013.0,self_care,M,65+,Broj,266.0
2013.0,Communication,M,65+,Broj,360.0
2013.0,multiple_disabilities,M,65+,Broj,22432.0
2013.0,Seeing,Ž,0-14,Broj,513.0
2013.0,Hearing,Ž,0-14,Broj,116.0
2013.0,walking_or_climbing_up_the_stairs,Ž,0-14,Broj,301.0
2013.0,remembering_or_concentration,Ž,0-14,Broj,77.0
2013.0,self_care,Ž,0-14,Broj,60.0
2013.0,Communication,Ž,0-14,Broj,103.0
2013.0,multiple_disabilities,Ž,0-14,Broj,749.0
2013.0,Seeing,Ž,15-19,Broj,432.0
2013.0,Hearing,Ž,15-19,Broj,90.0
