Year,UNIT_MEASURE,Admin_Area,Spol,Value
1998,Broj,Federacija Bosne i Hercegovine,Oba spola,483426.0
1998,Broj,Županija Unsko-sanska,Oba spola,19062.0
1998,Broj,Županija Posavska,Oba spola,400.0
1998,Broj,Županija Tuzlanska,Oba spola,52338.0
1998,Broj,Županija Zeničko-dobojska,Oba spola,166900.0
1998,Broj,Županija Bosansko-podrinjska,Oba spola,
1998,Broj,Županija Srednjobosanska,Oba spola,19686.0
1998,Broj,Županija Hercegovačko-neretvanska,Oba spola,18032.0
1998,Broj,Županija Zapadno-hercegovačka,Oba spola,
1998,Broj,Sarajevska županija,Oba spola,205599.0
1998,Broj,Županija 10,Oba spola,1409.0
1998,Broj,Federacija Bosne i Hercegovine,M,256508.0
1998,Broj,Županija Unsko-sanska,M,8518.0
1998,Broj,Županija Posavska,M,167.0
1998,Broj,Županija Tuzlanska,M,25383.0
1998,Broj,Županija Zeničko-dobojska,M,93367.0
1998,Broj,Županija Bosansko-podrinjska,M,
1998,Broj,Županija Srednjobosanska,M,8634.0
1998,Broj,Županija Hercegovačko-neretvanska,M,7469.0
1998,Broj,Županija Zapadno-hercegovačka,M,
1998,Broj,Sarajevska županija,M,112504.0
1998,Broj,Županija 10,M,466.0
1998,Broj,Federacija Bosne i Hercegovine,Ž,226918.0
1998,Broj,Županija Unsko-sanska,Ž,10544.0
1998,Broj,Županija Posavska,Ž,233.0
1998,Broj,Županija Tuzlanska,Ž,26955.0
1998,Broj,Županija Zeničko-dobojska,Ž,73533.0
1998,Broj,Županija Bosansko-podrinjska,Ž,
1998,Broj,Županija Srednjobosanska,Ž,11052.0
1998,Broj,Županija Hercegovačko-neretvanska,Ž,10563.0
1998,Broj,Županija Zapadno-hercegovačka,Ž,
1998,Broj,Sarajevska županija,Ž,93095.0
1998,Broj,Županija 10,Ž,943.0
1999,Broj,Federacija Bosne i Hercegovine,Oba spola,316644.0
1999,Broj,Županija Unsko-sanska,Oba spola,8787.0
1999,Broj,Županija Posavska,Oba spola,911.0
1999,Broj,Županija Tuzlanska,Oba spola,49938.0
1999,Broj,Županija Zeničko-dobojska,Oba spola,122126.0
1999,Broj,Županija Bosansko-podrinjska,Oba spola,
1999,Broj,Županija Srednjobosanska,Oba spola,25288.0
1999,Broj,Županija Hercegovačko-neretvanska,Oba spola,33768.0
1999,Broj,Županija Zapadno-hercegovačka,Oba spola,1198.0
1999,Broj,Sarajevska županija,Oba spola,71624.0
1999,Broj,Županija 10,Oba spola,3004.0
1999,Broj,Federacija Bosne i Hercegovine,M,158297.0
1999,Broj,Županija Unsko-sanska,M,4056.0
1999,Broj,Županija Posavska,M,459.0
1999,Broj,Županija Tuzlanska,M,24031.0
1999,Broj,Županija Zeničko-dobojska,M,52694.0
1999,Broj,Županija Bosansko-podrinjska,M,
1999,Broj,Županija Srednjobosanska,M,11153.0
1999,Broj,Županija Hercegovačko-neretvanska,M,18834.0
1999,Broj,Županija Zapadno-hercegovačka,M,830.0
1999,Broj,Sarajevska županija,M,45340.0
1999,Broj,Županija 10,M,901.0
1999,Broj,Federacija Bosne i Hercegovine,Ž,158347.0
1999,Broj,Županija Unsko-sanska,Ž,4731.0
1999,Broj,Županija Posavska,Ž,452.0
1999,Broj,Županija Tuzlanska,Ž,25907.0
1999,Broj,Županija Zeničko-dobojska,Ž,69432.0
1999,Broj,Županija Bosansko-podrinjska,Ž,
1999,Broj,Županija Srednjobosanska,Ž,14135.0
1999,Broj,Županija Hercegovačko-neretvanska,Ž,14934.0
1999,Broj,Županija Zapadno-hercegovačka,Ž,368.0
1999,Broj,Sarajevska županija,Ž,26284.0
1999,Broj,Županija 10,Ž,2103.0
2000,Broj,Federacija Bosne i Hercegovine,Oba spola,283785.0
2000,Broj,Županija Unsko-sanska,Oba spola,11514.0
2000,Broj,Županija Posavska,Oba spola,1759.0
2000,Broj,Županija Tuzlanska,Oba spola,51918.0
2000,Broj,Županija Zeničko-dobojska,Oba spola,84090.0
2000,Broj,Županija Bosansko-podrinjska,Oba spola,
2000,Broj,Županija Srednjobosanska,Oba spola,28632.0
2000,Broj,Županija Hercegovačko-neretvanska,Oba spola,25754.0
2000,Broj,Županija Zapadno-hercegovačka,Oba spola,1198.0
2000,Broj,Sarajevska županija,Oba spola,76363.0
2000,Broj,Županija 10,Oba spola,2557.0
2000,Broj,Federacija Bosne i Hercegovine,M,150741.0
2000,Broj,Županija Unsko-sanska,M,3628.0
2000,Broj,Županija Posavska,M,900.0
2000,Broj,Županija Tuzlanska,M,25809.0
2000,Broj,Županija Zeničko-dobojska,M,45290.0
2000,Broj,Županija Bosansko-podrinjska,M,
2000,Broj,Županija Srednjobosanska,M,11909.0
2000,Broj,Županija Hercegovačko-neretvanska,M,10760.0
2000,Broj,Županija Zapadno-hercegovačka,M,830.0
2000,Broj,Sarajevska županija,M,50388.0
2000,Broj,Županija 10,M,1227.0
2000,Broj,Federacija Bosne i Hercegovine,Ž,133044.0
2000,Broj,Županija Unsko-sanska,Ž,7886.0
2000,Broj,Županija Posavska,Ž,859.0
2000,Broj,Županija Tuzlanska,Ž,26109.0
2000,Broj,Županija Zeničko-dobojska,Ž,38800.0
2000,Broj,Županija Bosansko-podrinjska,Ž,
2000,Broj,Županija Srednjobosanska,Ž,16723.0
2000,Broj,Županija Hercegovačko-neretvanska,Ž,14994.0
2000,Broj,Županija Zapadno-hercegovačka,Ž,368.0
2000,Broj,Sarajevska županija,Ž,25975.0
2000,Broj,Županija 10,Ž,1330.0
2001,Broj,Federacija Bosne i Hercegovine,Oba spola,290612.0
2001,Broj,Županija Unsko-sanska,Oba spola,11912.0
2001,Broj,Županija Posavska,Oba spola,1156.0
2001,Broj,Županija Tuzlanska,Oba spola,28365.0
2001,Broj,Županija Zeničko-dobojska,Oba spola,94505.0
2001,Broj,Županija Bosansko-podrinjska,Oba spola,
2001,Broj,Županija Srednjobosanska,Oba spola,21221.0
2001,Broj,Županija Hercegovačko-neretvanska,Oba spola,27091.0
2001,Broj,Županija Zapadno-hercegovačka,Oba spola,627.0
2001,Broj,Sarajevska županija,Oba spola,103226.0
2001,Broj,Županija 10,Oba spola,2509.0
2001,Broj,Federacija Bosne i Hercegovine,M,174528.0
2001,Broj,Županija Unsko-sanska,M,6205.0
2001,Broj,Županija Posavska,M,481.0
2001,Broj,Županija Tuzlanska,M,11941.0
2001,Broj,Županija Zeničko-dobojska,M,51720.0
2001,Broj,Županija Bosansko-podrinjska,M,
2001,Broj,Županija Srednjobosanska,M,9183.0
2001,Broj,Županija Hercegovačko-neretvanska,M,12154.0
2001,Broj,Županija Zapadno-hercegovačka,M,304.0
2001,Broj,Sarajevska županija,M,81369.0
2001,Broj,Županija 10,M,1171.0
