Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,223304.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,208491.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,199569.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,198840.0
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,194867.0
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,191210.0
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,189019.0
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,185605.0
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,184053.0
2010,Broj,Federacija Bosne i Hercegovine,M,114717.0
2011,Broj,Federacija Bosne i Hercegovine,M,107015.0
2012,Broj,Federacija Bosne i Hercegovine,M,102236.0
2013,Broj,Federacija Bosne i Hercegovine,M,101958.0
2014,Broj,Federacija Bosne i Hercegovine,M,100034.0
2015,Broj,Federacija Bosne i Hercegovine,M,98504.0
2016,Broj,Federacija Bosne i Hercegovine,M,97635.0
2017,Broj,Federacija Bosne i Hercegovine,M,95408.0
2018,Broj,Federacija Bosne i Hercegovine,M,94664.0
2010,Broj,Federacija Bosne i Hercegovine,Ž,108587.0
2011,Broj,Federacija Bosne i Hercegovine,Ž,101476.0
2012,Broj,Federacija Bosne i Hercegovine,Ž,97333.0
2013,Broj,Federacija Bosne i Hercegovine,Ž,96882.0
2014,Broj,Federacija Bosne i Hercegovine,Ž,94833.0
2015,Broj,Federacija Bosne i Hercegovine,Ž,92706.0
2016,Broj,Federacija Bosne i Hercegovine,Ž,91384.0
2017,Broj,Federacija Bosne i Hercegovine,Ž,90197.0
2018,Broj,Federacija Bosne i Hercegovine,Ž,89389.0
2010,Broj,Županija Unsko-sanska,Oba spola,
2011,Broj,Županija Unsko-sanska,Oba spola,
2012,Broj,Županija Unsko-sanska,Oba spola,
2013,Broj,Županija Unsko-sanska,Oba spola,
2014,Broj,Županija Unsko-sanska,Oba spola,
2015,Broj,Županija Unsko-sanska,Oba spola,
2016,Broj,Županija Unsko-sanska,Oba spola,
2017,Broj,Županija Unsko-sanska,Oba spola,
2018,Broj,Županija Unsko-sanska,Oba spola,
2010,Broj,Županija Unsko-sanska,M,
2011,Broj,Županija Unsko-sanska,M,
2012,Broj,Županija Unsko-sanska,M,
2013,Broj,Županija Unsko-sanska,M,
2014,Broj,Županija Unsko-sanska,M,
2015,Broj,Županija Unsko-sanska,M,
2016,Broj,Županija Unsko-sanska,M,
2017,Broj,Županija Unsko-sanska,M,
2018,Broj,Županija Unsko-sanska,M,
2010,Broj,Županija Unsko-sanska,Ž,
2011,Broj,Županija Unsko-sanska,Ž,
2012,Broj,Županija Unsko-sanska,Ž,
2013,Broj,Županija Unsko-sanska,Ž,
2014,Broj,Županija Unsko-sanska,Ž,
2015,Broj,Županija Unsko-sanska,Ž,
2016,Broj,Županija Unsko-sanska,Ž,
2017,Broj,Županija Unsko-sanska,Ž,
2018,Broj,Županija Unsko-sanska,Ž,
2010,Broj,Županija Posavska,Oba spola,
2011,Broj,Županija Posavska,Oba spola,
2012,Broj,Županija Posavska,Oba spola,
2013,Broj,Županija Posavska,Oba spola,
2014,Broj,Županija Posavska,Oba spola,
2015,Broj,Županija Posavska,Oba spola,
2016,Broj,Županija Posavska,Oba spola,
2017,Broj,Županija Posavska,Oba spola,
2018,Broj,Županija Posavska,Oba spola,
2010,Broj,Županija Posavska,M,
2011,Broj,Županija Posavska,M,
2012,Broj,Županija Posavska,M,
2013,Broj,Županija Posavska,M,
2014,Broj,Županija Posavska,M,
2015,Broj,Županija Posavska,M,
2016,Broj,Županija Posavska,M,
2017,Broj,Županija Posavska,M,
2018,Broj,Županija Posavska,M,
2010,Broj,Županija Posavska,Ž,
2011,Broj,Županija Posavska,Ž,
2012,Broj,Županija Posavska,Ž,
2013,Broj,Županija Posavska,Ž,
2014,Broj,Županija Posavska,Ž,
2015,Broj,Županija Posavska,Ž,
2016,Broj,Županija Posavska,Ž,
2017,Broj,Županija Posavska,Ž,
2018,Broj,Županija Posavska,Ž,
2010,Broj,Županija Tuzlanska,Oba spola,
2011,Broj,Županija Tuzlanska,Oba spola,
2012,Broj,Županija Tuzlanska,Oba spola,
2013,Broj,Županija Tuzlanska,Oba spola,
2014,Broj,Županija Tuzlanska,Oba spola,
2015,Broj,Županija Tuzlanska,Oba spola,
2016,Broj,Županija Tuzlanska,Oba spola,
2017,Broj,Županija Tuzlanska,Oba spola,
2018,Broj,Županija Tuzlanska,Oba spola,
2010,Broj,Županija Tuzlanska,M,
2011,Broj,Županija Tuzlanska,M,
2012,Broj,Županija Tuzlanska,M,
2013,Broj,Županija Tuzlanska,M,
2014,Broj,Županija Tuzlanska,M,
2015,Broj,Županija Tuzlanska,M,
2016,Broj,Županija Tuzlanska,M,
2017,Broj,Županija Tuzlanska,M,
2018,Broj,Županija Tuzlanska,M,
2010,Broj,Županija Tuzlanska,Ž,
