Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Unsko-sanska županija,Gimnazija,
2016,Broj,Unsko-sanska županija,Tehničke škole,
2016,Broj,Unsko-sanska županija,Stručne škole,
2016,Broj,Unsko-sanska županija,Umjetničke škole,
2016,Broj,Unsko-sanska županija,Vjerske škole,
2016,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Unsko-sanska županija,Gimnazija,
2017,Broj,Unsko-sanska županija,Tehničke škole,
2017,Broj,Unsko-sanska županija,Stručne škole,
2017,Broj,Unsko-sanska županija,Umjetničke škole,
2017,Broj,Unsko-sanska županija,Vjerske škole,
2017,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Unsko-sanska županija,Gimnazija,
2018,Broj,Unsko-sanska županija,Tehničke škole,
2018,Broj,Unsko-sanska županija,Stručne škole,
2018,Broj,Unsko-sanska županija,Umjetničke škole,
2018,Broj,Unsko-sanska županija,Vjerske škole,
2018,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Unsko-sanska županija,Gimnazija,
2019,Broj,Unsko-sanska županija,Tehničke škole,
2019,Broj,Unsko-sanska županija,Stručne škole,
2019,Broj,Unsko-sanska županija,Umjetničke škole,
2019,Broj,Unsko-sanska županija,Vjerske škole,
2019,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Unsko-sanska županija,Gimnazija,
2020,Broj,Unsko-sanska županija,Tehničke škole,
2020,Broj,Unsko-sanska županija,Stručne škole,
2020,Broj,Unsko-sanska županija,Umjetničke škole,
2020,Broj,Unsko-sanska županija,Vjerske škole,
2020,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Posavska županija,Gimnazija,
2016,Broj,Posavska županija,Tehničke škole,
2016,Broj,Posavska županija,Stručne škole,
2016,Broj,Posavska županija,Umjetničke škole,
2016,Broj,Posavska županija,Vjerske škole,
2016,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Posavska županija,Gimnazija,
2017,Broj,Posavska županija,Tehničke škole,
2017,Broj,Posavska županija,Stručne škole,
2017,Broj,Posavska županija,Umjetničke škole,
2017,Broj,Posavska županija,Vjerske škole,
2017,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Posavska županija,Gimnazija,
2018,Broj,Posavska županija,Tehničke škole,
2018,Broj,Posavska županija,Stručne škole,
2018,Broj,Posavska županija,Umjetničke škole,
2018,Broj,Posavska županija,Vjerske škole,
2018,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Posavska županija,Gimnazija,
2019,Broj,Posavska županija,Tehničke škole,
2019,Broj,Posavska županija,Stručne škole,
2019,Broj,Posavska županija,Umjetničke škole,
2019,Broj,Posavska županija,Vjerske škole,
2019,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Posavska županija,Gimnazija,
2020,Broj,Posavska županija,Tehničke škole,
2020,Broj,Posavska županija,Stručne škole,
2020,Broj,Posavska županija,Umjetničke škole,
2020,Broj,Posavska županija,Vjerske škole,
2020,Broj,Posavska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Tuzlanska županija,Gimnazija,
2016,Broj,Tuzlanska županija,Tehničke škole,
2016,Broj,Tuzlanska županija,Stručne škole,
2016,Broj,Tuzlanska županija,Umjetničke škole,
2016,Broj,Tuzlanska županija,Vjerske škole,
2016,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Tuzlanska županija,Gimnazija,
2017,Broj,Tuzlanska županija,Tehničke škole,
2017,Broj,Tuzlanska županija,Stručne škole,
2017,Broj,Tuzlanska županija,Umjetničke škole,
2017,Broj,Tuzlanska županija,Vjerske škole,
2017,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Tuzlanska županija,Gimnazija,
2018,Broj,Tuzlanska županija,Tehničke škole,
2018,Broj,Tuzlanska županija,Stručne škole,
2018,Broj,Tuzlanska županija,Umjetničke škole,
2018,Broj,Tuzlanska županija,Vjerske škole,
2018,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Tuzlanska županija,Gimnazija,
2019,Broj,Tuzlanska županija,Tehničke škole,
2019,Broj,Tuzlanska županija,Stručne škole,
2019,Broj,Tuzlanska županija,Umjetničke škole,
2019,Broj,Tuzlanska županija,Vjerske škole,
2019,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Tuzlanska županija,Gimnazija,
2020,Broj,Tuzlanska županija,Tehničke škole,
2020,Broj,Tuzlanska županija,Stručne škole,
2020,Broj,Tuzlanska županija,Umjetničke škole,
2020,Broj,Tuzlanska županija,Vjerske škole,
2020,Broj,Tuzlanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Zeničko-dobojska županija,Gimnazija,
2016,Broj,Zeničko-dobojska županija,Tehničke škole,
2016,Broj,Zeničko-dobojska županija,Stručne škole,
2016,Broj,Zeničko-dobojska županija,Umjetničke škole,
2016,Broj,Zeničko-dobojska županija,Vjerske škole,
