Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2016,Broj,Unsko-sanska županija,Tehničke škole,Oba spola,
2016,Broj,Unsko-sanska županija,Stručne škole,Oba spola,
2016,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2016,Broj,Unsko-sanska županija,Vjerske škole,Oba spola,
2016,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2017,Broj,Unsko-sanska županija,Tehničke škole,Oba spola,
2017,Broj,Unsko-sanska županija,Stručne škole,Oba spola,
2017,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2017,Broj,Unsko-sanska županija,Vjerske škole,Oba spola,
2017,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2018,Broj,Unsko-sanska županija,Tehničke škole,Oba spola,
2018,Broj,Unsko-sanska županija,Stručne škole,Oba spola,
2018,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2018,Broj,Unsko-sanska županija,Vjerske škole,Oba spola,
2018,Broj,Unsko-sanska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2019,Broj,Unsko-sanska županija,Tehničke škole,Oba spola,
2019,Broj,Unsko-sanska županija,Stručne škole,Oba spola,
2019,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
