Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,11350
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,11209
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,12231
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,13491
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,12183
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,11846
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,12149
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,12060
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,11747
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,12359
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,11476
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,11537
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,10374
2010,Broj,Federacija Bosne i Hercegovine,M,4143
2011,Broj,Federacija Bosne i Hercegovine,M,4291
2012,Broj,Federacija Bosne i Hercegovine,M,4650
2013,Broj,Federacija Bosne i Hercegovine,M,5150
2014,Broj,Federacija Bosne i Hercegovine,M,4700
2015,Broj,Federacija Bosne i Hercegovine,M,4611
2016,Broj,Federacija Bosne i Hercegovine,M,4767
2017,Broj,Federacija Bosne i Hercegovine,M,4798
2018,Broj,Federacija Bosne i Hercegovine,M,4682
2019,Broj,Federacija Bosne i Hercegovine,M,4803
2020,Broj,Federacija Bosne i Hercegovine,M,4403
2021,Broj,Federacija Bosne i Hercegovine,M,4230
2022,Broj,Federacija Bosne i Hercegovine,M,3731
2010,Broj,Federacija Bosne i Hercegovine,Ž,7207
2011,Broj,Federacija Bosne i Hercegovine,Ž,6918
2012,Broj,Federacija Bosne i Hercegovine,Ž,7581
2013,Broj,Federacija Bosne i Hercegovine,Ž,8341
2014,Broj,Federacija Bosne i Hercegovine,Ž,7483
2015,Broj,Federacija Bosne i Hercegovine,Ž,7235
2016,Broj,Federacija Bosne i Hercegovine,Ž,7382
2017,Broj,Federacija Bosne i Hercegovine,Ž,7262
2018,Broj,Federacija Bosne i Hercegovine,Ž,7065
2019,Broj,Federacija Bosne i Hercegovine,Ž,7556
2020,Broj,Federacija Bosne i Hercegovine,Ž,7073
2021,Broj,Federacija Bosne i Hercegovine,Ž,7307
2022,Broj,Federacija Bosne i Hercegovine,Ž,6643
2010,Broj,Unsko-sanska županija,Oba spola,729
2011,Broj,Unsko-sanska županija,Oba spola,409
2012,Broj,Unsko-sanska županija,Oba spola,603
2013,Broj,Unsko-sanska županija,Oba spola,588
2014,Broj,Unsko-sanska županija,Oba spola,514
2015,Broj,Unsko-sanska županija,Oba spola,481
2016,Broj,Unsko-sanska županija,Oba spola,417
2017,Broj,Unsko-sanska županija,Oba spola,432
2018,Broj,Unsko-sanska županija,Oba spola,423
2019,Broj,Unsko-sanska županija,Oba spola,330
2020,Broj,Unsko-sanska županija,Oba spola,272
2021,Broj,Unsko-sanska županija,Oba spola,384
2022,Broj,Unsko-sanska županija,Oba spola,314
2010,Broj,Unsko-sanska županija,M,249
2011,Broj,Unsko-sanska županija,M,179
2012,Broj,Unsko-sanska županija,M,204
2013,Broj,Unsko-sanska županija,M,219
2014,Broj,Unsko-sanska županija,M,195
2015,Broj,Unsko-sanska županija,M,210
2016,Broj,Unsko-sanska županija,M,158
2017,Broj,Unsko-sanska županija,M,181
2018,Broj,Unsko-sanska županija,M,178
2019,Broj,Unsko-sanska županija,M,105
2020,Broj,Unsko-sanska županija,M,91
2021,Broj,Unsko-sanska županija,M,108
2022,Broj,Unsko-sanska županija,M,84
2010,Broj,Unsko-sanska županija,Ž,480
2011,Broj,Unsko-sanska županija,Ž,230
2012,Broj,Unsko-sanska županija,Ž,399
2013,Broj,Unsko-sanska županija,Ž,369
2014,Broj,Unsko-sanska županija,Ž,319
2015,Broj,Unsko-sanska županija,Ž,271
2016,Broj,Unsko-sanska županija,Ž,259
2017,Broj,Unsko-sanska županija,Ž,251
2018,Broj,Unsko-sanska županija,Ž,245
2019,Broj,Unsko-sanska županija,Ž,225
2020,Broj,Unsko-sanska županija,Ž,181
2021,Broj,Unsko-sanska županija,Ž,276
2022,Broj,Unsko-sanska županija,Ž,230
2010,Broj,Tuzlanska županija,Oba spola,1938
2011,Broj,Tuzlanska županija,Oba spola,2032
2012,Broj,Tuzlanska županija,Oba spola,2046
2013,Broj,Tuzlanska županija,Oba spola,2050
2014,Broj,Tuzlanska županija,Oba spola,1943
2015,Broj,Tuzlanska županija,Oba spola,1773
2016,Broj,Tuzlanska županija,Oba spola,1548
2017,Broj,Tuzlanska županija,Oba spola,1441
2018,Broj,Tuzlanska županija,Oba spola,1449
2019,Broj,Tuzlanska županija,Oba spola,1656
2020,Broj,Tuzlanska županija,Oba spola,1496
2021,Broj,Tuzlanska županija,Oba spola,1404
2022,Broj,Tuzlanska županija,Oba spola,1346
2010,Broj,Tuzlanska županija,M,646
