Year,UNIT_MEASURE,Administrativna jedinica,Znanstvena oblast,Value
2010,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2010,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2010,Broj,Federacija Bosne i Hercegovine,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2010,Broj,Federacija Bosne i Hercegovine,"Prirodne znanosti, matematika i statistika",
2010,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2010,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2010,Broj,Federacija Bosne i Hercegovine,Usluge,
2010,Broj,Unsko-sanska županija,Obrazovanje,
2010,Broj,Unsko-sanska županija,Umjetnost i humanističke znanosti,
2010,Broj,Unsko-sanska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Unsko-sanska županija,"Poslovanje, administracija i pravo",
2010,Broj,Unsko-sanska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Unsko-sanska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Unsko-sanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Unsko-sanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Unsko-sanska županija,Zdravstvo i socijalna skrb,
2010,Broj,Unsko-sanska županija,Usluge,
2010,Broj,Tuzlanska županija,Obrazovanje,
2010,Broj,Tuzlanska županija,Umjetnost i humanističke znanosti,
2010,Broj,Tuzlanska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Tuzlanska županija,"Poslovanje, administracija i pravo",
2010,Broj,Tuzlanska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Tuzlanska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Tuzlanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Tuzlanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Tuzlanska županija,Zdravstvo i socijalna skrb,
2010,Broj,Tuzlanska županija,Usluge,
2010,Broj,Zeničko-dobojska županija,Obrazovanje,
2010,Broj,Zeničko-dobojska županija,Umjetnost i humanističke znanosti,
2010,Broj,Zeničko-dobojska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Zeničko-dobojska županija,"Poslovanje, administracija i pravo",
2010,Broj,Zeničko-dobojska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Zeničko-dobojska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Zeničko-dobojska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Zeničko-dobojska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Zeničko-dobojska županija,Zdravstvo i socijalna skrb,
2010,Broj,Zeničko-dobojska županija,Usluge,
2010,Broj,Bosansko-podrinjska županija,Obrazovanje,
2010,Broj,Bosansko-podrinjska županija,Umjetnost i humanističke znanosti,
2010,Broj,Bosansko-podrinjska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Bosansko-podrinjska županija,"Poslovanje, administracija i pravo",
2010,Broj,Bosansko-podrinjska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Bosansko-podrinjska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Bosansko-podrinjska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Bosansko-podrinjska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
