Year,Value,UNIT_MEASURE
1996,6.5,Stopa nupcijaliteta
1997,6.8,Stopa nupcijaliteta
1998,6.7,Stopa nupcijaliteta
1999,6.3,Stopa nupcijaliteta
2000,6.0,Stopa nupcijaliteta
2001,5.5,Stopa nupcijaliteta
2002,5.6,Stopa nupcijaliteta
2003,5.6,Stopa nupcijaliteta
2004,5.9,Stopa nupcijaliteta
2005,5.8,Stopa nupcijaliteta
2006,5.6,Stopa nupcijaliteta
2007,6.4,Stopa nupcijaliteta
2008,6.4,Stopa nupcijaliteta
2009,5.9,Stopa nupcijaliteta
2010,5.6,Stopa nupcijaliteta
2011,5.4,Stopa nupcijaliteta
2012,5.2,Stopa nupcijaliteta
2013,4.9,Stopa nupcijaliteta
2014,5.4,Stopa nupcijaliteta
2015,5.9,Stopa nupcijaliteta
2016,5.8,Stopa nupcijaliteta
2017,5.9,Stopa nupcijaliteta
2018,5.9,Stopa nupcijaliteta
2019,5.6,Stopa nupcijaliteta
