Year,UNIT_MEASURE,Пол,Административна јединица,Витална статистика,Value
2011,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,21161.0
2011,Број,Оба пола,Унско-сански кантон,Живорођени,2496.0
2011,Број,Оба пола,Посавски кантон,Живорођени,228.0
2011,Број,Оба пола,Тузлански кантон,Живорођени,4417.0
2011,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3760.0
2011,Број,Оба пола,Босанско-подрињски кантон,Живорођени,191.0
2011,Број,Оба пола,Средњобосански кантон,Живорођени,2300.0
2011,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1817.0
2011,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,772.0
2011,Број,Оба пола,Кантон Сарајево,Живорођени,4722.0
2011,Број,Оба пола,Кантон 10,Живорођени,458.0
2011,Број,M,Федерација Босне и Херцеговине,Живорођени,10981.0
2011,Број,M,Унско-сански кантон,Живорођени,1312.0
2011,Број,M,Посавски кантон,Живорођени,112.0
2011,Број,M,Тузлански кантон,Живорођени,2305.0
2011,Број,M,Зеничко-добојски кантон,Живорођени,1945.0
2011,Број,M,Босанско-подрињски кантон,Живорођени,99.0
2011,Број,M,Средњобосански кантон,Живорођени,1219.0
2011,Број,M,Херцеговачко-неретвански кантон,Живорођени,946.0
2011,Број,M,Западнохерцеговчки кантон,Живорођени,401.0
2011,Број,M,Кантон Сарајево,Живорођени,2411.0
2011,Број,M,Кантон 10,Живорођени,231.0
2011,Број,Ж,Федерација Босне и Херцеговине,Живорођени,10180.0
2011,Број,Ж,Унско-сански кантон,Живорођени,1184.0
2011,Број,Ж,Посавски кантон,Живорођени,116.0
2011,Број,Ж,Тузлански кантон,Живорођени,2112.0
2011,Број,Ж,Зеничко-добојски кантон,Живорођени,1815.0
2011,Број,Ж,Босанско-подрињски кантон,Живорођени,92.0
2011,Број,Ж,Средњобосански кантон,Живорођени,1081.0
2011,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,871.0
2011,Број,Ж,Западнохерцеговчки кантон,Живорођени,371.0
2011,Број,Ж,Кантон Сарајево,Живорођени,2311.0
2011,Број,Ж,Кантон 10,Живорођени,227.0
2012,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,21389.0
2012,Број,Оба пола,Унско-сански кантон,Живорођени,2351.0
2012,Број,Оба пола,Посавски кантон,Живорођени,220.0
2012,Број,Оба пола,Тузлански кантон,Живорођени,4587.0
2012,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3807.0
2012,Број,Оба пола,Босанско-подрињски кантон,Живорођени,216.0
2012,Број,Оба пола,Средњобосански кантон,Живорођени,2361.0
