Year,UNIT_MEASURE,Пол,Value
1996,Старосна доб,M,32.1
1997,Старосна доб,M,32.2
1998,Старосна доб,M,32.5
1999,Старосна доб,M,32.9
2000,Старосна доб,M,33.2
2001,Старосна доб,M,33.6
2002,Старосна доб,M,33.9
2003,Старосна доб,M,34.3
2004,Старосна доб,M,34.6
2005,Старосна доб,M,34.9
2006,Старосна доб,M,35.3
2007,Старосна доб,M,35.6
2008,Старосна доб,M,35.9
2009,Старосна доб,M,36.2
2010,Старосна доб,M,36.4
2011,Старосна доб,M,36.7
2012,Старосна доб,M,37.0
2013,Старосна доб,M,37.3
2014,Старосна доб,M,37.7
2015,Старосна доб,M,38.0
2016,Старосна доб,M,38.3
2017,Старосна доб,M,38.7
2018,Старосна доб,M,39.0
2019,Старосна доб,M,39.3
2020,Старосна доб,M,39.7
2021,Старосна доб,M,40.0
2022,Старосна доб,M,40.3
2023,Старосна доб,M,40.7
1996,Старосна доб,Ж,34.2
1997,Старосна доб,Ж,34.4
1998,Старосна доб,Ж,34.7
1999,Старосна доб,Ж,35.0
2000,Старосна доб,Ж,35.4
2001,Старосна доб,Ж,35.8
2002,Старосна доб,Ж,36.2
2003,Старосна доб,Ж,36.5
2004,Старосна доб,Ж,36.9
2005,Старосна доб,Ж,37.2
2006,Старосна доб,Ж,37.6
2007,Старосна доб,Ж,37.9
2008,Старосна доб,Ж,38.2
2009,Старосна доб,Ж,38.5
2010,Старосна доб,Ж,38.8
2011,Старосна доб,Ж,39.1
2012,Старосна доб,Ж,39.4
2013,Старосна доб,Ж,39.7
2014,Старосна доб,Ж,40.1
2015,Старосна доб,Ж,40.4
2016,Старосна доб,Ж,40.7
2017,Старосна доб,Ж,41.1
2018,Старосна доб,Ж,41.4
2019,Старосна доб,Ж,41.7
2020,Старосна доб,Ж,42.1
2021,Старосна доб,Ж,42.4
2022,Старосна доб,Ж,42.7
2023,Старосна доб,Ж,43.1
