Year,Пол,UNIT_MEASURE,Value
1996,M,Старосна доб,28.1
1997,M,Старосна доб,27.1
1998,M,Старосна доб,27.9
1999,M,Старосна доб,27.7
2000,M,Старосна доб,27.4
2001,M,Старосна доб,27.4
2002,M,Старосна доб,27.5
2003,M,Старосна доб,27.6
2004,M,Старосна доб,27.6
2005,M,Старосна доб,27.7
2006,M,Старосна доб,27.7
2007,M,Старосна доб,27.8
2008,M,Старосна доб,27.8
2009,M,Старосна доб,27.9
2010,M,Старосна доб,27.9
2011,M,Старосна доб,28.1
2012,M,Старосна доб,28.1
2013,M,Старосна доб,28.6
2014,M,Старосна доб,28.1
2015,M,Старосна доб,28.4
2016,M,Старосна доб,28.3
2017,M,Старосна доб,28.3
2018,M,Старосна доб,28.5
2019,M,Старосна доб,28.3
2020,M,Старосна доб,28.4
1996,Ж,Старосна доб,24.4
1997,Ж,Старосна доб,23.8
1998,Ж,Старосна доб,24.4
1999,Ж,Старосна доб,24.2
2000,Ж,Старосна доб,23.9
2001,Ж,Старосна доб,24.0
2002,Ж,Старосна доб,24.1
2003,Ж,Старосна доб,24.2
2004,Ж,Старосна доб,24.2
2005,Ж,Старосна доб,24.3
2006,Ж,Старосна доб,24.3
2007,Ж,Старосна доб,24.5
2008,Ж,Старосна доб,24.6
2009,Ж,Старосна доб,24.8
2010,Ж,Старосна доб,24.9
2011,Ж,Старосна доб,25.0
2012,Ж,Старосна доб,25.2
2013,Ж,Старосна доб,25.5
2014,Ж,Старосна доб,25.2
2015,Ж,Старосна доб,25.5
2016,Ж,Старосна доб,25.4
2017,Ж,Старосна доб,25.5
2018,Ж,Старосна доб,25.8
2019,Ж,Старосна доб,25.7
2020,Ж,Старосна доб,25.7
