Year,UNIT_MEASURE,Административна јединица,Value
1996,Број,Федерација Босне и Херцеговине,14019
1996,Број,Унско-сански кантон,2499
1996,Број,Посавски кантон,138
1996,Број,Тузлански кантон,2245
1996,Број,Зеничко-добојски кантон,2907
1996,Број,Босанско-подрињски кантон,263
1996,Број,Средњобосански кантон,1919
1996,Број,Херцеговачко-неретвански кантон,1097
1996,Број,Западнохерцеговчки кантон,413
1996,Број,Кантон Сарајево,2238
1996,Број,Кантон 10,300
1997,Број,Федерација Босне и Херцеговине,15352
1997,Број,Унско-сански кантон,2890
1997,Број,Посавски кантон,143
1997,Број,Тузлански кантон,2310
1997,Број,Зеничко-добојски кантон,3000
1997,Број,Босанско-подрињски кантон,228
1997,Број,Средњобосански кантон,2038
1997,Број,Херцеговачко-неретвански кантон,1243
1997,Број,Западнохерцеговчки кантон,476
1997,Број,Кантон Сарајево,2631
1997,Број,Кантон 10,393
1998,Број,Федерација Босне и Херцеговине,14218
1998,Број,Унско-сански кантон,2394
1998,Број,Посавски кантон,107
1998,Број,Тузлански кантон,2237
1998,Број,Зеничко-добојски кантон,2918
1998,Број,Босанско-подрињски кантон,216
1998,Број,Средњобосански кантон,1860
1998,Број,Херцеговачко-неретвански кантон,1174
1998,Број,Западнохерцеговчки кантон,424
1998,Број,Кантон Сарајево,2506
1998,Број,Кантон 10,382
1999,Број,Федерација Босне и Херцеговине,13804
1999,Број,Унско-сански кантон,2257
1999,Број,Посавски кантон,269
1999,Број,Тузлански кантон,2261
1999,Број,Зеничко-добојски кантон,3080
1999,Број,Босанско-подрињски кантон,223
1999,Број,Средњобосански кантон,1841
1999,Број,Херцеговачко-неретвански кантон,724
1999,Број,Западнохерцеговчки кантон,255
1999,Број,Кантон Сарајево,2503
1999,Број,Кантон 10,391
2000,Број,Федерација Босне и Херцеговине,13752
2000,Број,Унско-сански кантон,1982
2000,Број,Посавски кантон,285
2000,Број,Тузлански кантон,2644
2000,Број,Зеничко-добојски кантон,2676
2000,Број,Босанско-подрињски кантон,180
2000,Број,Средњобосански кантон,1688
2000,Број,Херцеговачко-неретвански кантон,1088
2000,Број,Западнохерцеговчки кантон,261
2000,Број,Кантон Сарајево,2596
2000,Број,Кантон 10,352
2001,Број,Федерација Босне и Херцеговине,12619
2001,Број,Унско-сански кантон,1913
2001,Број,Посавски кантон,268
2001,Број,Тузлански кантон,2365
2001,Број,Зеничко-добојски кантон,2488
2001,Број,Босанско-подрињски кантон,160
2001,Број,Средњобосански кантон,1557
2001,Број,Херцеговачко-неретвански кантон,1010
2001,Број,Западнохерцеговчки кантон,265
2001,Број,Кантон Сарајево,2278
2001,Број,Кантон 10,315
2002,Број,Федерација Босне и Херцеговине,12731
2002,Број,Унско-сански кантон,1952
2002,Број,Посавски кантон,246
2002,Број,Тузлански кантон,2619
2002,Број,Зеничко-добојски кантон,2406
2002,Број,Босанско-подрињски кантон,153
2002,Број,Средњобосански кантон,1526
2002,Број,Херцеговачко-неретвански кантон,1018
2002,Број,Западнохерцеговчки кантон,237
2002,Број,Кантон Сарајево,2266
2002,Број,Кантон 10,308
2003,Број,Федерација Босне и Херцеговине,12917
2003,Број,Унско-сански кантон,1994
2003,Број,Посавски кантон,220
2003,Број,Тузлански кантон,2650
2003,Број,Зеничко-добојски кантон,2405
2003,Број,Босанско-подрињски кантон,138
2003,Број,Средњобосански кантон,1468
2003,Број,Херцеговачко-неретвански кантон,992
2003,Број,Западнохерцеговчки кантон,405
2003,Број,Кантон Сарајево,2312
2003,Број,Кантон 10,333
2004,Број,Федерација Босне и Херцеговине,13573
2004,Број,Унско-сански кантон,2179
2004,Број,Посавски кантон,261
2004,Број,Тузлански кантон,2598
2004,Број,Зеничко-добојски кантон,2561
2004,Број,Босанско-подрињски кантон,157
2004,Број,Средњобосански кантон,1504
2004,Број,Херцеговачко-неретвански кантон,1133
2004,Број,Западнохерцеговчки кантон,369
2004,Број,Кантон Сарајево,2513
2004,Број,Кантон 10,298
