Year,UNIT_MEASURE,Старосна доб,Value
2014,Број,1,
2014,Број,2,
2014,Број,3,
2014,Број,4,
2014,Број,5,
2014,Број,6,
2014,Број,7,
2014,Број,8,
2014,Број,9,
2014,Број,10,
2014,Број,11,
2014,Број,12,
2014,Број,13,
2014,Број,14,
2014,Број,15,
2014,Број,16,
2014,Број,17,
2014,Број,18,
2014,Број,19,
2014,Број,20,
2014,Број,21,
2014,Број,22,
2014,Број,23,
2014,Број,24,
2014,Број,25,
2014,Број,26,
2014,Број,27,
2014,Број,28,
2014,Број,29,
2014,Број,30,
2014,Број,31,
2014,Број,32,
2014,Број,33,
2014,Број,34,
2014,Број,35,
2014,Број,36,
2014,Број,37,
2014,Број,38,
2014,Број,39,
2014,Број,40,
2014,Број,41,
2014,Број,42,
2014,Број,43,
2014,Број,44,
2014,Број,45,
2014,Број,46,
2014,Број,47,
2014,Број,48,
2014,Број,49,
2014,Број,50,
2014,Број,51,
2014,Број,52,
2014,Број,53,
2014,Број,54,
2014,Број,55,
2014,Број,56,
2014,Број,57,
2014,Број,58,
2014,Број,59,
2014,Број,60,
2014,Број,61,
2014,Број,62,
2014,Број,63,
2014,Број,64,
2014,Број,65,
2014,Број,66,
2014,Број,67,
2014,Број,68,
2014,Број,69,
2014,Број,70,
2014,Број,71,
2014,Број,72,
2014,Број,73,
2014,Број,74,
2014,Број,75,
2014,Број,76,
2014,Број,77,
2014,Број,78,
2014,Број,79,
2014,Број,80,
2014,Број,81,
2014,Број,82,
2014,Број,83,
2014,Број,84,
2014,Број,85,
2014,Број,86,
2014,Број,87,
2014,Број,88,
2014,Број,89,
2014,Број,90,
2014,Број,91,
2014,Број,92,
2014,Број,93,
2014,Број,94,
2014,Број,95,
2014,Број,96,
2014,Број,97,
2014,Број,98,
2014,Број,99,
2014,Број,100,
